1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,120,30,1728,126,42,0,1392,216,166,1010,2,8,0,158,1757,1759,252,38,214,1182,1182,0,2,65,258,0,258,-2,119,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,126,124,451,88,29,0,422,234,-98,286,5,7,0,-100,628,629,736,350,386,-77,-77,0,1,47,-78,0,-78,-1,179,0
1952:Q1,145,160,292,20,8,0,580,-596,480,696,0,0,0,-316,1724,1724,580,1016,-436,472,472,0,0,140,532,0,532,0,1417,0
1952:Q2,146,162,3344,24,8,0,2628,628,144,1856,0,12,0,672,2060,2056,1068,740,328,584,584,0,0,-88,492,0,492,4,-1300,0
1952:Q3,159,149,2180,24,8,0,1976,876,232,868,0,12,0,160,1440,1436,400,512,-112,524,524,0,0,112,400,0,400,4,-731,0
1952:Q4,144,161,3792,24,8,0,3332,816,112,2404,0,24,0,404,2684,2688,-572,-852,280,2900,2900,0,0,-28,388,0,388,-4,-1125,0
1953:Q1,190,101,1608,16,4,0,2800,684,-468,2584,0,12,0,-1224,1364,1360,2340,768,1572,-748,-748,0,0,-128,-104,0,-104,4,-155,0
1953:Q2,222,102,2896,20,8,0,2080,264,260,1556,4,12,0,772,2704,2700,1832,-364,2196,360,360,0,0,-64,572,0,572,4,-72,0
1953:Q3,214,105,2572,20,4,0,2220,564,468,1188,0,16,0,312,2984,2980,1908,760,1148,380,380,0,0,168,524,0,524,4,521,0
1953:Q4,194,104,32,20,8,0,-228,-1012,-156,940,0,16,0,216,-336,-340,320,-264,584,-676,-676,0,0,316,-300,0,-300,4,-278,0
1954:Q1,132,115,-504,36,12,0,-56,-52,116,-120,0,16,0,-512,16,12,1040,900,140,-1228,-1228,0,0,-100,300,0,300,4,537,0
1954:Q2,120,114,964,36,12,0,328,-24,128,224,0,16,0,572,364,360,-304,-432,128,552,552,0,0,-356,468,0,468,4,-594,0
1954:Q3,114,118,1064,-48,-16,0,1032,144,372,516,0,16,0,80,-760,-760,-952,-176,-776,-184,-184,0,4,112,260,0,260,0,-1828,0
1954:Q4,113,117,1972,-104,-36,0,1360,-44,268,1136,4,20,0,728,348,348,-1584,-900,-684,304,304,0,0,8,1620,0,1620,0,-1628,0
1955:Q1,164,150,1628,44,16,0,1620,-1440,400,2660,0,16,0,-68,3668,3664,1596,1224,372,800,800,0,0,-148,1416,0,1416,4,2054,0
1955:Q2,196,162,6536,92,32,0,5412,1316,676,3420,0,20,0,980,6012,6008,524,832,-308,1076,1076,0,0,-108,4516,0,4516,4,-490,0
1955:Q3,214,174,5216,148,48,0,4544,376,980,3188,0,20,0,456,4052,4048,540,-136,676,1380,1380,0,0,268,1860,0,1860,4,-1124,0
1955:Q4,216,183,4588,188,64,0,3648,1764,52,1832,0,24,0,664,4020,4020,-80,-928,848,452,452,0,0,144,3504,0,3504,0,-535,0
1956:Q1,256,154,1376,16,4,0,2044,704,-340,1680,0,20,0,-708,2196,2192,4504,2232,2272,60,60,0,0,-96,-2276,0,-2276,4,922,0
1956:Q2,254,157,708,-4,0,0,368,-372,-28,768,4,20,0,320,804,804,696,-224,920,372,372,0,4,-232,-36,0,-36,0,193,0
1956:Q3,228,162,336,-4,-4,0,808,-188,304,692,0,24,0,-488,484,480,736,-216,952,704,704,0,0,224,-1184,0,-1184,4,214,0
1956:Q4,231,164,724,4,4,0,252,192,-352,412,0,28,0,436,-828,-836,-192,-1260,1068,48,48,0,-4,112,-800,0,-800,8,-1485,0
1957:Q1,249,159,660,44,12,0,1692,1660,-844,876,0,24,0,-1112,3108,3108,3892,2156,1736,-844,-844,0,4,-112,168,0,168,0,2538,0
1957:Q2,212,159,1012,24,8,0,884,548,-352,688,4,24,0,68,216,216,36,-820,856,-352,-352,0,0,-148,680,0,680,0,-743,0
1957:Q3,204,164,1204,28,12,0,2248,1320,8,920,0,28,0,-1112,1084,1084,1964,264,1700,8,8,0,0,180,-1068,0,-1068,0,-80,0
1957:Q4,214,161,1324,16,4,0,432,328,-112,216,0,36,0,836,704,708,864,208,656,-112,-112,0,-4,120,-160,0,-160,-4,-567,0
1958:Q1,219,185,532,40,12,0,232,80,456,-304,4,24,0,220,1112,1112,3392,2272,1120,456,456,0,0,128,-2864,0,-2864,0,614,0
1958:Q2,197,177,-728,16,8,0,-1800,-908,456,-1348,0,24,0,1024,-2340,-2340,-1112,-704,-408,456,456,0,0,-388,-1296,0,-1296,0,-1592,0
1958:Q3,183,175,-2004,24,8,0,-1144,-324,456,-1276,0,28,0,-920,-1928,-1928,-2256,-928,-1328,-1144,-1144,0,0,-8,1480,0,1480,0,84,0
1958:Q4,172,184,3072,4,0,0,1524,1348,460,-284,0,32,0,1512,3208,3212,-1132,-1180,48,2060,2060,0,4,-8,2288,0,2288,-4,124,0
1959:Q1,609,215,3684,140,48,0,3284,1616,456,1212,4,24,0,184,3980,3980,2800,2152,648,2056,2056,0,0,-32,-844,0,-844,0,690,0
1959:Q2,559,222,4036,144,48,0,3348,1860,-228,1716,0,32,0,464,3644,3640,2068,1264,804,2172,2172,0,0,-72,-528,0,-528,4,-55,0
1959:Q3,558,230,3120,168,56,0,4092,1004,424,2664,0,32,0,-1228,4220,4216,796,-488,1284,2024,2024,0,0,240,1156,0,1156,4,1428,0
1959:Q4,560,231,4848,180,60,0,3076,1208,336,1532,4,32,0,1496,4468,4468,1088,-136,1224,1136,1136,0,0,128,2116,0,2116,0,-52,0
1960:Q1,550,228,5700,48,16,0,5848,3280,132,2436,0,32,0,-244,5320,5316,9796,4724,5072,-268,-268,0,0,-88,-4124,0,-4124,4,-58,0
1960:Q2,590,233,4560,52,16,0,3924,2624,-364,1664,0,36,0,532,2784,2780,2544,48,2496,232,232,0,4,-104,104,0,104,4,-1420,0
1960:Q3,632,225,1372,76,24,0,2784,544,336,1904,4,32,0,-1548,340,332,1928,-536,2464,-2320,-2320,0,0,120,604,0,604,8,-625,0
1960:Q4,686,221,2612,88,32,0,1404,1184,-248,468,0,40,0,1048,2180,2168,2040,-872,2912,140,140,0,-4,80,-88,0,-88,12,33,0
1961:Q1,707,125,-1684,152,48,0,-1516,-1456,-12,-48,0,40,0,-408,-1092,-1096,4708,2908,1800,-5784,-5784,0,4,48,-72,0,-72,4,1174,0
1961:Q2,756,129,1332,140,48,0,-228,-64,308,-472,4,36,0,1332,-136,-140,-52,-980,928,-392,-392,0,0,-240,544,0,544,4,-841,0
1961:Q3,795,130,1164,148,48,0,1880,804,1072,4,0,44,0,-956,912,908,-1728,-1408,-320,1200,1200,0,0,60,1376,0,1376,4,413,0
1961:Q4,794,135,6884,148,52,0,4092,1528,1172,1392,4,40,0,2548,3972,3968,-584,-1064,480,3604,3604,0,0,12,936,0,936,4,-2253,0
1962:Q1,830,188,460,92,28,0,1044,-96,-304,1444,0,44,0,-748,12,12,4648,3968,680,-4472,-4472,0,4,196,-364,0,-364,0,194,0
1962:Q2,909,193,4108,92,32,0,1836,-208,1016,1028,4,44,0,2100,5248,5244,120,756,-636,3020,3020,0,0,-84,2188,0,2188,4,1856,0
1962:Q3,866,195,2280,96,32,0,3268,532,1048,1688,0,48,0,-1164,3680,3676,968,1764,-796,568,568,0,0,108,2032,0,2032,4,2071,0
1962:Q4,835,194,4508,100,32,0,2756,452,44,2260,4,48,0,1568,4072,4064,428,-1648,2076,3480,3480,0,-4,-92,252,0,252,8,205,0
1963:Q1,615,93,3376,-140,-44,0,4012,1456,-32,2588,0,52,0,-504,2688,2684,5988,4340,1648,-3040,-3040,0,0,-40,-224,0,-224,4,-167,0
1963:Q2,507,97,5432,-144,-48,0,3412,1204,1152,1056,4,48,0,2160,6980,6980,1444,1516,-72,2364,2364,0,0,-168,3340,0,3340,0,1958,0
1963:Q3,464,99,4008,-148,-52,0,4976,940,1464,2572,0,56,0,-824,4780,4780,-204,-764,560,2348,2348,0,0,92,2544,0,2544,0,1137,0
1963:Q4,439,103,7760,-160,-52,0,5496,2060,748,2688,4,56,0,2416,7132,7128,2124,-1012,3136,4044,4044,0,0,-12,972,0,972,4,-292,0
1964:Q1,501,229,4104,-16,-4,0,4944,2444,-396,2896,0,60,0,-880,2032,2032,7696,4080,3616,-4880,-4880,0,0,264,-1048,0,-1048,0,-1800,0
1964:Q2,517,235,7648,-32,-12,0,5544,2388,1220,1936,4,56,0,2088,10052,10052,3268,1460,1808,4832,4832,0,4,-340,2288,0,2288,0,2686,0
