1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q3,21745,2536,2346,16863,21745,8,-2015,510,69,2252,12564,-186,177,-257,-198,3,327,0,5625,2568,298
1998:Q4,35599,2536,21652,11411,35599,7,-2483,509,139,586,16847,-2444,121,51,5015,-204,365,0,15767,1300,23
1999:Q1,23455,832,8670,13953,23455,40,-4325,-7,64,92,13968,-2034,380,-48,3743,215,153,0,9537,1427,250
1999:Q2,22987,832,11153,11002,22987,41,-4785,-159,174,37,15583,-1215,369,27,4921,216,470,0,5730,1598,-20
1999:Q3,24546,832,10616,13098,24546,40,-4827,-161,200,28,17989,-276,261,52,1127,215,-45,0,8404,1585,-46
1999:Q4,31534,832,16254,14448,31534,40,-4465,-160,287,218,22702,-931,140,-70,4777,214,733,0,6501,1730,-182
2000:Q1,26483,2812,5529,18142,26483,156,248,-43,-846,32,22892,712,105,632,-1085,-58,-534,0,4838,-349,-217
2000:Q2,30089,2812,8881,18396,30089,157,-52,-45,45,-62,19174,552,325,-696,2703,-175,96,0,6665,1169,233
2000:Q3,21742,2812,2480,16450,21742,156,-583,-43,111,12,14926,-200,282,-168,1779,-267,-1208,0,5738,1153,54
2000:Q4,27847,2812,4800,20235,27847,156,123,-45,405,-83,14078,124,107,-38,1075,-399,128,0,11733,1116,-633
2001:Q1,-18754,2588,-30856,9514,-18754,-70,260,228,177,-51,13632,-17,2646,10,-746,-547,-167,0,-34050,171,-230
2001:Q2,22238,2588,11345,8305,22238,-70,-262,226,15,93,15339,-372,630,33,1557,486,-564,0,5565,-439,1
2001:Q3,37126,2588,22498,12040,37126,-70,142,227,-792,-177,19820,1150,219,44,1573,391,138,0,14400,-105,166
2001:Q4,44222,2588,31127,10507,44222,-70,993,228,495,67,14860,-22,705,168,1945,236,-48,0,25997,-1658,326
2002:Q1,14326,2381,-2060,14005,14326,14,-180,-44,169,-125,15570,385,180,2,509,1012,-38,0,1020,-3977,-171
2002:Q2,27742,2381,15606,9755,27742,14,175,-42,54,-132,17104,341,-86,23,1307,354,-1012,0,7676,1595,371
2002:Q3,27593,2381,14853,10359,27593,14,329,-41,251,-186,15838,423,417,3,530,336,230,0,9404,-131,176
