1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,42426,16182,26244,42426,693,-5049,775,-12407,6997,6997,0,-22532,8857,-527,-827,-4338,-204,-4134,-8405,0,-8405,-1921,-1671,-250,10,0,10,-648,6222,-5511,11733,-8403,0,-8403,29,0,-15694,0,-8851,710,0,107735,24396,83339,32671
1997:Q1,45975,8144,37831,45975,-10883,7310,1564,-12400,4169,-1498,5667,6814,13273,610,818,-28,399,-427,-135,0,-135,945,720,225,7,0,7,-1653,-7867,-4983,-2884,2459,0,2459,-350,0,297,0,-9922,-457,0,51404,-7025,58429,-7450
1997:Q2,-71108,-81423,10315,-71108,-57008,-14227,609,-8038,15838,6382,9456,-8390,-8223,100,76,449,-233,682,471,0,471,-101,744,-845,10,0,10,3769,-7852,-8353,501,1735,0,1735,-350,0,-5592,0,-5251,-688,0,21555,-28878,50433,11353
1997:Q3,7547,-2226,9773,7547,-24216,-3330,851,-12147,908,-1838,2746,-10238,4744,496,-2166,986,143,843,2549,0,2549,635,1005,-370,18,0,18,8624,116,-3168,3284,3137,0,3137,-350,0,8222,0,-14812,-217,0,43737,4841,38896,18863
1997:Q4,18486,13485,5001,18486,-41112,-10002,661,-8153,18914,3430,15484,2862,4565,-1119,-102,679,-341,1020,-10513,0,-10513,511,750,-239,42,0,42,-4534,11332,15170,-3838,4788,0,4788,-350,0,4192,0,37477,1298,0,7050,-12572,19622,39832
1998:Q1,11310,4683,6627,11310,7268,-4996,1935,-16475,2446,-1865,4311,5436,4606,348,-681,-4059,144,-4203,-2154,0,-2154,-3030,-5623,2593,42,0,42,-6851,-3033,-2973,-60,4365,0,4365,-255,0,-13919,0,37273,-1757,0,4801,-1668,6469,3969
1998:Q2,-96983,-78963,-18020,-96983,-19237,-2826,1684,4773,6591,2006,4585,-20237,4126,-225,-553,-5160,139,-5299,-2590,0,-2590,-2339,-4786,2447,25,0,25,1064,-1843,-9165,7322,-2830,0,-2830,-255,0,3129,0,-61205,-584,0,1509,-22352,23861,26604
1998:Q3,-37260,-3466,-33794,-37260,-10890,1268,1185,4145,6274,-1400,7674,-26698,-17453,-596,-1164,-4736,755,-5491,-2746,0,-2746,-4144,-5185,1041,67,0,67,-5387,1237,77,1160,-10059,0,-10059,-255,0,3935,0,67379,-717,0,-37905,-8621,-29284,23314
1998:Q4,26964,53338,-26374,26964,-35793,3323,935,10914,6094,-1092,7186,-4873,-1557,-189,-498,-5693,79,-5772,-2848,0,-2848,-4118,-5030,912,70,0,70,4753,25985,18448,7537,-3332,0,-3332,-255,0,6134,0,-22286,-56,0,50254,22895,27359,28701
1999:Q1,6440,34531,-28091,6440,-33163,-623,-699,5742,13545,1987,11558,10180,1189,-568,-989,-3086,42,-3128,-1534,0,-1534,1884,4011,-2127,24,0,24,-1113,-9085,-2159,-6926,-21,0,-21,66,0,4679,0,32303,236,0,-12527,9498,-22025,-8958
1999:Q2,-111458,-77673,-33785,-111458,-34967,-1889,-449,5272,19180,1368,17812,-4402,-2823,18,379,-3151,-1540,-1611,-2147,0,-2147,7277,7809,-532,8,0,8,2327,-15350,-16135,785,248,0,248,-11,0,-2498,0,-60370,10,0,-18120,-13515,-4605,13485
1999:Q3,-14072,5321,-19393,-14072,-21983,88,52,5354,4171,-944,5115,-6380,9334,-364,-1715,-2656,285,-2941,-2541,0,-2541,7145,6977,168,-12,0,-12,-9000,3394,3412,-18,-6546,0,-6546,-39,0,849,0,-9593,-278,0,16648,9703,6945,10466
1999:Q4,48136,83903,-35767,48136,81853,-1771,301,8012,-11074,-20666,9592,-1425,2008,167,-1138,-3013,-949,-2064,-2553,1,-2554,571,-151,722,-31,0,-31,-5966,17286,26821,-9535,-5512,0,-5512,-1200,0,2755,6,-20783,7965,0,-18322,-3505,-14817,26092
2000:Q1,-19122,16220,-35342,-19122,-55570,2461,496,5847,23745,20521,3224,2226,-4764,-310,-256,-1233,1012,-2245,-1498,2,-1500,-2339,-2480,141,-40,0,-40,-1924,-5594,-1738,-3856,-2808,0,-2808,38,0,-5792,4,35084,-7926,26,1005,9282,-8277,-18958
2000:Q2,-187449,-123360,-64089,-187449,-106743,2097,246,4718,3242,-4246,7488,-9693,-5384,-132,-526,-2160,104,-2264,-1775,1,-1776,-1384,-1976,592,-9,0,-9,-2014,-21077,-18971,-2106,1684,0,1684,-40,0,-4492,74,-17753,151,0,-26479,-13917,-12562,7817
2000:Q3,-44296,-13754,-30542,-44296,-60736,-837,996,5897,6463,-8436,14899,-8135,6848,-140,-270,-1538,108,-1646,-1484,1,-1485,-1785,-4255,2470,14,0,14,-9415,-402,6919,-7321,6146,0,6146,-9,0,8364,14,29697,28,0,-24012,-6424,-17588,5153
2000:Q4,-25446,30681,-56127,-25446,31570,-5036,1245,4645,290,-5615,5905,-20774,2826,-420,-342,-1722,409,-2131,-1885,1,-1886,-3819,-2962,-857,63,0,63,-6414,13903,9167,4736,2506,0,2506,-902,0,2499,30,-19813,-266,2065,-25695,3230,-28925,8284
2001:Q1,19586,65177,-45591,19586,-48901,-1997,1167,5261,12159,5503,6656,-16445,3886,-648,-207,-1604,-1525,-79,-946,1,-947,6018,4465,1553,274,0,274,-1715,6025,13278,-7253,-1940,0,-1940,-932,0,-1371,-128,62523,-3,753,-1643,-2572,929,12978
