1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q2,1224988,4867,19435,23,5335,164649,11272,26531,16249,3628,106969,57325,46922,10403,153119,3771,816464,0,4284,768447,43733,1229931,1141276,372829,768447,ND,1141276,88655,ND,ND
1977:Q3,1249501,5014,20304,53,5803,169399,11309,26875,17449,3556,110210,63172,53064,10108,149797,3771,832188,0,4348,779959,47881,1254599,1163487,383528,779959,ND,1163487,91112,ND,ND
1977:Q4,1273419,5115,21060,94,5717,176905,11314,28123,18086,3544,115838,63715,53177,10538,153610,3746,843457,0,4459,792006,46992,1278678,1185912,393906,792006,ND,1185912,92766,ND,ND
1978:Q1,1301889,5276,22350,150,6268,181184,11350,29167,19440,3386,117841,62541,51900,10641,151277,3750,869093,0,4551,812680,51862,1307364,1211394,398714,812680,ND,1211394,95970,ND,ND
1978:Q2,1333259,5418,23633,212,6136,190441,11335,31364,19774,3732,124236,64234,53341,10893,169069,3750,870366,0,4845,815143,50378,1338956,1238177,423034,815143,ND,1238177,100779,ND,ND
1978:Q3,1365692,5538,24945,272,6488,196516,11173,30749,21895,3668,129031,70649,59536,11113,189552,3708,868024,0,5214,809633,53177,1371637,1263362,453729,809633,ND,1263362,108275,ND,ND
1978:Q4,1393541,5569,26014,359,6935,203558,11162,32773,22646,3951,133026,71426,60119,11307,183608,3715,892357,0,5270,829941,57146,1399741,1289121,459180,829941,ND,1289121,110620,ND,ND
1979:Q1,1430043,5666,27474,500,7253,208776,11593,34560,24327,4073,134223,69990,58395,11595,198044,3862,908478,0,5571,843202,59705,1436794,1316534,473332,843202,ND,1316534,120260,ND,ND
1979:Q2,1462566,5668,28521,688,7490,219380,12498,38441,25230,3867,139344,71627,59860,11767,201877,4152,923163,0,5772,855751,61640,1469895,1345316,489565,855751,ND,1345316,124579,ND,ND
1979:Q3,1495559,5626,29769,913,7532,227129,13894,39282,26069,3880,144004,79671,67381,12290,216832,4585,923502,0,6095,855719,61688,1503504,1372724,517005,855719,ND,1372724,130780,ND,ND
1979:Q4,1531778,5621,31352,1182,7768,234601,15396,40706,27919,3910,146670,80997,68254,12743,212537,11476,946244,0,6196,876338,63710,1540366,1400649,524311,876338,ND,1400649,139717,ND,ND
1980:Q1,1564445,5535,32399,1500,7979,247146,16621,43389,29324,4101,153711,79379,66134,13245,202192,12220,976095,0,6240,904265,65590,1573792,1437224,532959,904265,ND,1437224,136568,ND,ND
1980:Q2,1611989,5385,33255,1845,8189,262994,17671,47025,32810,4025,161463,80860,67302,13558,228738,13033,977690,0,6761,903958,66971,1622096,1475014,571056,903958,ND,1475014,147082,ND,ND
1980:Q3,1657679,5036,34079,2195,8485,274323,18650,50646,34499,3921,166607,90914,76846,14068,251630,14520,976497,0,7241,900082,69174,1668577,1511486,611404,900082,ND,1511486,157091,ND,ND
1980:Q4,1700019,4765,35511,2633,8378,284203,19531,53246,37428,4059,169939,91533,77079,14454,267768,15735,989493,0,7566,914020,67907,1711757,1548394,634374,914020,ND,1548394,163363,ND,ND
1981:Q1,1741730,4715,37030,3244,8237,293238,20286,55922,40506,3920,172604,89215,74301,14914,271821,16159,1018071,0,7697,943846,66528,1754418,1588426,644580,943846,ND,1588426,165992,ND,ND
1981:Q2,1784183,4456,37488,4134,8355,306523,21787,59285,43874,3995,177582,90915,75442,15473,267720,15647,1048945,0,7753,973642,67550,1797935,1629826,656184,973642,ND,1629826,168109,ND,ND
1981:Q3,1821549,4314,39256,5413,8525,315838,23227,59970,47834,3859,180948,102973,86895,16078,246013,13588,1085629,0,7600,1008779,69250,1836329,1669735,660956,1008779,ND,1669735,166594,ND,ND
