1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q2,207818,1482,0,0,87498,3679,3722,539,3339,76219,91040,16531,74509,21,17425,522,0,763,0,0,0,9067,202412,193958,0,0,122,126389,43385,0,815,23247,8454,7984,470,0
1971:Q3,211379,1507,0,0,89247,4078,3751,613,3366,77439,91563,16812,74751,22,18539,534,0,677,0,0,0,9290,206953,197404,0,0,123,128000,44749,0,895,23637,9549,9077,472,0
1971:Q4,215116,1763,0,0,90117,2770,3828,627,3363,79529,92561,17065,75496,22,20007,547,0,600,0,0,0,9499,210529,200931,0,0,137,129621,46131,0,796,24246,9598,9071,527,0
1972:Q1,219621,1164,0,0,92829,3952,3990,716,3351,80820,92665,17267,75398,23,22123,559,0,526,0,0,0,9732,214849,204663,0,0,138,131260,47585,0,940,24740,10186,9657,529,0
1972:Q2,222176,1328,0,0,94143,3564,3722,699,3351,82807,92926,17522,75404,23,22773,572,0,435,0,0,0,9976,218103,208701,0,0,138,132927,49169,0,739,25728,9402,8871,531,0
1972:Q3,226751,1422,0,0,96936,4799,3875,750,3362,84150,93359,17771,75588,24,23848,585,0,357,0,0,0,10220,224124,212680,0,0,138,134620,50718,0,835,26369,11444,10911,533,0
1972:Q4,232264,1981,0,0,97413,2981,3827,735,3367,86503,94951,18003,76948,24,26528,599,0,317,0,0,0,10451,229755,216227,0,0,156,136343,52063,0,811,26854,13528,12927,601,0
1973:Q1,235243,1524,0,0,100836,5237,3824,764,3332,87679,95450,18284,77166,25,25801,613,0,321,0,0,0,10673,231149,220015,0,0,157,138104,53212,0,993,27549,11134,10532,602,0
1973:Q2,236741,1501,0,0,101842,4479,3572,815,3374,89602,96695,18713,77982,25,24798,628,0,366,0,0,0,10886,232360,223342,0,0,158,139911,54172,0,786,28315,9018,8409,609,0
1973:Q3,243498,1435,0,0,103134,4100,3466,909,3396,91263,98784,19597,79187,26,27955,642,0,425,0,0,0,11097,238087,226539,0,0,160,141728,55084,0,873,28694,11548,10933,615,0
1973:Q4,244626,2070,0,0,103077,3004,3444,884,3412,92333,101568,20199,81369,27,25448,656,0,470,0,0,0,11310,239733,229933,0,0,183,143515,56089,0,847,29299,9800,9095,705,0
1974:Q1,250251,1493,0,0,106234,4414,3596,932,3485,93807,102823,20643,82180,27,26889,672,0,512,0,0,0,11601,242016,233236,0,0,185,145264,57019,0,1024,29744,8780,8069,711,0
1974:Q2,251210,1451,0,0,106953,3882,3349,937,3577,95208,104530,21305,83225,28,25073,687,0,560,0,0,0,11928,242974,236260,0,0,171,146969,57733,0,809,30578,6714,6055,659,0
1974:Q3,248362,1502,0,0,107782,3874,3327,989,3618,95974,106602,22175,84427,28,18863,704,0,603,0,0,0,12278,244426,239577,0,0,158,148697,58695,0,885,31142,4849,4243,606,0
1974:Q4,254866,1998,0,0,108467,4070,3372,1065,3667,96293,109096,22862,86234,29,21291,720,0,628,0,0,0,12637,249032,243759,0,0,123,150519,60372,0,835,31910,5273,4799,474,0
1975:Q1,263970,1613,0,0,111577,4682,3585,1110,3696,98504,110572,23326,87246,30,25778,736,0,635,0,0,0,13029,255284,248693,0,0,131,152422,62694,0,990,32456,6591,6086,505,0
1975:Q2,271378,1546,0,0,113551,4768,3712,1179,3783,100109,111675,23708,87967,30,29722,754,0,626,0,0,0,13474,261562,254264,0,0,139,154392,65593,0,757,33383,7298,6762,536,0
1975:Q3,272395,1294,0,0,117518,6394,3821,1282,4165,101856,112430,24099,88331,31,25842,771,0,611,0,0,0,13898,266092,260356,0,0,147,156412,68877,0,812,34108,5736,5169,567,0
1975:Q4,279488,1924,0,0,120829,4813,4736,1419,4508,105353,113635,24467,89168,32,27450,788,0,600,0,0,0,14230,272836,266848,0,0,155,158463,72349,0,745,35136,5988,5391,597,0
1976:Q1,289429,1295,155,0,126227,5247,5072,1642,5014,109252,114190,24763,89427,33,31541,806,0,594,0,0,0,14588,280331,273663,0,0,167,160550,76120,0,938,35888,6668,6028,640,0
1976:Q2,295337,1420,89,0,130501,6053,4956,1648,5196,112648,114842,25136,89706,33,32124,826,0,587,0,0,0,14915,287670,281096,0,0,178,162676,80343,0,735,37164,6574,5890,684,0
1976:Q3,302565,1081,99,0,136153,6264,5419,2090,5406,116974,115696,25494,90202,34,32833,845,0,581,0,0,0,15243,295773,288646,0,0,189,164844,84666,0,863,38084,7127,6399,728,0
1976:Q4,310851,1697,305,0,140700,5224,5368,2318,5594,122196,117389,25834,91555,35,33685,864,0,576,0,0,0,15600,303272,295812,0,0,201,167059,88740,0,878,38934,7460,6689,771,0
1977:Q1,315973,956,490,0,146941,6724,5542,2547,5712,126416,118092,26248,91844,36,31835,884,0,578,0,0,0,16161,310082,302913,0,0,212,169307,92446,0,956,39992,7169,6354,815,0
1977:Q2,324362,1119,329,0,152135,6985,5337,2685,5805,131323,119643,26709,92934,37,32878,904,0,584,0,0,0,16733,317391,309795,0,0,217,171572,95847,0,1060,41099,7596,6763,833,0
1977:Q3,331055,1232,324,0,157493,7927,5719,3040,6030,134777,121311,27141,94170,37,31839,926,0,592,0,0,0,17301,324776,316864,0,0,221,173908,99313,0,1171,42251,7912,7060,852,0
1977:Q4,339576,1883,396,0,161167,4896,5315,4002,6051,140903,124405,27556,96849,38,32299,947,0,600,0,0,0,17841,332260,324527,0,0,220,176369,103217,0,1268,43453,7733,6887,846,0
1978:Q1,347418,1123,481,0,168776,7784,5075,4605,6002,145310,125929,28007,97922,40,31190,979,0,605,0,0,0,18295,340179,332625,0,0,225,178972,107458,0,1360,44610,7554,6690,864,0
