1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,42155,42155,2163,39992,0,0,42155,16484,1065,0,2456,13668,96,59,0,3587,1984,0,2456,0,0,0,0,0,300,0,0,0
1955:Q2,43267,43267,1975,41292,0,0,43267,17509,1059,0,2455,13451,127,59,0,3781,1984,0,2542,0,0,0,0,0,300,0,0,0
1955:Q3,44668,44668,2177,42491,0,0,44668,18360,1209,0,2463,13494,151,59,0,3984,2016,0,2632,0,0,0,0,0,300,0,0,0
1955:Q4,45697,45697,2086,43611,0,0,45697,19174,1219,0,2479,13344,167,59,0,4194,2038,0,2723,0,0,0,0,0,300,0,0,0
1956:Q1,46932,46932,2242,44690,0,0,46932,19569,1494,0,2495,13463,147,60,0,4395,2193,0,2816,0,0,0,0,0,300,0,0,0
1956:Q2,47853,47853,2093,45760,0,0,47853,20436,1333,0,2503,13507,133,61,0,4583,2186,0,2911,0,0,0,0,0,200,0,0,0
1956:Q3,49038,49038,2285,46753,0,0,49038,21308,1295,0,2499,13641,116,63,0,4756,2251,0,3009,0,0,0,0,0,100,0,0,0
1956:Q4,49862,49862,2180,47682,0,0,49862,21900,1342,0,2480,13576,101,65,0,4915,2273,0,3110,0,0,0,0,0,100,0,0,0
1957:Q1,50925,50925,2330,48595,0,0,50925,22537,1419,0,2465,13752,110,67,0,5072,2289,0,3214,0,0,0,0,0,0,0,0,0
1957:Q2,51836,51836,2164,49672,0,0,51836,22812,1403,0,2474,13992,110,69,0,5232,2322,0,3322,0,0,0,0,0,100,0,0,0
1957:Q3,53192,53192,2411,50781,0,0,53192,23526,1510,0,2514,14187,108,71,0,5397,2348,0,3431,0,0,0,0,0,100,0,0,0
1957:Q4,54369,54369,2355,52014,0,0,54369,23851,1479,0,2590,14600,93,73,0,5568,2376,0,3539,0,0,0,0,0,200,0,0,0
1958:Q1,55829,55829,2566,53263,0,0,55829,24382,1217,0,2666,15229,90,75,0,5737,2460,0,3648,0,0,0,0,0,325,0,0,0
1958:Q2,56972,56972,2450,54522,0,0,56972,23317,1682,0,2705,16533,90,77,0,5904,2534,0,3760,0,0,0,0,0,370,0,0,0
1958:Q3,58513,58513,2748,55765,0,0,58513,23794,1979,0,2723,17080,89,79,0,6073,2613,0,3868,0,0,0,0,0,215,0,0,0
1958:Q4,59819,59819,2770,57049,0,0,59819,24616,1958,0,2737,17234,85,81,0,6249,2681,0,3963,0,0,0,0,0,215,0,0,0
1959:Q1,61397,61397,3033,58364,0,0,61397,25460,1958,0,2745,17476,84,70,0,6453,2828,0,4048,0,0,0,0,0,275,0,0,0
1959:Q2,62655,62655,2983,59672,0,0,62655,26068,2009,0,2747,17633,84,59,0,6690,2991,0,4124,0,0,0,0,0,250,0,0,0
1959:Q3,64594,64594,3544,61050,0,0,64594,27058,2455,0,2738,17747,84,37,0,6955,3148,0,4192,0,0,0,0,0,180,0,0,0
1959:Q4,65661,65661,3173,62488,0,0,65661,28362,1794,0,2714,17679,85,35,0,7239,3200,0,4251,0,0,0,0,0,302,0,0,0
1960:Q1,67248,67248,3323,63925,0,0,67248,28972,2449,0,2688,17654,84,36,0,7500,3284,0,4305,0,0,0,0,0,276,0,0,0
1960:Q2,68353,68353,3154,65199,0,0,68353,30072,2179,0,2674,17411,83,37,0,7727,3357,0,4356,0,0,0,0,0,457,0,0,0
1960:Q3,69924,69924,3548,66376,0,0,69924,30503,2548,0,2688,17795,80,38,0,7919,3510,0,4393,0,0,0,0,0,450,0,0,0
1960:Q4,70971,70971,3457,67514,0,0,70971,31007,2382,0,2747,18241,78,38,0,8084,3588,0,4406,0,0,0,0,0,400,0,0,0
1961:Q1,72420,72420,3820,68600,0,0,72420,30769,2780,0,2806,19135,82,39,0,8274,3693,0,4399,0,0,0,0,0,443,0,0,0
1961:Q2,73250,73250,3483,69767,0,0,73250,31610,2782,0,2824,18802,85,40,0,8501,3728,0,4374,0,0,0,0,0,504,0,0,0
1961:Q3,75018,75018,3875,71143,0,0,75018,31180,3191,0,2807,20328,94,41,0,8766,3808,0,4330,0,0,0,0,0,473,0,0,0
1961:Q4,76349,76349,3693,72656,0,0,76349,32506,2395,0,2763,21022,81,41,0,9057,3888,0,4263,0,0,0,0,0,333,0,0,0
1962:Q1,78037,78037,3901,74136,0,0,78037,31469,3376,0,2712,22348,117,41,0,9281,4039,0,4175,0,0,0,0,0,479,0,0,0
1962:Q2,79203,79203,3735,75468,0,0,79203,31384,3069,0,2679,23747,165,41,0,9498,4024,0,4058,0,0,0,0,0,538,0,0,0
1962:Q3,80552,80552,3680,76872,0,0,80552,31852,3056,0,2642,24656,171,41,0,9706,4073,0,3930,0,0,0,0,0,425,0,0,0
1962:Q4,81800,81800,3682,78118,0,0,81800,32087,2697,0,2573,25987,158,40,0,9905,4026,0,3804,0,0,0,0,0,523,0,0,0
1963:Q1,82976,82976,3508,79468,0,0,82976,31665,3366,0,2493,26810,153,44,0,10098,4029,0,3682,0,0,0,0,0,636,0,0,0
1963:Q2,84724,84724,3946,80778,0,0,84724,31642,3766,0,2434,28275,132,51,0,10289,3939,0,3553,0,0,0,0,0,643,0,0,0
1963:Q3,85899,85899,4005,81894,0,0,85899,31128,4571,0,2386,29406,89,58,0,10465,3876,0,3426,0,0,0,0,0,494,0,0,0
1963:Q4,87040,87040,4128,82912,0,0,87040,32094,3787,0,2334,30412,70,61,0,10612,3852,0,3304,0,0,0,0,0,514,0,0,0
1964:Q1,88177,88177,4162,84015,0,0,88177,32475,3824,0,2281,31184,66,62,0,10728,3843,0,3194,0,0,0,0,0,520,0,0,0
1964:Q2,89948,89948,4695,85253,0,0,89948,33112,4338,0,2243,31828,67,62,0,10811,3802,0,3089,0,0,0,0,0,596,0,0,0
