1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q3,987224,160667,483512,31887,13468,69680,216155,11855,1058967,716309,220712,0,121639,307,-71743,88750,-31540,48547,127654,160014,6609,-38969,13656,623,7718,172,19044,-82052,35356,-6080,-113244,-4464,6380,-19816,716,-20532,30876,-7668,8292,-865,57332,52625,-57152,-4864,-52289,2356,17300,90121,-79107
1995:Q4,991912,162407,489268,30909,13192,70888,212760,12488,1052925,722496,208776,0,121346,307,-61013,89983,-32000,60970,117999,161764,6498,-50263,-26892,-1231,12178,500,40852,-87100,18256,-21376,-82688,-8364,7072,-34647,3876,-38523,22524,-3200,10700,2824,9708,23371,-65273,-1466,-63807,-2092,17484,73252,-57029
1996:Q1,1011898,165341,497773,31931,13012,71843,218912,13086,1068893,730395,218248,0,119944,306,-56995,91113,-34499,68617,59568,161071,6294,-107797,-2611,-3024,12948,204,80928,25124,9832,7660,-3324,-4276,15232,-30747,2280,-33027,11876,-3976,272,3235,-99452,105186,-21950,4671,-26621,532,17620,108984,9049
1996:Q2,1032977,165925,506506,33527,12660,72918,228000,13441,1091357,739685,232192,0,119162,318,-58380,91919,-33428,66967,99562,165835,6104,-72377,24257,-1545,7856,-28,33148,38900,35064,-7016,-4872,2980,12744,-1504,2144,-3648,18796,7944,8848,638,-88796,96634,-16110,8490,-24600,2236,18000,92508,-32595
1996:Q3,1038766,169323,510053,33284,12280,74183,226191,13452,1091084,746933,224832,0,118982,337,-52318,93030,-32819,73531,130345,172045,5924,-47624,42429,-2104,7399,64,1576,-93740,14908,-70240,-47020,-944,9556,10013,4364,5649,14928,2024,780,1776,99712,90053,-36579,8506,-45085,1012,18360,107260,-56814
1996:Q4,1049398,174106,517264,33350,11860,75178,224443,13197,1098628,757103,221748,0,119414,363,-49230,94052,-34614,79436,132154,181686,5758,-55290,52793,-2479,5509,252,15044,-107752,22712,-49628,-87176,332,6008,25441,7176,18265,13516,-8068,12468,3698,95164,108082,11838,3340,8498,-23152,18976,100420,-52718
1997:Q1,1065187,177785,523750,33109,11288,76312,230395,12548,1113398,766487,226044,0,120460,407,-48211,95320,-34495,81604,163800,178793,5603,-20596,94209,4092,7494,388,16296,-65900,23300,-49600,-29172,-832,-9596,14409,3112,11297,10572,-2156,-100,4894,104220,114806,-363,-191,-172,21564,19072,74533,-82196
1997:Q2,1072419,176937,530683,33558,10908,77497,231009,11827,1118787,774064,223720,0,120572,431,-46368,96737,-35320,85689,149966,181297,5637,-36968,79157,3844,2381,216,-9072,36708,6864,-32152,51444,448,10104,7268,4456,2812,10476,-33564,5796,2357,52748,116125,31176,2906,28271,-896,19268,66577,-64277
1997:Q3,1095107,184074,536631,35546,10640,78365,238685,11166,1132945,784688,228036,0,119773,448,-37838,97779,-35599,95540,126567,184489,5861,-63783,97960,5542,11090,376,13424,-78116,17188,-48588,-45696,-2176,1156,31191,4120,27071,19460,-26268,8008,3122,110132,161743,71172,21011,50161,2084,19592,68895,-31027
1997:Q4,1112201,189200,544045,34368,10456,79311,244341,10480,1149529,798599,232432,0,118040,458,-37328,99233,-35470,97375,101367,186959,6276,-91868,115602,-4546,2755,316,-4680,4044,11424,-32612,21432,-396,4196,54500,4440,50060,29160,-10900,11668,6605,26680,207469,80482,9530,70953,-2192,19996,109183,-3992
