1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q1,92573,44855,33455,13752,1679,10414,1660,511,92573,19278,38435,11399,10889,9198,3375,20,1419,1343,32,5,38,234,210,3,1,4,0,356,218,911,37597,3673
1976:Q2,97550,48689,34136,14214,1757,10662,1796,511,97550,20271,39581,11682,10905,11681,3431,20,1416,1339,33,5,39,242,218,3,1,5,0,365,226,935,38197,5612
1976:Q3,101350,50365,35808,14667,1833,10913,1922,511,101350,20387,41132,11856,11407,13068,3501,21,1413,1333,34,5,41,252,226,3,1,5,0,378,236,967,39105,5202
1976:Q4,104281,51525,37168,15078,1909,11159,2011,511,104281,23024,42654,12559,11553,10945,3547,22,1386,1303,36,5,42,261,235,3,1,5,0,391,245,998,40397,2630
1977:Q1,106565,50742,39759,15372,1878,11402,2093,692,106565,24380,45193,13172,11919,8273,3628,20,1471,1376,46,5,45,258,233,3,1,5,0,411,255,974,42424,3706
1977:Q2,116368,58559,41367,15751,1893,11724,2134,692,116368,27454,47252,14121,12390,11420,3732,21,1491,1392,48,5,47,266,240,3,1,5,0,429,262,1015,43644,4867
1977:Q3,121335,61663,42869,16112,1898,12036,2178,692,121335,28204,49105,14631,12511,13012,3873,22,1562,1459,49,5,49,272,245,4,1,5,0,446,268,1049,44744,7721
1977:Q4,123182,60733,45283,16474,1928,12366,2179,692,123182,28671,51485,15271,12384,11254,4118,23,1713,1605,52,5,51,281,253,4,1,5,0,468,279,1092,46293,6030
1978:Q1,123283,59420,46049,16874,2010,12706,2159,940,123283,29520,52602,15869,12563,8384,4346,19,1777,1632,78,6,62,314,286,3,1,5,0,526,270,1146,46029,6363
1978:Q2,137794,69134,50232,17488,2136,13163,2190,940,137794,31618,57500,17590,13488,12724,4875,21,2052,1893,86,6,68,344,313,4,1,5,0,576,294,1266,50214,6064
1978:Q3,146539,75509,51961,18130,2274,13567,2289,940,146539,32501,60268,18862,14084,15605,5220,22,2234,2067,90,7,71,365,332,4,1,5,0,602,310,1346,50343,6242
1978:Q4,150536,76287,54421,18889,2436,14019,2435,940,150536,32898,63101,20259,14607,14112,5560,23,2404,2230,94,7,74,388,353,4,1,6,0,631,327,1424,51634,7122
1979:Q1,149752,72120,57105,19704,2589,14476,2639,823,149752,32356,65549,21601,14505,9758,5983,20,2345,2122,137,7,79,464,419,6,2,4,0,653,483,1589,52019,5963
1979:Q2,157145,78355,57540,20428,2746,14933,2749,823,157145,32467,66817,22472,15039,14133,6217,20,2478,2252,139,7,80,481,434,6,2,4,0,660,497,1636,51745,6850
1979:Q3,167426,85094,60356,21152,2901,15465,2786,823,167426,32981,70237,23450,16252,17801,6705,21,2755,2518,146,8,84,509,460,7,2,4,0,690,523,1735,53803,3033
1979:Q4,167439,84620,60201,21795,3065,16024,2706,823,167439,32552,71881,23318,15945,16664,7080,22,3012,2773,147,8,85,529,477,7,2,4,0,698,538,1792,53364,2138
1980:Q1,165889,79922,62329,22494,3183,16629,2683,1144,165889,31334,74574,22639,16993,12730,7619,28,3011,2690,216,9,97,530,475,7,3,4,0,797,647,2118,53916,2475
1980:Q2,161805,78029,59598,23035,3334,17116,2586,1144,161805,26710,72896,20638,17259,16660,7643,27,3112,2802,208,9,94,526,472,7,2,4,0,768,639,2086,49237,1938
1980:Q3,169014,83098,61055,23717,3515,17675,2527,1144,169014,27992,74837,21417,17675,19107,7987,28,3313,2993,214,9,97,544,488,7,3,4,0,790,662,2149,52361,-8464
1980:Q4,175671,86575,63284,24669,3706,18418,2545,1144,175671,30840,77659,23281,18322,17202,8368,29,3479,3148,222,9,100,570,512,8,3,4,0,819,691,2254,54886,-2280
1981:Q1,177431,84358,65715,26021,3882,19065,3074,1338,177431,30677,80871,24892,18775,13500,8718,36,3484,3145,230,9,101,599,534,8,3,6,0,796,798,2455,57190,9689
1981:Q2,186112,89825,67962,26988,4032,19668,3288,1338,186112,30361,84040,26023,19888,16692,9109,38,3626,3274,239,10,104,628,560,8,3,6,0,827,830,2585,56002,2928
1981:Q3,191920,92232,70483,27868,4226,20320,3322,1338,191920,28961,87217,26354,20544,19292,9553,39,3822,3455,249,10,109,657,586,9,3,6,0,860,866,2706,58557,10990
1981:Q4,193296,92121,70920,28918,4471,20886,3562,1338,193296,27361,90924,26249,21217,17432,10114,41,4062,3684,256,10,112,697,622,10,3,6,0,886,902,2886,55051,6202
1982:Q1,186448,85606,69208,29651,4752,21454,3445,1984,186448,26929,90182,25094,21122,12880,10242,45,3709,3328,253,10,117,730,648,11,3,13,0,832,1147,3105,56652,-5367
1982:Q2,188658,87787,68574,30312,4888,21996,3428,1984,188658,26878,88361,23930,22538,16673,10278,44,3863,3492,247,10,114,718,638,11,3,13,0,810,1136,3043,57293,-1042
1982:Q3,189203,88704,67593,30922,4924,22536,3462,1984,189203,27235,86322,22914,22724,19690,10319,42,4077,3715,241,10,112,699,621,10,3,12,0,792,1121,2943,57955,1450
1982:Q4,188581,87608,67549,31441,4920,22998,3522,1984,188581,29217,85042,22525,23567,17749,10482,42,4354,3999,236,10,110,686,609,10,3,12,0,778,1105,2882,60771,-9955
1983:Q1,187688,85947,67429,32338,5188,23538,3613,1974,187688,33388,83414,22720,24061,13482,10624,35,3400,3068,215,8,110,726,645,14,4,41,0,1455,1431,2874,61763,-8765
