date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU733091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,35,0,35,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,-17,0,-17,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,-41,0,-41,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,47,0,47,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
2008:Q3,-133529,-7982,-5257,-10302,-33026,-76962
2008:Q4,-49323,-634,-6876,-14812,55044,-82045
2009:Q1,-36629,-4377,1032,-10519,-18868,-3897
2009:Q2,45364,72,505,12430,14236,18121
2009:Q3,63192,428,19,16327,20352,26066
2009:Q4,-115779,-3291,5268,-6668,-11299,-99789
2010:Q1,-53485,-4252,6583,-4700,1446,-52562
2010:Q2,42259,2869,546,195,-10532,49181
2010:Q3,41303,2534,-2866,11779,8599,21257
2010:Q4,41484,3396,8940,1627,7876,19645
2011:Q1,48432,2337,10774,3595,-8113,39839
2011:Q2,-95534,-4312,4843,4635,-14062,-86638
2011:Q3,-38655,-914,-21409,-44648,7960,20356
2011:Q4,-129219,-7022,-5671,-27735,-23476,-65315
2012:Q1,-25622,-1103,-4037,-2877,-20620,3015
2012:Q2,-101364,-5560,-5356,-7281,-17489,-65678
2012:Q3,25195,1340,6571,7294,-4677,14667
2012:Q4,-45606,-2557,3915,3127,-33164,-16927
2013:Q1,50776,3219,29567,5529,20866,-8405
2013:Q2,50143,3812,15508,-11873,-28543,71239
2013:Q3,-9133,-23,764,-834,10622,-19662
2013:Q4,-60654,-4409,22711,-2643,-27574,-48739
2014:Q1,-2178,432,-13302,-14549,-350,25591
2014:Q2,-43822,-2717,19162,7381,-3068,-64580
2014:Q3,50465,2894,-9389,-3487,20244,40203
2014:Q4,-122237,-6968,-5780,892,-12581,-97800
2015:Q1,-16518,-1166,-26967,-4032,-2425,18072
2015:Q2,-81999,-5106,11550,2005,-7245,-83203
2015:Q3,-59089,-3307,-3579,-9926,-2540,-39737
2015:Q4,-78205,-4257,-9,-1494,-1266,-71179
2016:Q1,37312,726,-17483,6494,6791,40784
2016:Q2,-27761,-1310,13013,-4644,9380,-44200
2016:Q3,-19232,-500,6772,-8598,4001,-20907
2016:Q4,-75126,-4530,1428,-2465,-35560,-33999
2017:Q1,88052,4532,-9924,1733,-3831,95542
2017:Q2,67991,3100,15273,-329,4422,45525
2017:Q3,111146,5928,125256,2276,-704,-21610
2017:Q4,-10222,-856,-11642,-1814,2960,1130
2018:Q1,46418,3126,-5692,-2488,589,50883
2018:Q2,28525,328,11391,1648,10606,4552
2018:Q3,-2393,-650,-89256,-785,159,88139
2018:Q4,-6191,59,-26703,-564,-9850,30867
2019:Q1,3550,-910,4428,-75,6882,-6775
2019:Q2,-21445,-1377,18161,691,-4613,-34307
2019:Q3,25236,-119,-14240,1784,3434,34377
2019:Q4,9998,1206,16344,3446,-3011,-7987
2020:Q1,174493,9358,-21151,-3629,8010,181905
2020:Q2,-131306,-6461,31555,-1639,10965,-165726
2020:Q3,61620,3952,11875,-1217,-3351,50361
2020:Q4,-2857,974,-18250,-177,-22942,37538
2021:Q1,30792,1352,27844,1443,5531,-5378
2021:Q2,-4844,-1278,35193,-1901,-5735,-31123
2021:Q3,-25755,-800,-32125,598,-2328,8900
2021:Q4,27694,494,371,-594,748,26675
2022:Q1,40518,2082,21484,1025,2834,13093
2022:Q2,19382,1156,-23453,19,-14109,55769
2022:Q3,43105,1549,4679,-247,4383,32741
2022:Q4,-25154,-1364,32001,295,-1869,-54217
2023:Q1,46240,-614,-3525,296,2458,47625
2023:Q2,-72703,-3235,26852,1266,530,-98116
2023:Q3,28661,2025,8706,7980,2643,7307
2023:Q4,-10167,25,3455,-5478,-2190,-5979
2024:Q1,35606,3237,17744,-456,-2005,17086
