1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q1,1691040,43639,121822,4903,145825,654984,128662,171169,261207,3934,90012,288499,135609,152890,95681,31401,110969,69174,124143,2495482,1216228,52839,1163389,8941,342638,927675
2001:Q2,1735233,47439,126442,5026,144502,687419,134493,178926,276109,4038,93853,290098,136778,153320,95300,31027,113602,68235,126143,2488996,1250414,55118,1195296,8971,349450,880161
2001:Q3,1728152,46638,127472,5026,139540,703505,137111,182410,284492,4044,95448,280922,134562,146360,92532,29869,113441,70451,118756,2750844,1256372,65514,1190858,8892,356129,1129451
2001:Q4,1762772,53127,131593,5140,137673,736144,142944,190171,299612,4142,99275,281641,135391,146250,91828,29372,115862,72804,107588,2713719,1294383,70496,1223887,8967,362983,1047386
2002:Q1,1766485,52381,134480,5167,133307,756632,146403,194773,309839,4169,101448,274886,133836,141050,89472,28339,116322,73433,102066,2745467,1316154,71605,1244549,9237,369964,1050112
2002:Q2,1772393,54974,136250,5191,128819,776900,149815,199312,319994,4195,103584,274942,132192,142750,87041,27279,116701,73027,91269,2999878,1366203,76729,1289474,9322,376991,1247362
2002:Q3,1773206,54539,137079,5189,123652,793277,152474,202850,328555,4199,105199,274151,129861,144290,84153,26075,116507,72688,85896,3178446,1389412,85135,1304277,9495,384078,1395461
2002:Q4,1814860,59768,140357,5282,120653,824449,157968,210159,343275,4280,108767,283262,129862,153400,82753,25325,118433,74333,80245,3283609,1438302,95717,1342585,9598,391241,1444468
2003:Q1,1811538,57743,146939,5279,120591,824018,157886,210049,343096,4277,108710,278624,129794,148830,82710,25312,118357,75377,76588,3308370,1465117,97398,1367719,9650,398473,1435130
2003:Q2,1828722,59731,147563,5442,121792,832236,159459,212145,346517,4321,109794,271589,131089,140500,95117,28703,116943,75610,73996,3372729,1519965,97180,1422785,9623,405576,1437565
2003:Q3,1865988,59668,151625,5634,123105,849651,159735,218934,354151,4575,112256,282572,134202,148370,97395,29869,116151,76327,73991,3389982,1528795,99902,1428893,9709,412775,1438703
2003:Q4,1944928,67556,159815,6060,127592,889521,164034,231661,371169,4961,117696,290075,140885,149190,108152,32843,116471,77043,69800,3332568,1558759,106092,1452667,9676,419999,1344134
2004:Q1,2007182,66401,168377,6382,130371,918158,166025,241646,383530,5296,121661,301530,145820,155710,109703,33974,119497,79976,72813,4174029,2334491,24914,2309577,9745,427323,1402470
2004:Q2,1968364,61668,162954,6330,125680,894207,158498,237796,373924,5329,118660,303872,142402,161470,109898,34225,120233,82908,66389,4259928,2397952,29724,2368228,9804,434757,1417415
2004:Q3,2088513,59750,168435,7005,135009,970516,168564,260745,406267,5969,128971,313182,154972,158210,106575,34369,122473,86462,84737,4500668,2431889,40820,2391069,9859,442276,1616644
2004:Q4,1998528,63243,171956,6630,124076,901222,153325,244588,377660,5714,119935,304975,144295,160680,116072,37352,124937,90017,58048,4351810,2475324,44412,2430912,9994,449958,1416534
2005:Q1,2033394,71155,170456,6771,123225,904446,150666,247925,379412,5906,120537,324208,145198,179010,112171,37017,128684,93652,61609,4487490,2529013,45677,2483336,10073,457722,1490682
2005:Q2,2149032,71509,169777,7300,129184,958220,156236,265267,402394,6438,127885,360980,154240,206740,113436,38036,133144,97287,70159,4614629,2576478,35920,2540558,10187,465601,1562363
