1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,374765,241547,43748,64924,24546,374765,250942,122085,38945,83140,1738,374765,45877,111,0,7465,3178,1394,620,2273,2975,225885,223980,0,480,1425,181,66647,4059,4925,10448,4992,0,5456,0,0,1821,0,0,1263,0,558,0,4371,0
1967:Q4,382055,245974,44815,66249,25017,382055,257916,122419,37243,85176,1720,382055,46607,112,0,7817,3410,1419,652,2336,3003,230316,228438,0,494,1384,185,67516,4083,5003,11131,5522,0,5609,0,0,1988,0,0,1327,0,661,0,4294,0
1968:Q1,388021,249378,45477,67543,25623,388021,259187,127132,40702,86430,1702,388021,47312,201,0,8218,3696,1457,670,2395,3044,233542,231724,0,499,1319,188,67973,4091,5148,11958,6165,0,5793,0,0,2169,0,0,1398,0,771,0,4121,56
1968:Q2,395418,253675,46242,69114,26387,395418,263646,130088,40959,89129,1684,395418,47757,331,0,8569,3938,1480,691,2460,3090,238207,236391,0,505,1311,190,68421,4050,5269,12596,6623,0,5973,0,0,2359,0,0,1469,0,890,0,4423,156
1968:Q3,403087,258183,47141,70927,26836,403087,268335,133082,41564,91518,1670,403087,48735,415,0,8935,4118,1580,712,2525,3141,243242,241452,0,511,1279,192,68907,4071,5275,12908,6844,0,6064,0,0,2444,0,0,1493,0,951,0,4595,227
1968:Q4,411381,262934,48251,73019,27177,411381,273235,136492,42604,93888,1654,411381,49082,582,0,9261,4273,1683,730,2575,3195,248562,246769,0,517,1276,193,69975,4067,5362,13293,7167,0,6126,0,0,2526,0,0,1514,0,1012,0,4935,348
1969:Q1,416067,264857,49196,74367,27647,416067,275343,139089,43573,95516,1635,416067,47321,678,0,9507,4378,1795,718,2616,3243,252722,250915,0,548,1259,195,70382,4079,5426,14006,7689,0,6317,0,0,2616,0,0,1542,0,1074,0,5455,437
1969:Q2,424224,269738,50352,75792,28342,424224,280422,142192,43148,99044,1610,424224,47038,854,100,9782,4490,1911,733,2648,3302,258147,256372,0,593,1182,196,70858,4069,5475,14732,8175,0,6557,0,0,2701,0,0,1567,0,1134,0,6389,581
1969:Q3,432047,274512,51512,77271,28752,432047,285378,145071,42955,102116,1598,432047,47429,984,200,9980,4661,1895,733,2691,3432,263116,261387,0,642,1087,197,71368,4134,5550,16002,9326,0,6676,0,0,2949,0,0,1683,0,1266,0,5991,715
1969:Q4,439911,278689,53176,79051,28995,439911,289704,148634,43727,104907,1573,439911,49237,1237,300,10231,4883,1873,747,2728,3652,265620,263880,0,685,1055,200,72027,4216,5575,17664,10950,0,6714,0,0,3204,0,0,1800,0,1404,0,5742,1006
1970:Q1,442980,280971,53467,78950,29592,442980,287143,154281,56897,97384,1556,442980,47109,1248,400,10318,4999,1855,708,2756,4078,266712,265252,0,715,745,208,72673,4230,5650,19332,12499,0,6833,0,0,3499,15,0,1937,0,1547,0,6222,1301
1970:Q2,450595,284366,55054,81253,29922,450595,290189,158874,57755,101119,1532,450595,47969,1430,500,10448,5081,1923,694,2750,4187,269675,268173,0,738,764,220,73227,4213,5808,20653,13658,0,6995,0,0,3713,37,0,1982,0,1694,0,7036,1516
1970:Q3,460315,288349,57668,84057,30241,460315,294080,164729,59025,105704,1506,460315,49830,1620,600,10496,5166,1863,724,2743,4353,274379,272836,0,759,784,233,73582,4193,5789,22230,14807,322,7101,0,0,4132,95,0,2074,0,1963,0,7138,1740
1970:Q4,469364,292240,60129,86503,30492,469364,297916,169950,60314,109636,1498,469364,50108,1962,700,10533,5238,1790,781,2724,4569,279276,277693,0,783,800,245,74375,4171,5920,23046,15502,357,7187,0,0,4755,347,0,2163,0,2245,0,7548,2156
1971:Q1,477184,296349,62312,87700,30823,477184,301771,173929,61494,112435,1484,477184,49360,2154,975,10444,5291,1723,843,2587,4875,284587,282965,0,809,813,245,74533,4080,6019,23087,15420,320,7347,0,0,5957,1109,0,2305,0,2543,0,8481,2387
