1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,3560259,0,187523,846125,3322,166996,15649,6993,74962,69392,156098,97173,56669,2256,640103,40957,0,175284,1246623,97228,1202926,515251,216910,220688,78898,171180
1976:Q4,3651104,0,195979,866334,3099,169400,7729,11611,72859,77201,163485,104014,56990,2481,664031,41436,0,177810,1268575,100955,1239496,531432,221201,228961,80849,177052
1977:Q1,3657955,0,196382,901998,2939,170541,11346,7418,73367,78410,159091,98981,57948,2162,608789,37826,0,180110,1296300,103979,1268938,546488,226732,229155,84265,182298
1977:Q2,3734208,0,200317,922957,3017,166645,2988,7507,77953,78197,161788,100720,59010,2058,622067,40651,0,182542,1325778,108446,1320931,571489,232943,242048,87361,187091
1977:Q3,3776369,0,208959,949279,2956,169688,6207,7832,76821,78828,161452,99352,60254,1846,591498,40413,0,184977,1353912,113235,1370276,598540,238605,252953,89051,191127
1977:Q4,3818325,0,213619,970373,3197,174385,6057,8260,78817,81251,169432,106548,60887,1997,559025,40355,0,187791,1381895,118253,1418428,622779,244514,264892,91113,195131
1978:Q1,3862408,0,214115,1000329,4734,180011,7365,8452,84708,79486,169681,105771,62427,1483,525569,39400,0,190447,1414822,123300,1454282,641067,250760,266971,95663,199821
1978:Q2,3977733,0,221663,1020076,6050,183141,4050,8340,92098,78653,173359,106431,65581,1347,559106,41664,0,193515,1450915,128244,1522994,669239,258180,284526,102411,208637
1978:Q3,4107359,0,229599,1045046,7215,189972,8854,8388,97663,75067,179045,108948,68894,1203,594913,43683,0,196379,1488329,133178,1588648,701677,265550,298022,108012,215387
1978:Q4,4161088,0,233564,1064472,8928,190911,-269,9657,104168,77355,195711,123694,70559,1458,567841,41080,0,199349,1521371,137861,1648314,732331,273801,311305,107647,223229
1979:Q1,4280066,0,228176,1087964,15693,202860,5657,11425,109320,76458,192593,117863,73778,952,602005,42476,0,201981,1563530,142788,1693072,757019,281137,313819,110291,230806
1979:Q2,4388414,0,240525,1101016,22681,217563,13094,11300,116924,76245,195013,116325,77837,851,613786,43252,0,204874,1601859,147845,1769066,788579,294528,327319,119232,239408
1979:Q3,4530369,0,254468,1123224,29822,222921,19023,12373,121212,70313,201764,119428,81615,721,652390,44837,0,207470,1641008,152465,1843762,822265,307654,341528,123814,248500
1979:Q4,4676933,0,256149,1136716,39459,261235,47556,12405,123569,77705,209243,125748,82612,883,684612,38388,0,210280,1683912,156939,1911821,849968,320456,354616,126093,260689
1980:Q1,4702839,0,247541,1161713,54525,272441,59779,18949,123903,69810,206086,113902,91775,409,625258,39456,0,212738,1723943,159138,1962931,880320,332830,349662,133395,266724
1980:Q2,4899745,0,252641,1181212,69928,275491,61065,17399,126511,70516,204868,110934,93709,225,715648,44130,0,215426,1779480,160921,2002457,896823,347575,345637,138149,274273
1980:Q3,5120538,0,272199,1213277,70003,281689,65273,16719,128655,71042,212576,114311,98115,150,806795,49129,0,217843,1833378,163649,2057309,925899,359138,350336,142971,278966
1980:Q4,5342862,0,276640,1263768,64366,295589,79125,18565,129980,67919,218424,118802,99472,150,896643,52060,0,220528,1883717,171127,2117728,952035,368998,358044,151033,287617
1981:Q1,5436344,0,280101,1267308,98522,292646,73116,14183,142831,62516,212530,109170,103285,75,899135,52359,0,222820,1932661,178262,2145221,967221,379921,353902,154604,289573
1981:Q2,5526015,0,288570,1288454,108564,297943,69581,14166,150846,63350,217254,105837,111367,50,879520,53153,0,225469,1981569,185519,2202100,990980,389101,361610,161739,298670
1981:Q3,5517446,0,299155,1313852,137398,318762,84070,13443,159179,62070,218697,101111,117536,50,734663,48742,0,227675,2026229,192273,2248719,1008827,397458,371928,165110,305396
1981:Q4,5761221,0,325152,1362455,154610,329612,84245,14503,159290,71574,227365,105594,121746,25,795965,52640,0,230103,2083971,199348,2295970,1024623,411139,377882,169302,313024
