1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q3,4108945,116797,1413888,471728,30953,150170,143355,18269,128981,396576,0,126753,0,1583203,1279950,523793,-220540,4799254,3908315,1909900,96121,870409,79458,790951,18074,13324,4599,995888,635355,711597,-351064,890939,60851,144920,36589,648579,0
2013:Q4,4064272,111720,1320966,442611,28654,123718,145718,18637,125884,426999,0,172386,0,1589590,1273981,475148,-159539,4830815,3860919,1768587,112398,896756,78803,817953,18496,14540,3723,1046419,656136,660163,-269880,969896,96715,162667,40794,669720,0
2014:Q1,4113030,112216,1273270,417558,34350,100047,143123,16861,123177,419086,0,153118,0,1737782,1412517,473475,-148210,4883191,3905218,1712628,122725,952566,87317,865249,19388,14779,4521,1078611,685098,652117,-258604,977973,99144,169722,42404,666703,0
2014:Q2,4110476,114345,1230272,395317,32400,89257,126702,18197,128761,475178,0,167675,0,1727689,1411805,473289,-157405,4855132,3905244,1677145,113379,954207,87569,866638,20254,17764,5141,1117354,727394,670888,-280928,949888,97603,181500,43464,627321,0
2014:Q3,4034508,116708,1220427,348337,20877,64616,122657,16203,123984,502533,0,176891,0,1669612,1355167,447162,-132717,4759931,3827182,1606312,123900,981933,89491,892442,22144,19862,5412,1067619,698820,661741,-292942,932749,103056,183421,44360,601912,0
2014:Q4,3929484,111762,1152749,349566,20840,54200,150738,18865,104923,500952,0,187782,0,1626673,1310452,438078,-121857,4657711,3719657,1547722,123878,961683,92166,869517,23019,17906,4049,1041400,675181,638943,-272724,938054,109752,200841,45121,582340,0
2015:Q1,3916504,117661,1138802,359908,21692,69101,139791,20629,108695,485319,0,162857,0,1651957,1346192,436995,-131230,4649542,3706416,1535275,107412,964070,93806,870264,23424,19168,4873,1052194,680223,630421,-258450,943126,112817,200234,45418,584657,0
2015:Q2,3818821,114093,1171209,333952,19634,59714,129872,18963,105769,501775,0,164244,0,1533548,1231712,431481,-129645,4579609,3608858,1480318,135794,938685,96478,842207,24465,23602,4247,1001747,624340,680662,-303255,970751,111844,203948,45459,609500,0
2015:Q3,3778726,115552,1243636,322916,19537,72445,127814,15893,87227,425757,0,143287,0,1527578,1225360,403996,-101778,4552439,3563766,1493738,135387,934643,91265,843378,24059,24192,4078,947669,578056,638081,-268468,988673,93381,187698,49711,657883,0
2015:Q4,3598663,106076,1133265,313255,19472,77314,118352,13951,84166,408044,0,166809,0,1471214,1174906,193108,103200,4137620,3387699,1368312,131297,912508,93934,818574,24749,26298,3223,921312,554378,581204,-214270,749921,94947,203670,50404,400900,0
