1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q1,2154931,50807,1749095,1113,47534,1210,1339,1062,7195,81,8874,0,0,286621,2154931,1750402,265193,2576,7012,10866,0,5884,1121,1242,0,1035,53625,0,55975
1979:Q2,2231620,52911,1814683,1126,47914,1328,1490,1190,7455,90,9538,0,0,293895,2231620,1816155,271765,2698,7158,11305,0,6086,1159,1293,0,1012,54352,0,58637
1979:Q3,2310982,55036,1882432,1135,49848,1446,1640,1319,7720,100,9862,0,0,300444,2310982,1883999,277590,2787,7291,11801,0,6294,1199,1347,0,990,56363,0,61321
1979:Q4,2413603,63076,1942739,1145,52618,1583,1778,1514,8328,118,10081,0,0,330623,2413603,1944220,307043,3003,7401,12528,0,6510,1240,1402,0,969,58986,0,70301
1980:Q1,2472904,64924,1994004,1159,53242,1912,1929,1643,8162,34,9434,0,0,336461,2472904,1994158,312025,3143,7617,12573,0,6733,1282,1461,0,948,60027,0,72937
1980:Q2,2553336,68724,2051537,1169,55355,6099,2006,1844,8444,117,18728,0,0,339313,2553336,2051922,314028,3268,7788,13105,0,6963,1326,1521,0,927,62284,12699,77505
1980:Q3,2627648,71357,2116056,1184,56789,6855,2075,1951,8600,323,19458,0,0,343000,2627648,2116174,316710,3359,8075,13575,0,7202,1372,1585,0,906,64027,13418,81245
1980:Q4,2757418,88418,2188394,1203,56886,7556,2617,2217,9010,344,19597,0,0,381176,2757418,2187652,354022,3630,8196,14137,0,7449,1419,1650,0,886,64977,12523,100877
1981:Q1,2817656,90754,2240286,1227,59472,8410,2679,2248,9308,27,19547,0,0,383698,2817656,2239467,355564,3730,8391,14791,0,7703,1468,1719,0,867,66494,14088,103374
1981:Q2,2873216,94013,2282042,1246,62097,7063,2752,2353,9697,48,22489,0,0,389416,2873216,2281103,360139,3885,8714,15496,0,7968,1518,1791,0,848,69811,14367,107576
1981:Q3,2911696,97403,2310158,1257,63592,7551,2878,2441,9977,173,25972,0,0,390294,2911696,2308707,359844,4038,9030,16113,0,8240,1569,1865,0,829,72247,17269,111945
1981:Q4,2983106,115036,2347061,1278,68202,17811,2782,2841,10391,29,16393,0,0,401282,2983106,2345339,369622,4293,9338,16800,0,8522,1623,1942,0,811,77350,16813,130653
