1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q3,3946249,3314585,127015,137792,24864,43924,298069,0,2216374,4024,169386,99799,92176,59803,60703,7868,8844,2718977,4129141,3099206
2006:Q4,4294301,3600319,131157,144239,27319,57430,333837,0,2344607,4590,173775,128217,91560,65604,69874,8282,9022,2895531,4470343,3293053
2007:Q1,4519858,3769925,152429,149988,29500,101014,317002,0,2426609,4646,164666,109099,90217,67380,74689,8272,0,2945578,4691563,3335052
2007:Q2,4885181,4032196,177034,161538,32126,162819,319468,0,2618184,4922,163252,111537,96800,78802,78160,7699,0,3159356,5043587,3561054
2007:Q3,5091557,4193250,196356,165405,34467,209363,292716,0,2711633,4641,164715,110096,94968,83366,77580,7661,0,3254660,5247499,3673824
2007:Q4,5090968,4188219,205527,165584,34990,243250,253398,0,2627511,4526,118424,96372,86363,86265,71348,6704,0,3097513,5274991,3551307
2008:Q1,4662608,3827562,196917,143129,32012,234939,228049,0,2428530,3875,103668,78070,76126,82230,62787,8407,0,2843693,4854794,3321043
2008:Q2,4549537,3734602,197702,132714,30027,237292,217200,0,2406296,3842,92910,72456,66078,78447,59383,8835,0,2788247,4753111,3299467
2008:Q3,3745841,3067072,171560,104421,24696,202080,176012,0,2239695,3797,73642,59604,56987,75554,65947,7544,0,2582770,3929490,3083150
2008:Q4,2928147,2378648,150135,76463,18595,164680,139626,0,1741398,2810,55171,39374,46416,60088,49201,6050,0,2000508,3102418,2486446
2009:Q1,2675469,2167294,147168,70124,16687,141699,0,132497,1518373,2404,55185,29894,42218,56045,38404,6516,0,1749039,2875095,2217085
2009:Q2,3255552,2630397,186266,86931,22094,162910,0,166954,1740822,2975,68108,39468,54150,66964,44769,7211,0,2024467,3469043,2496874
2009:Q3,3920909,3152658,238879,108755,27765,184977,0,207875,2013019,4240,87459,52904,66358,78889,50186,8350,0,2361405,4144081,2847411
2009:Q4,4097179,3285535,255180,120680,28196,182313,0,225275,2120860,4699,105764,63479,68140,88355,54257,8347,0,2513901,4322122,2995459
2010:Q1,4235279,3398168,261867,124313,33299,187343,0,230289,2223657,4861,114279,66487,73941,93433,66886,1856,0,2645400,4432371,3142932
2010:Q2,3729883,2985529,233568,106290,33241,168160,0,203095,1951267,4325,101945,60479,66734,82120,58816,4408,0,2330094,3911383,2827059
2010:Q3,4336654,3464889,272936,123710,42149,196422,0,236548,2199833,4783,114493,67884,77122,100383,66659,4801,0,2635958,4513161,3139757
2010:Q4,4620850,3703940,294933,104357,48714,216914,0,251992,2423211,5555,125882,74172,88445,120266,87143,3079,0,2927753,4809587,3422293
2011:Q1,4922315,3972437,310015,103982,52118,229500,0,254263,2545481,5890,150712,80329,94185,118301,96804,2579,0,3094281,5108938,3580935
2011:Q2,4944415,4016156,306238,99283,53367,228872,0,240499,2546067,6066,161175,78237,102205,111493,101754,2548,0,3109545,5139499,3600127
2011:Q3,4061664,3318203,241334,81792,45333,188226,0,186776,2196929,5324,152187,66464,86070,87389,90211,2458,0,2687032,4244882,3196405
2011:Q4,4320052,3552983,248715,82341,49457,202448,0,184108,2419115,6017,175314,73331,102855,90429,97657,3644,0,2968362,4514327,3498726
2012:Q1,4741340,3904335,270202,85391,57094,222676,0,201642,2719864,6626,195458,72609,112201,98062,107465,5381,0,3317666,4968970,3826404
2012:Q2,4449252,3669157,251392,81559,55567,204599,0,186978,2649376,6718,197411,80743,108659,93768,102186,4787,0,3243648,4684122,3760851
2012:Q3,4813387,3980065,265710,87667,61564,217725,0,200656,2804150,6929,216658,76871,115578,98389,108738,4133,0,3431446,5050597,3957343
2012:Q4,4983895,4124887,269421,95775,67211,220145,0,206456,2795947,6848,222674,62838,113878,95897,113195,4566,0,3415843,5222873,3915805
2013:Q1,5242987,4354505,280661,103654,68538,232018,0,203611,3077786,7597,245729,67529,121845,100324,127972,4797,0,3753579,5448605,4255704
2013:Q2,5167442,4320402,266486,105056,66789,225703,0,183006,3173798,7701,250143,62264,119748,97093,134163,4230,0,3849140,5390706,4351622
2013:Q3,5706527,4783382,296212,119471,72989,248969,0,185504,3355031,8615,261785,57106,120782,91800,144920,4217,0,4044256,5913304,4548655
2013:Q4,6054227,5111076,307088,122316,78173,255249,0,180325,3703444,9480,287534,59030,117870,98218,162667,4973,0,4443216,6254171,4948418
2014:Q1,6133261,5161578,302246,126078,80463,255507,0,207389,3629661,9022,283563,66264,115203,109292,169722,7067,0,4389794,6396867,4891262
2014:Q2,6440552,5406744,308959,138056,85217,260275,0,241301,3832069,9818,284554,74758,118045,113570,181500,6813,0,4621127,6704645,5136801
2014:Q3,6181309,5178435,287134,133458,83752,244404,0,254126,3872779,9769,268953,83629,115767,114451,183421,6945,0,4655714,6453667,5217792
2014:Q4,6059586,5072306,268966,127935,84230,233870,0,272279,4079838,12738,272839,92396,113949,116214,200841,6937,0,4895752,6320124,5456888
2015:Q1,6218863,5226732,270503,129458,84268,241878,0,266024,4263227,13828,261222,103297,117697,111021,200234,6849,0,5077375,6480614,5671334
2015:Q2,6239591,5270906,268843,125145,80305,244254,0,250138,4284281,14517,257899,115120,112749,102708,203948,6929,0,5098151,6499371,5709698
2015:Q3,5677143,4819115,238107,112279,68244,223612,0,215786,4021092,13862,237512,123723,99658,82312,187698,7188,0,4773045,5900540,5384847
2015:Q4,5812337,4969661,232482,112354,64816,226110,0,206914,4277665,15306,251694,155905,100707,92543,203670,12899,0,5110389,6059272,5731383
2016:Q1,5851700,5009200,232678,114362,57473,223768,0,214219,4340066,16371,255068,176564,114229,83868,210143,12376,0,5208685,6081459,5816549
2016:Q2,5820403,4972478,221201,114087,58886,238286,0,215465,4534623,18548,262418,165963,118609,82772,215290,10823,0,5409046,6039156,6046002
2016:Q3,6177992,5272732,233184,123558,63425,249307,0,235786,4851007,21379,274588,157501,123987,81248,82425,58983,0,5651118,6388113,6321710
2016:Q4,6185809,5268081,233938,127850,63141,247200,0,245599,5006014,22941,287382,148506,128264,76694,99302,54251,0,5823354,6395424,6502750
2017:Q1,6634191,5653532,252018,138062,69623,264056,0,256900,5358623,23208,300431,153443,134397,82709,92367,56746,0,6201924,6858897,6895504
2017:Q2,6947525,5922158,266384,150713,75512,269165,0,263593,5529674,23032,307233,154720,140860,85373,104136,55382,0,6400410,7144901,7093412
2017:Q3,7405893,6320371,283823,160160,80036,287702,0,273801,5793776,22324,311144,157212,147539,90681,107309,59779,0,6689764,7611747,7380277
2017:Q4,7683805,6564342,293293,160350,86119,297751,0,281950,6154227,24396,323828,164104,160684,95718,134005,58896,0,7115858,7865018,7806330
2018:Q1,7290268,6212949,283178,152626,84833,294239,0,262443,6089111,35380,319743,160559,154582,96505,122741,63605,0,7042226,7522855,7708176
2018:Q2,7165370,6102572,281949,155239,73025,294020,0,258565,6241213,49784,336620,167243,154528,104029,121388,63115,0,7237920,7401714,7858042
2018:Q3,7219440,6143491,288217,162730,72588,302865,0,249549,6718184,89283,359929,176254,159388,114269,124667,65036,0,7807010,7452070,8426012
2018:Q4,6139070,5214635,241035,137950,61035,267259,0,217156,5813208,79625,311438,148682,131593,102084,94712,64194,0,6745536,6370722,7346877
2019:Q1,6844667,5776189,267909,164349,73075,303759,0,259386,6587898,89501,345116,172141,156677,109827,133458,65565,0,7660183,6967642,8242234
2019:Q2,7063305,5935894,273732,177880,77047,316963,0,281789,6853515,92616,347089,179267,170200,111937,156757,63391,0,7974772,7186062,8555306
2019:Q3,6988512,5824222,281580,186118,78517,322570,0,295505,6914221,100458,340299,186468,181472,111137,177868,63404,0,8075327,7059102,8650434
2019:Q4,7485964,6214598,300949,208253,85388,339148,0,337628,7497758,108079,360114,197496,198262,132175,216977,79653,0,8790514,7572786,9358681
2020:Q1,5747988,4747961,233150,164535,67608,265296,0,269438,6000951,84060,283830,156743,162725,102475,146531,80788,0,7018103,5792528,7569711
