1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q2,6727703,6545,80189,216156,207696,7686,83258,2110321,99655,1135597,212741,7284,655044,140621,ND,238054,1327123,2112570,150006,0,0,40071,7407,0,7407,5669759,1719525,60643,673591,0,678439,70105,608334,ND,128297,72667,55630,144481,0,0,31922,2152,2152,0,0,0,3950234,1656976,2259458,33800,0,0
1999:Q3,6788577,6799,88555,219734,208745,7874,82364,2196911,104419,1152245,230539,7522,702186,134925,ND,255500,1245527,2146954,147532,0,0,39298,7859,0,7859,5814534,1766257,62367,684991,0,694978,81753,613225,ND,130132,75694,54438,157838,0,0,33682,2269,2269,0,0,0,4048277,1701560,2312588,34129,0,0
1999:Q4,7318506,6725,93941,237512,217412,8062,79943,2077295,105047,1058365,232334,7760,673789,119542,ND,272332,1435081,2525861,168391,149,57,62756,13447,5100,8347,6515308,1798394,60468,676469,0,647052,89171,557881,ND,129627,78506,51121,160842,20766,5494,43766,53910,2570,0,6051,45289,4716914,2003716,2678797,34401,0,0
2000:Q1,7465874,6599,10789,229047,215384,8250,75897,2147500,101584,1059370,263721,8000,714825,147491,ND,278984,1521314,2570430,179596,152,59,64215,10167,5575,4592,6737632,1887186,59741,751326,0,669880,101623,568257,ND,127073,75940,51133,151195,21014,5579,44353,57025,2276,0,6467,48282,4850446,2089143,2726572,34731,0,0
2000:Q2,7666757,6552,67695,230188,216577,9234,87465,2185720,100012,1032891,291011,8000,753806,148708,ND,289800,1522179,2654290,170301,154,59,67107,10728,6051,4677,6753504,1881829,56909,762844,0,651182,98245,552937,ND,128352,76774,51578,150253,21263,5664,44870,60492,2335,0,6882,51275,4871675,2054063,2782484,35128,0,0
2000:Q3,7862541,6359,57302,231468,220290,10217,92415,2241051,97319,1008879,331781,8000,795072,142316,ND,333612,1552667,2692345,167888,156,61,71234,43160,6525,36635,6696736,1901124,55210,740645,0,681452,109756,571696,ND,129433,78660,50773,157627,21511,5749,45497,64000,2436,0,7296,54268,4795612,1942786,2817382,35444,0,0
2000:Q4,7621465,6384,49193,236327,226354,11201,91333,2334532,114302,1021426,348228,8000,842576,134797,ND,334227,1482537,2449008,149467,158,61,69606,46280,7000,39280,6421633,1987349,56601,803348,0,703316,120919,582397,ND,133799,83921,49878,148411,21759,5834,46715,67566,2594,0,7711,57261,4434284,1852842,2545603,35839,0,0
2001:Q1,7596656,6177,-19975,234884,211135,12185,129483,2425647,106559,1019783,378711,8000,912594,151444,ND,363723,1350833,2478263,127553,166,64,77472,47602,7550,40052,6449660,2178197,53176,845324,134083,717126,122028,595098,ND,129533,82455,47078,153031,22632,6091,43171,74030,2494,0,8161,63375,4271463,1654541,2580570,36352,0,0
2001:Q2,7886388,6103,-8743,237780,214122,13168,126259,2488268,113311,988301,390328,8000,988328,163546,ND,374618,1473625,2528630,132249,172,67,79607,56917,8101,48816,6498667,2129719,53803,806479,129693,706075,134978,571097,ND,128009,80725,47284,149752,23504,6348,45435,80621,2520,0,8610,69491,4368948,1718095,2614031,36822,0,0
2001:Q3,7784423,6316,10223,247218,212338,14152,111762,2545309,113168,995064,409633,8000,1019444,176688,ND,384720,1281358,2535448,106980,180,70,85819,65842,8650,57192,6233855,2107468,59918,805295,112143,685318,136339,548979,ND,126882,80183,46699,155667,24376,6605,44049,87215,2550,0,9060,75605,4126387,1433884,2655346,37157,0,0
