1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,133920,83560,75294,8267,13722,4538,16061,14751,14939,11823,2187,929,5888,5199,689,9051,3998,2970,389,639,5053,3654,1109,290,-188,1310,1342,-32,3544,12508,608,537,393,144,0,59,133920,13014,5624,1204,1013,152756
1962:Q4,136150,84415,76059,8356,13940,4586,16714,15308,15174,11941,2139,1094,5907,5238,669,9267,4049,2852,397,800,5218,3851,1073,294,134,1407,1442,-36,3647,13049,897,549,403,146,0,148,136150,13153,5749,-1202,1183,153033
1963:Q1,137808,85664,76991,8673,13994,4636,16799,15353,15107,11969,2103,1036,5930,5231,699,9177,4149,3014,447,688,5028,3724,957,348,246,1446,1488,-42,3587,12748,412,610,449,161,0,184,137808,13296,5834,-654,1127,154297
1963:Q2,140759,86890,78089,8801,13950,4672,17557,16070,16016,12961,2066,989,6353,5668,685,9663,4236,3106,495,635,5427,4187,886,354,54,1487,1531,-44,3636,13504,257,630,459,171,0,178,140759,13450,5931,-1256,1084,158421
1963:Q3,141687,88161,79211,8950,14057,4711,17914,16384,16442,13378,2061,1003,6529,5851,678,9913,4305,3136,522,647,5608,4391,861,356,-58,1530,1572,-42,3753,13291,1003,634,471,163,0,170,141687,13617,6009,1430,1110,161647
1963:Q4,145120,89694,80560,9134,14397,4709,18238,16663,16851,13732,2066,1053,6679,6004,675,10172,4426,3188,534,704,5746,4540,857,349,-188,1575,1610,-35,3864,13844,562,655,489,166,0,282,145120,13796,6085,-983,1156,163087
1964:Q1,147704,91294,82056,9238,14479,4710,19263,17642,17701,14400,2162,1140,6599,5933,666,11102,4741,3270,659,812,6361,5197,837,328,-59,1621,1646,-25,4039,13586,588,680,518,162,0,242,147704,13987,6167,294,1265,166109
1964:Q2,151219,93156,83708,9447,14705,4695,19330,17663,17699,14414,2184,1102,6600,5928,672,11099,4896,3452,659,785,6203,5034,853,317,-36,1667,1686,-19,4178,14544,302,696,543,153,0,218,151219,14196,6243,-865,1219,170354
1964:Q3,152608,95003,85352,9651,14822,4716,19610,17898,18123,14805,2201,1118,6745,6071,674,11378,5004,3561,637,806,6374,5173,890,312,-225,1712,1730,-18,4365,14285,1148,802,560,242,0,155,152608,14424,6313,1777,1262,173854
1964:Q4,155507,96523,86672,9852,15126,4710,19505,17749,17923,14604,2209,1109,6629,5956,673,11294,5135,3713,622,800,6159,4935,914,309,-174,1756,1776,-20,4403,14855,691,827,566,261,0,250,155507,14669,6391,-1253,1175,174145
1965:Q1,159944,98233,88204,10029,15487,4771,21461,19661,19761,16398,2170,1193,7086,6472,614,12675,5105,3740,479,886,7570,6186,1077,307,-100,1800,1827,-27,4639,14856,627,876,583,293,0,249,159944,14933,6471,-966,1359,178172
1965:Q2,163506,99981,89719,10262,15794,4818,22012,20172,20452,16996,2219,1236,7308,6683,625,13144,5290,3924,473,893,7854,6389,1121,343,-280,1840,1873,-33,4745,15403,302,876,575,301,0,179,163506,15222,6565,-1096,1410,183295
1965:Q3,164574,102085,91554,10531,15992,4876,22315,20439,20819,17338,2328,1154,7440,6785,655,13379,5466,4161,491,814,7913,6392,1182,340,-380,1876,1915,-39,4883,14876,1466,872,561,311,0,141,164574,15536,6658,2467,1313,187823
1965:Q4,170798,105116,94280,10836,16390,4873,23502,21593,22078,18368,2587,1123,7934,7197,737,14144,5641,4370,533,738,8503,6801,1317,385,-485,1908,1953,-45,4876,15574,612,861,546,315,0,219,170798,15875,6748,334,1197,192999
1966:Q1,175411,108277,96441,11837,17307,4959,24344,22408,22707,18928,2692,1087,8177,7476,701,14530,5682,4394,598,690,8848,7058,1393,397,-299,1937,1987,-50,5168,14948,559,855,538,317,0,113,175411,16239,6839,1739,1250,197633
1966:Q2,178989,111103,98976,12127,16801,4939,24093,22135,22801,19028,2652,1122,8157,7476,681,14644,5614,4234,663,717,9030,7318,1308,405,-666,1958,2011,-53,5332,16109,371,845,527,318,0,138,178989,16606,6979,-142,1263,201805
1966:Q3,179406,113917,101533,12384,16790,5005,23707,21735,22638,18789,2713,1137,8039,7351,688,14599,5562,4143,720,699,9037,7295,1305,438,-903,1972,2025,-54,5535,15813,2189,842,522,320,0,-15,179406,16976,7096,3182,1242,205576
1966:Q4,184286,115951,103371,12580,17036,5007,23978,21999,22238,18372,2684,1182,7859,7189,670,14379,5461,3980,745,736,8918,7203,1269,446,-239,1979,2031,-52,5800,16341,830,851,526,325,0,151,184286,17349,7226,304,1316,208401
1967:Q1,185365,117502,104710,12792,17225,5064,23332,21353,21446,17550,2725,1172,7658,6884,774,13788,5733,4276,752,705,8055,6390,1199,467,-93,1979,2026,-48,5989,16041,736,867,539,328,0,82,185365,17725,7342,1002,1305,209569
1967:Q2,187827,118912,105901,13011,17124,5093,23038,21070,21401,17516,2771,1113,7586,6799,787,13815,5885,4474,743,668,7930,6243,1241,445,-331,1969,2013,-44,6211,16832,346,892,554,338,0,70,187827,18118,7470,241,1270,213359
1967:Q3,189650,121318,108002,13316,17631,5108,23304,21355,21787,17735,2797,1255,7652,6860,792,14135,5987,4390,726,871,8148,6485,1279,384,-432,1949,1990,-41,6311,17113,2067,922,574,348,0,10,189650,18528,7627,2387,1422,216433
1967:Q4,195592,124059,110396,13663,17493,5082,24192,22272,22970,18833,2902,1235,8096,7285,811,14874,5812,4133,743,936,9062,7415,1348,299,-698,1920,1959,-39,6414,17952,662,947,595,352,0,115,195592,18955,7791,-268,1396,220595
1968:Q1,200341,127718,113553,14166,17920,5019,24531,22650,23819,19376,3139,1305,9114,8215,899,14705,6219,4662,833,724,8486,6499,1407,581,-1169,1881,1919,-38,6499,18149,589,978,626,352,0,116,200341,19399,7975,1428,1454,226318
1968:Q2,206148,130998,116481,14517,18294,5018,25529,23667,24398,19773,3251,1373,9266,8345,921,15132,6451,4651,874,926,8681,6777,1456,447,-731,1862,1898,-36,6582,18930,345,1032,680,352,0,111,206148,19877,8109,1289,1500,234778
1968:Q3,208419,134455,119583,14873,18738,5053,25661,23797,24535,19821,3283,1432,9279,8359,920,15256,6629,4844,927,858,8627,6618,1436,574,-738,1864,1898,-34,6782,19326,2678,1068,722,346,0,14,208419,20390,8244,1927,1563,237427
1968:Q4,215335,137579,122356,15224,18877,5006,26028,24142,25155,20413,3216,1526,9505,8615,890,15650,6700,4881,959,860,8950,6917,1367,666,-1013,1886,1917,-32,7088,20002,562,1105,760,345,0,212,215335,20936,8427,-1511,1568,242125
1969:Q1,218964,140692,124767,15925,18908,5055,25869,23941,25174,20182,3426,1565,9675,8745,930,15499,6681,4757,994,930,8818,6680,1502,635,-1233,1928,1957,-28,7844,19939,567,1179,815,364,0,46,218964,21517,8600,1190,1584,247502
1969:Q2,223442,144180,127846,16334,19278,5072,25083,23146,24451,19492,3350,1609,9367,8480,887,15084,6771,4790,1057,924,8313,6222,1406,685,-1305,1938,1965,-28,8046,20896,345,1207,839,368,0,26,223442,22086,8791,-280,1540,253541
1969:Q3,224949,148359,131608,16751,19492,5112,24355,22442,23676,18639,3349,1687,9017,8139,878,14659,6835,4703,1116,1016,7824,5797,1355,671,-1234,1913,1943,-30,8326,21182,3014,1209,842,367,0,-71,224949,22643,8938,1992,1487,257044
1969:Q4,229897,151229,134113,17117,19328,5109,23110,21255,23353,18108,3511,1734,8899,7980,919,14454,6971,4776,1229,966,7483,5352,1363,768,-2098,1855,1891,-35,8525,21838,608,1203,835,368,0,162,229897,23188,9134,-1320,1504,259528
1970:Q1,230955,153738,136275,17464,19268,5107,21166,19402,21600,16246,3554,1800,7769,6873,896,13831,6975,4568,1295,1112,6856,4805,1363,688,-2198,1764,1807,-43,9042,21894,308,1154,781,373,0,-106,230955,23722,9338,700,1572,261962
1970:Q2,234202,155058,137267,17792,19178,5054,22118,20443,21588,16120,3623,1845,7789,6878,911,13799,6939,4621,1385,933,6860,4621,1327,912,-1145,1675,1725,-50,9636,22758,395,1116,742,374,0,-320,234202,24272,9546,1048,1659,268329
1970:Q3,234287,157049,138931,18118,19621,5214,22096,20507,22069,16244,4003,1822,8036,7006,1030,14033,6955,4511,1438,1006,7078,4727,1535,816,-1562,1589,1645,-56,10233,23073,3652,1056,712,344,0,-402,234287,24840,9742,3428,1646,270741
1970:Q4,238078,157502,139089,18413,19736,5290,20865,19360,21007,15063,4311,1633,7669,6529,1140,13338,6932,4595,1452,885,6406,3939,1719,748,-1647,1505,1566,-61,10595,23689,422,1031,691,340,0,-207,238078,25425,9953,167,1516,272277
1971:Q1,246725,161975,142628,19347,20079,5272,24156,22732,23634,17545,4220,1869,8596,7453,1143,15038,7122,4728,1444,950,7916,5364,1633,919,-902,1424,1488,-64,10860,24255,457,1033,669,364,0,-448,246725,26026,10136,3767,1854,283034
1971:Q2,251902,164949,145112,19836,20712,5419,24685,23267,24434,18104,4340,1990,8829,7640,1189,15605,7052,4396,1349,1307,8553,6068,1802,683,-1167,1418,1482,-64,11081,24943,583,1026,664,362,0,-328,251902,26620,10279,2696,1994,290413
