1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q1,1566823,1503514,1858,1505372,6274,6274,1048,1048,6083,128,2217,0,3738,0,0,0,0,0,42480,0,0,5566,48046,0,0,0,0,0,0,0,0,0
1978:Q2,1626671,1561046,1937,1562983,6416,6416,1056,1056,6283,132,2333,0,3818,0,0,0,0,0,44541,0,0,5392,49933,0,0,0,0,0,0,0,0,0
1978:Q3,1682041,1614880,2082,1616962,6608,6608,1062,1062,6490,137,2428,0,3925,0,0,0,0,0,45409,0,0,5510,50919,0,0,0,0,0,0,0,0,0
1978:Q4,1742524,1673044,1973,1675017,6849,6849,1078,1078,6777,143,2514,0,4120,0,0,0,0,0,47001,0,0,5802,52803,0,0,0,0,0,0,0,0,0
1979:Q1,1819347,1748337,2065,1750402,7012,7012,1113,1113,7195,149,2576,0,4470,0,0,0,0,0,47534,0,0,6091,53625,0,0,0,0,0,0,0,0,0
1979:Q2,1886246,1813840,2315,1816155,7158,7158,1126,1126,7455,160,2698,0,4597,0,0,0,0,0,47914,0,0,6438,54352,0,0,0,0,0,0,0,0,0
1979:Q3,1956508,1881504,2495,1883999,7291,7291,1135,1135,7720,166,2787,0,4767,0,0,0,0,0,49848,0,0,6515,56363,0,0,0,0,0,0,0,0,0
1979:Q4,2020080,1941526,2694,1944220,7401,7401,1145,1145,8328,176,3003,0,5149,0,0,0,0,0,52618,0,0,6368,58986,0,0,0,0,0,0,0,0,0
1980:Q1,2071123,1992564,1594,1994158,7617,7617,1159,1159,8162,192,3143,0,4827,0,0,0,0,0,53242,0,0,6785,60027,0,0,0,0,0,0,0,0,0
1980:Q2,2144306,2049886,2036,2051922,7788,7788,1169,1169,8444,201,3268,0,4975,0,0,0,0,0,55355,0,0,6929,62284,4024,8675,12699,0,0,0,0,0,0
1980:Q3,2211478,2114152,2022,2116174,8075,8075,1184,1184,8600,206,3359,0,5035,0,0,0,0,0,56789,0,0,7238,64027,4563,8855,13418,0,0,0,0,0,0
1980:Q4,2283561,2185480,2172,2187652,8196,8196,1203,1203,9010,220,3630,0,5160,0,0,0,0,0,56886,0,0,8091,64977,3892,8631,12523,0,0,0,0,0,0
1981:Q1,2338975,2237116,2351,2239467,8391,8391,1227,1227,9308,230,3730,0,5348,0,0,0,0,0,59472,0,0,7022,66494,4566,9522,14088,0,0,0,0,0,0
1981:Q2,2384938,2278614,2489,2281103,8714,8714,1246,1246,9697,244,3885,0,5568,0,0,0,0,0,62097,0,0,7714,69811,2775,11592,14367,0,0,0,0,0,0
1981:Q3,2418487,2306448,2259,2308707,9030,9030,1257,1257,9977,257,4038,0,5682,0,0,0,0,0,63592,0,0,8655,72247,2952,14317,17269,0,0,0,0,0,0
1981:Q4,2460509,2343148,2191,2345339,9338,9338,1278,1278,10391,271,4293,0,5827,0,0,0,0,0,68202,0,0,9148,77350,12610,4203,16813,0,0,0,0,0,0
1982:Q1,2494720,2376553,2192,2378745,9551,9551,1298,1298,10652,288,4482,0,5882,0,0,0,0,0,66516,0,0,10030,76546,13446,4482,17928,0,0,0,0,0,0
1982:Q2,2506523,2387635,2287,2389922,9836,9836,1327,1327,10829,288,4439,0,6102,0,0,0,0,0,63146,0,0,11405,74551,15043,5015,20058,0,0,0,0,0,0
1982:Q3,2514668,2382286,2532,2384818,10093,10093,1341,1341,10914,292,4528,0,6094,0,0,0,0,0,74259,0,0,10888,85147,16766,5589,22355,0,0,0,0,0,0
