1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,5205,4409,0,4409,684,684,52,52,60,12,16,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,1537,1449,0,1449,0,0,32,32,56,12,20,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,-650,-714,0,-714,0,0,20,20,44,16,4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,362,314,0,314,0,0,16,16,32,4,64,-44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,1398,826,0,826,488,488,20,20,64,8,16,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,2262,2174,0,2174,0,0,44,44,44,0,20,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,608,536,0,536,0,0,12,12,60,-4,0,36,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,2256,2144,0,2144,0,0,24,24,88,0,76,-52,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,3621,3453,0,3453,248,248,40,40,-120,4,16,-212,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,2790,2706,0,2706,0,0,44,44,40,4,20,-56,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,410,130,0,130,200,200,20,20,60,4,4,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,1052,1080,0,1080,0,0,20,20,-48,0,84,-176,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,5561,5229,0,5229,248,248,24,24,60,0,32,-32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,3312,3144,0,3144,0,0,48,48,120,8,32,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,1781,1637,0,1637,0,0,20,20,124,12,80,-20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,3460,3364,0,3364,0,0,12,12,84,0,64,-20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,6601,6505,0,6505,0,0,28,28,68,12,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,1515,1087,0,1087,0,0,36,36,392,32,48,208,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,1752,1360,0,1360,0,0,8,8,384,32,56,152,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,5604,5360,0,5360,40,40,16,16,188,16,72,16,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,5359,5691,0,5691,-440,-440,16,16,92,24,32,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,6852,6560,0,6560,132,132,32,32,128,8,48,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,-1005,-1225,0,-1225,168,168,28,28,24,8,96,-100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,38,-370,0,-370,308,308,16,16,84,28,36,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,-1489,-1765,0,-1765,164,164,36,36,76,24,48,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,10987,10607,0,10607,152,152,56,56,172,32,44,8,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q2,1615,1179,0,1179,180,180,20,20,236,36,128,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,160,772,0,772,68,68,8,8,-688,32,32,-652,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,-682,-506,0,-506,112,112,44,44,-332,28,224,-592,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,9455,5471,0,5471,88,88,44,44,252,40,56,0,156,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1969:Q2,930,-3166,0,-3166,220,220,72,72,204,52,116,0,36,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1969:Q3,1873,-2055,0,-2055,200,200,28,28,100,92,36,0,-28,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1969:Q4,3759,-357,0,-357,228,228,12,12,276,92,48,0,136,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1970:Q1,17003,13615,0,13615,264,264,48,48,-524,-900,56,0,320,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1970:Q2,249,-3755,0,-3755,200,200,16,16,188,4,72,0,112,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1970:Q3,859,-6637,0,-6637,192,192,24,24,80,4,24,0,52,0,0,0,0,0,7200,0,0,0,7200,0,0,0,0,0,0,0,0,0
1970:Q4,2340,-5316,0,-5316,276,276,44,44,136,8,96,0,32,0,0,0,0,0,7200,0,0,0,7200,0,0,0,0,0,0,0,0,0
1971:Q1,9764,5804,0,5804,140,140,60,60,160,4,68,0,88,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1971:Q2,3805,-15,0,-15,196,196,48,48,-24,4,80,0,-108,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1971:Q3,12064,4432,0,4432,396,396,20,20,16,0,24,0,-8,0,0,0,0,0,7200,0,0,0,7200,0,0,0,0,0,0,0,0,0
1971:Q4,445,-3667,0,-3667,256,256,32,32,224,8,144,0,72,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1972:Q1,7878,3622,0,3622,176,176,76,76,404,0,40,0,364,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1972:Q2,-5355,-9467,0,-9467,276,276,44,44,192,4,140,0,48,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1972:Q3,6155,-1321,0,-1321,192,192,24,24,60,0,28,0,32,0,0,0,0,0,7200,0,0,0,7200,0,0,0,0,0,0,0,0,0
1972:Q4,-5890,-13894,0,-13894,440,440,60,60,304,16,180,0,108,0,0,0,0,0,7200,0,0,0,7200,0,0,0,0,0,0,0,0,0
1973:Q1,-6519,-9567,1028,-8539,360,360,56,56,864,4,112,0,748,0,0,0,0,0,0,0,0,740,740,0,0,0,0,0,0,0,0,0
1973:Q2,7596,1804,996,2800,304,304,52,52,520,12,248,0,260,0,0,0,0,0,3600,0,0,320,3920,0,0,0,0,0,0,0,0,0
1973:Q3,21218,18194,916,19110,412,412,36,36,548,16,208,0,324,0,0,0,0,0,-1800,0,0,2912,1112,0,0,0,0,0,0,0,0,0
1973:Q4,31059,25631,860,26491,416,416,60,60,252,8,112,0,132,0,0,0,0,0,3600,0,0,240,3840,0,0,0,0,0,0,0,0,0
1974:Q1,-12219,-20775,784,-19991,388,388,112,112,832,4,92,0,736,0,0,0,0,0,5400,0,0,1040,6440,0,0,0,0,0,0,0,0,0
1974:Q2,-18830,-28302,788,-27514,568,568,24,24,868,20,420,0,428,0,0,0,0,0,7200,0,0,24,7224,0,0,0,0,0,0,0,0,0
