1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q2,5252,5024,24,20,20,76,88,0,268,4,16,4,4,4,24,0,0,324,5492,420
1966:Q3,5068,4824,24,16,24,84,96,0,-172,4,12,8,8,4,24,0,0,-112,5256,-128
1966:Q4,6208,5964,28,20,24,84,88,0,500,4,60,36,32,8,116,0,0,756,6464,924
1967:Q1,4528,4296,72,72,32,28,28,0,616,12,16,4,4,0,12,0,0,664,4744,836
1967:Q2,3716,3472,76,76,32,24,36,0,632,16,4,4,4,4,-12,0,0,652,3856,832
1967:Q3,5244,4984,80,80,36,32,32,0,400,16,8,4,4,4,-16,0,0,420,5436,540
1967:Q4,4988,4716,88,88,32,28,36,0,544,16,0,-20,-16,0,-44,0,0,480,5188,584
1968:Q1,3740,3456,88,96,36,28,36,0,1120,12,8,4,4,4,-12,0,0,1140,3924,1436
1968:Q2,4476,4184,96,100,36,28,32,0,376,12,12,4,8,4,8,0,0,424,4688,544
1968:Q3,6032,5716,104,108,40,32,32,0,352,16,12,4,4,0,32,0,0,420,6292,536
1968:Q4,6108,5768,112,120,36,32,40,0,608,16,8,-28,-16,0,-8,0,0,580,6272,716
1969:Q1,5972,5620,116,124,40,32,40,0,992,16,12,4,8,0,4,0,0,1036,6224,1300
1969:Q2,6352,5996,124,128,40,32,32,0,640,16,20,8,8,8,12,0,0,712,6652,908
1969:Q3,5924,5544,128,144,40,32,36,0,748,16,20,4,12,4,12,0,0,816,6192,1032
1969:Q4,4664,4248,140,156,48,32,40,0,1204,20,52,36,44,16,80,0,0,1452,4768,1812
1970:Q1,7484,7068,148,160,40,32,36,0,1904,28,20,8,8,8,0,0,0,1976,7832,2480
1970:Q2,8168,7724,156,172,44,32,40,0,656,24,16,8,8,4,-8,0,0,708,8576,904
1970:Q3,6600,6144,164,184,40,32,36,0,1132,24,16,4,4,8,-8,0,0,1180,6872,1492
1970:Q4,6928,6424,176,200,52,36,40,0,704,28,24,0,4,12,12,0,0,784,7080,980
1971:Q1,-6408,-6932,192,212,44,36,40,0,660,8,16,8,4,4,16,0,0,716,-6612,900
1971:Q2,7420,6876,196,228,48,32,40,0,476,12,20,4,12,8,24,0,0,556,7796,700
1971:Q3,8860,8300,204,236,48,32,40,0,-996,12,16,8,8,4,20,0,0,-928,9232,-1168
1971:Q4,5240,4600,232,268,56,40,44,0,900,16,-4,-60,-44,0,12,0,0,820,5312,1036
1972:Q1,-13292,-13928,236,276,48,32,44,0,-740,16,20,8,8,8,16,0,0,-664,-13736,-836
1972:Q2,5652,4980,248,296,52,36,40,0,756,16,16,4,8,8,8,0,0,816,5924,1028
1972:Q3,9400,8688,268,316,52,36,40,0,1180,16,16,8,8,4,12,0,0,1244,9740,1568
1972:Q4,6412,5520,316,372,72,60,72,0,1764,20,-12,-68,-56,4,-32,0,0,1620,6576,2040
1973:Q1,-60348,-61144,300,364,56,36,40,0,3004,84,16,4,4,8,-80,0,0,3040,-62788,3828
1973:Q2,10312,9468,320,384,60,36,44,0,3616,124,56,24,28,16,-52,0,0,3812,10764,4804
1973:Q3,8312,7436,332,412,56,36,40,0,1492,100,56,24,24,20,-24,0,0,1692,8636,2132
1973:Q4,10472,9460,380,460,64,52,56,0,156,136,96,-76,-48,44,40,0,0,348,10872,436
1974:Q1,-3468,-4468,380,472,64,36,48,0,5740,120,56,-244,24,20,-52,0,0,5664,-3600,7136
1974:Q2,6828,5780,404,504,60,40,40,0,1620,120,228,-248,-208,-4,204,0,0,1712,7160,2156
1974:Q3,16848,15732,424,540,68,36,48,0,5024,124,224,-244,-212,-4,200,0,0,5112,17540,6440
1974:Q4,14592,13412,456,576,64,40,44,0,2024,128,408,-228,-124,-20,440,0,0,2628,15108,3312
1975:Q1,15448,14196,480,620,64,40,48,0,360,-16,224,144,124,0,48,0,0,884,16088,1112
1975:Q2,15296,13968,512,660,72,40,44,0,2440,-16,20,144,124,0,48,0,0,2760,15960,3480
1975:Q3,5748,4344,544,704,68,40,48,0,-52,-16,20,144,124,4,48,0,0,272,5980,344
1975:Q4,18268,16788,572,752,68,40,48,0,4232,-20,-188,148,120,0,56,0,0,4348,18948,5476
1976:Q1,15064,13480,612,808,72,44,48,0,4312,12,20,140,172,4,8,0,0,4668,15692,5884
1976:Q2,7708,6024,652,864,80,40,48,0,2808,12,100,208,176,8,136,0,0,3448,8068,4344
1976:Q3,12796,11120,584,924,76,40,52,0,2528,16,104,208,176,4,136,0,0,3172,13308,3996
1976:Q4,10372,7908,908,1208,128,104,116,0,1260,64,276,292,264,12,340,0,0,2508,10728,3160
1977:Q1,7200,5196,776,1052,80,44,52,0,2456,-12,100,208,176,8,176,0,0,3112,7520,3920
1977:Q2,14508,12380,824,1132,80,44,48,0,2620,-16,108,88,72,4,188,0,0,3064,15132,3860
1977:Q3,10632,8368,876,1208,88,40,52,0,2792,-12,108,88,76,4,192,0,0,3248,11048,4092
1977:Q4,13372,10872,960,1332,92,56,60,0,1608,-24,156,208,168,8,292,0,0,2416,13664,3044
1978:Q1,18324,16536,912,680,128,168,-100,0,3896,108,108,88,72,4,28,0,0,4304,19024,5424
1978:Q2,14264,12388,960,704,136,176,-100,0,6600,124,136,232,196,16,40,0,0,7344,14880,9252
1978:Q3,10628,8656,1016,728,140,184,-96,0,7576,152,140,232,200,16,0,0,0,8316,9728,10480
1978:Q4,18512,16252,1140,836,160,204,-80,0,3900,192,244,332,292,36,108,0,0,5104,19164,6432
1979:Q1,20940,18772,1136,776,148,200,-92,0,3560,340,476,604,196,16,-256,0,0,4936,22788,6216
1979:Q2,27728,25460,1196,808,152,204,-92,0,8416,340,472,604,512,36,268,0,0,10648,29900,13416
1979:Q3,27624,25236,1268,832,160,216,-88,0,8500,340,472,600,516,40,268,0,0,10736,30688,13528
1979:Q4,20676,17956,1420,952,180,240,-72,0,8216,224,608,792,580,68,904,0,0,11392,23908,14352
1980:Q1,19844,17220,1412,892,168,236,-84,0,7392,908,1316,604,516,-336,144,0,0,10544,23792,13284
1980:Q2,10200,7452,1496,920,176,240,-84,0,15200,844,652,308,804,332,132,0,0,18272,14220,23024
1980:Q3,16072,13180,1580,956,184,256,-84,0,10532,1012,868,276,428,824,1020,0,0,14960,20604,18852
1980:Q4,27780,24476,1784,1096,208,284,-68,0,7996,688,-200,428,412,520,88,0,0,9932,33132,12512
1981:Q1,7800,4620,1768,1016,196,276,-76,0,9344,1024,720,248,124,-1268,-204,0,0,9988,11836,12584
1981:Q2,21964,18628,1864,1060,200,288,-76,0,13036,1032,1776,292,420,84,168,0,0,16808,25720,21176
1981:Q3,4404,924,1968,1088,204,296,-76,0,13560,1128,1244,504,352,500,188,0,0,17476,11780,22020
1981:Q4,2832,-920,2120,1160,224,316,-68,0,27712,2268,2824,1052,1636,-560,784,0,0,35716,12488,45004
1982:Q1,18354,12322,2880,1732,212,848,360,0,-2156,1464,1804,136,436,-320,720,0,0,2084,23421,8617
1982:Q2,18441,14321,1432,1232,136,780,540,0,2060,648,1012,-96,664,680,428,0,0,5396,14484,11784
1982:Q3,15749,12245,1736,1304,44,1076,-656,0,6872,1012,968,-112,-88,-736,616,0,0,8532,6952,11396
1982:Q4,19429,21233,472,-544,88,-1016,-804,0,3912,1028,864,948,100,1192,688,0,0,8732,27860,18740
1983:Q1,22027,16243,2304,772,28,2404,276,0,3472,1960,788,-56,120,-348,444,0,0,6380,8096,5020
1983:Q2,18099,14699,1264,1820,256,-124,184,0,3588,676,-8,-16,-48,564,136,0,0,4892,13092,13148
1983:Q3,23835,20707,1296,1308,180,80,264,0,3188,820,1028,844,-52,696,168,0,0,6692,23160,16236
1983:Q4,31763,28623,2432,240,244,-32,256,0,10760,956,748,188,252,-2028,12,0,0,10888,27540,7080
1984:Q1,24512,22072,600,416,-28,2200,-748,0,10192,1444,680,164,-488,3852,732,0,0,16576,16356,19436
1984:Q2,26316,23400,2676,1244,108,-1788,676,0,15176,524,640,-204,-244,224,320,0,0,16436,17600,34500
1984:Q3,22512,19404,844,1096,184,1408,-424,0,8592,244,2268,-516,-312,2700,124,0,0,13100,16984,17724
1984:Q4,20120,15652,3096,64,788,552,-32,0,15656,1312,1492,300,3936,-568,-44,0,0,22084,30140,26208
1985:Q1,13172,15552,-392,-1824,-228,56,8,0,14248,1056,660,-216,-444,-308,-780,0,0,14216,9428,19648
1985:Q2,28468,25176,1528,1344,444,-32,8,0,9296,-364,336,-288,240,880,-116,0,0,9984,15232,17504
1985:Q3,8624,9132,-2460,1188,-4,632,136,0,10496,108,2360,852,1320,-976,24,0,0,14184,12044,19360
1985:Q4,21868,20952,2204,-1444,-36,-256,448,0,19072,1016,1424,436,-268,-1392,-432,0,0,19856,22564,22472
1986:Q1,17924,13952,-1724,912,-320,5052,52,0,-408,528,800,-364,-1376,-336,280,0,7180,6304,33176,13720
1986:Q2,21268,17532,796,1256,-1452,3204,-68,0,12352,524,740,32,452,-224,136,176,688,14876,19432,22080
1986:Q3,12820,16228,-2200,1800,288,-3460,164,0,25444,428,2224,136,4688,1776,224,0,-7080,27840,13624,34984
1986:Q4,8656,15932,-5376,-1888,248,-32,-228,0,52492,2380,1004,668,2812,5172,1528,-8,-18580,47468,10172,70892
1987:Q1,21592,20708,-1384,3128,28,-996,108,0,24700,-64,572,-540,1116,-1932,3484,-4,-2656,24676,26676,51532
1987:Q2,22096,22476,-3188,1492,16,1348,-48,0,24620,456,-1824,1592,1156,4912,1836,0,-8524,24224,22972,34372
1987:Q3,29200,27196,680,844,116,368,-4,0,35456,-412,1712,200,-508,-3944,556,4,1780,34844,30432,83052
1987:Q4,39912,38464,-1932,940,-32,-4108,6580,0,33300,5508,2172,-2348,1860,-312,2120,136,8964,51400,44856,64920
1988:Q1,6088,1604,-1488,3476,284,3744,-1532,0,51504,820,4436,1108,1184,2552,2160,0,-18424,45340,14300,33700
1988:Q2,5168,4492,-1276,1684,-176,1256,-812,0,63692,560,908,508,-912,236,-5204,4,-15532,44260,2868,54864
1988:Q3,30616,26108,80,2276,368,2136,-352,0,46780,400,-580,404,1304,-1368,5400,100,-16276,36164,30080,55116
1988:Q4,3484,332,648,1876,-608,1460,-224,0,76756,-1224,4488,2128,3676,-2764,-352,-80,-23700,58928,17260,87260
1989:Q1,32120,27700,-884,1536,-448,4108,108,0,10728,904,1208,-376,1952,9280,-1764,0,-8140,13792,51192,74332
1989:Q2,23104,4720,700,1488,-412,17616,-1008,0,22524,1476,44,964,-220,10688,1228,-4,4504,41204,23772,61300
1989:Q3,26140,11120,776,1924,-716,13068,-32,0,55920,500,2320,2596,1524,-11908,-60,0,-1780,49112,29028,46076
1989:Q4,18368,16024,-2808,-1492,808,5112,724,0,81344,-128,2612,2380,668,14044,4428,-140,-34720,70488,51276,91380
1990:Q1,35124,44756,1020,2416,288,-13756,400,0,29440,708,2220,1028,1320,-2644,148,84,19892,52196,38776,63096
1990:Q2,20668,23016,840,-620,-40,-2620,92,0,22388,972,2540,700,-632,2784,452,4,13140,42348,15568,55092
1990:Q3,50336,39108,-1988,1232,1440,10216,328,0,80688,388,752,1144,160,-7956,276,12,-43396,32068,71464,33256
1990:Q4,39364,49292,796,2328,636,-14132,444,0,69704,5584,-1240,4380,5712,-1484,1576,356,-42568,42020,5252,42544
1991:Q1,48116,24608,1624,624,552,20504,204,0,46536,-352,2360,8276,1380,-8648,4352,4,-15028,38880,66732,16300
1991:Q2,25872,40768,-1756,992,52,-14656,472,0,-20284,-148,-1400,-292,-148,28672,1020,4,9688,17112,3692,53512
1991:Q3,38728,35432,380,-1076,-620,3904,708,0,-6016,256,1572,2720,4532,-17908,1156,24,30912,17248,34300,-5412
1991:Q4,52104,58360,-3488,-928,2156,-4388,392,0,856,360,3916,-1820,24,2380,-16,-168,31224,36756,51744,28284
1992:Q1,49108,28108,1080,788,496,18036,600,0,26620,128,2440,736,1196,2336,740,-24,-18472,15700,78964,8344
1992:Q2,35128,37056,1424,928,692,-5960,988,0,6648,184,1328,288,1472,1304,444,0,900,12568,37260,23664
1992:Q3,22456,36128,1408,-14476,-124,-704,224,0,-3304,176,1016,208,-432,2512,184,-8,17780,18132,16820,11592
1992:Q4,39544,34388,1536,144,-84,1404,2156,0,-5868,-344,9312,264,1848,1932,-756,36,27272,33696,44768,35692
1993:Q1,45640,51560,668,2580,260,-10204,776,0,17712,-48,-120,288,-3768,-6628,13620,8,-5948,15116,59928,32240
1993:Q2,60164,27232,-228,984,-1080,30860,2396,0,-544,-396,3176,-892,1808,9156,13300,0,-10576,15032,93056,45544
1993:Q3,65048,66344,3088,2876,-88,-7336,164,0,-37048,48,-584,-248,820,3584,13208,8,41888,21676,52616,46752
1993:Q4,74280,14584,-40,496,-380,59116,504,0,25752,-800,952,-476,-2428,15968,7936,-104,-8172,38628,130204,80912
1994:Q1,53852,52792,-296,-4672,20,6116,-108,0,29996,256,1696,2028,1800,-628,1032,4,-9196,26988,114216,23532
1994:Q2,57668,55868,2908,372,984,-2884,420,0,12444,-32,680,1164,112,1620,772,0,2872,19632,59724,23068
1994:Q3,59800,56824,2756,1148,-464,-660,196,0,50892,-136,2872,1604,944,364,712,24,-13232,44044,69264,54836
