1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q3,2707485,474,35420,18755,8187,0,8478,976406,153972,1541213,2707485,2483906,942693,1541213,2483906,223579
2007:Q4,2727990,507,36294,18824,8504,0,8966,1021890,150810,1518489,2727990,2503452,984963,1518489,2503452,224538
2008:Q1,2738261,540,37819,19267,9437,0,9115,1014865,130873,1554164,2738261,2521723,967559,1554164,2521723,216538
2008:Q2,2759943,573,37002,19046,9094,0,8862,1023849,130299,1568220,2759943,2541834,973614,1568220,2541834,218109
2008:Q3,2768902,605,36980,19557,9323,0,8100,1049743,111551,1570023,2768902,2558586,988563,1570023,2558586,210316
2008:Q4,2769383,808,34944,19351,8519,0,7074,1109503,86818,1537310,2769383,2574055,1036745,1537310,2574055,195328
2009:Q1,2787697,1010,33902,19038,8191,0,6673,1091845,76221,1584719,2787697,2597618,1012899,1584719,2597618,190079
2009:Q2,2830621,1213,32677,16973,8356,0,7348,1098594,93643,1604494,2830621,2623452,1018958,1604494,2623452,207169
2009:Q3,2874542,1415,34730,18608,8365,0,7757,1114918,110745,1612734,2874542,2649803,1037069,1612734,2649803,224739
2009:Q4,2911191,1216,36204,19643,8633,0,7928,1180153,119695,1573923,2911191,2674828,1100905,1573923,2674828,236363
2010:Q1,2970010,1016,36907,19850,8855,0,8202,1164897,127993,1639197,2970010,2724112,1084915,1639197,2724112,245898
2010:Q2,3008812,816,35611,18271,9146,0,8194,1174685,113718,1683982,3008812,2771208,1087226,1683982,2771208,237604
2010:Q3,3076557,617,37381,18754,9727,0,8900,1194808,127807,1715944,3076557,2821723,1105779,1715944,2821723,254834
2010:Q4,3143687,600,37320,19660,8966,0,8694,1257424,145304,1703039,3143687,2871261,1168222,1703039,2871261,272426
2011:Q1,3177362,583,37080,19563,8870,0,8647,1247284,153467,1738948,3177362,2893368,1154420,1738948,2893368,283994
2011:Q2,3203941,566,36307,18128,9287,0,8892,1165495,154377,1847196,3203941,2914692,1067496,1847196,2914692,289249
2011:Q3,3204455,549,37061,18116,9436,0,9509,1280215,124825,1761805,3204455,2932436,1170631,1761805,2932436,272019
