1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q3,700140,548732,523977,588432,566133,45730,520403,22251,48,-64454,386896,6772,133502,30234,-28672,46227,19534,13289,5010,1346,-510,399,-6239,-6841,602,-3517,16945,70020,229,-1360,37906,65314,451350,424583,76056,-9395,4048,81403,111658,21114,2861,87683,-65281,100475,4780,196894,26767,-108219,177996,-43010,24755
2016:Q4,699948,551729,439625,547368,569471,30043,539427,-21765,-338,-107742,284154,1428,36737,37314,-19381,-10013,-20839,-28746,6969,983,-282,237,-4281,-5505,1224,-792,17497,24101,14,-1360,57619,166110,391897,476707,-2589,4515,1812,-8916,64124,2893,-13652,74883,11436,61596,4499,337641,-84810,-83364,43781,-45227,112104
2017:Q1,726565,588458,574689,517696,513566,8568,504998,4444,-314,56993,171254,-9924,-52033,14485,2140,-8830,1881,3459,-1043,-859,-490,814,5030,6487,-1457,3818,-21277,101710,322,1966,5453,126513,114260,122601,140276,14729,649,124898,80345,11534,16265,52546,1332,-52694,25044,-71703,-8340,-80027,97790,-26103,13769
2017:Q2,725930,580619,599524,598962,600882,48730,552153,-1535,-385,562,285858,15273,45680,13500,8326,-26750,14524,9299,4439,1100,-466,152,2548,2612,-64,-23088,-21823,92962,133,1966,81313,81294,285296,225269,86896,-846,9863,77879,158060,22941,57551,77568,-5255,26597,-14410,-26619,60027,-61783,71274,50536,-18906
2017:Q3,723893,612258,769807,649183,602356,48317,554039,45512,1315,120624,579402,125256,18995,27226,34827,-14879,-16317,-17834,1648,-28,-548,445,2884,2983,-99,7436,-22687,91168,2215,1966,81947,239365,458778,460978,82736,11397,-5424,76763,90190,9007,20984,60199,-2857,66748,-3704,227865,-2200,-114467,72881,39386,-157548
2017:Q4,692018,389676,636843,597712,613908,32679,581229,-15747,-450,39131,155532,-11642,-30312,28201,32496,-270,37584,-3727,31163,9774,-191,565,10607,10944,-337,-20729,-24076,57567,159,1966,49658,24322,116400,85842,58163,607,12752,44804,178347,36584,28295,113468,-2148,48453,218115,-415089,30559,-71710,59185,43084,-247167
2018:Q1,719905,632645,692724,591936,560338,9927,550411,32166,-568,100788,375144,-5692,-7,10665,-29443,-8568,2854,4072,-1300,-1138,472,748,-2524,-1476,-1048,82994,-9964,-132430,-74,-2237,102277,367293,274356,394999,101204,35340,-2771,68635,73339,18565,-4837,59611,-14594,18546,12194,204310,-120644,-112903,45145,-52885,-60079
2018:Q2,748056,627950,701334,624957,643157,50513,592644,-17725,-476,76377,269593,11391,50745,11370,-14265,-14486,162,6109,-5624,-2062,353,1386,-263,-495,232,3196,-10256,-56767,194,-2237,170547,120262,193216,390077,9245,-1173,3474,6944,112462,43508,-28816,97770,-43169,119937,-23117,214719,-196861,-229937,25449,7627,-73385
2018:Q3,746853,611126,392249,692737,643094,49948,593146,50210,-567,-300488,250608,-89256,152833,20757,-11403,-3379,502,7855,-6137,-2630,375,1039,1083,853,230,-3346,-10995,48270,78,-2237,171583,-23882,551096,526012,47633,-17257,-5339,70229,103621,10195,38299,55127,899,152575,13428,207857,25084,-67057,99257,-7116,218877
2018:Q4,745720,622121,628424,637629,645284,33116,612168,-8243,588,-9205,269085,-26703,58138,10838,8102,1461,20698,20363,-333,375,270,23,-741,-1571,830,-1140,-9458,-75346,45,-2237,1529,283899,278290,414585,11195,-27113,1991,36317,204792,112188,14981,77623,-11367,35375,4648,169942,-136295,-217888,71032,10561,-6303
2019:Q1,724646,631248,415372,635781,580271,11040,569231,54874,636,-220408,401053,4428,-91958,26067,10412,-1699,15266,6730,6414,2399,497,-774,-524,763,-1287,-74756,2411,39999,59,1325,135807,334216,621461,733834,144442,44637,3103,96702,132048,27111,50747,54190,-15212,5585,28262,438709,-112373,-145861,75489,-42001,215876
2019:Q2,726062,643814,758227,675979,668721,50265,618456,7737,-479,82248,694423,18161,123502,16489,24152,-748,-887,9255,-8791,-2345,547,447,2439,2422,17,1510,2502,34134,106,1325,162829,308910,612175,524677,87018,-4526,3873,87671,86639,17196,25205,44238,-5422,66387,-39850,329904,87499,-13655,66984,34170,-114413
