1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,1188,893,495,495,398,4708,-42,0,29,0,-515,-224,49,0,1071,-3884,1186,-6500,468,348,614,4029,-854,675,3303,905,1,1210,123,0,0,0,48,2813,4310,3906,-375,-7941,1878,0,1732,2503,1398,-163,1268,-1792,-908,-884,2,311,918,5896,10,-1,765,404,289,115,295
1960:Q2,1191,1633,501,501,1132,17309,-110,0,14,0,-561,123,52,0,107,2199,173,445,154,289,1138,9988,2469,2028,3490,2001,1,1617,45,0,0,0,42,3792,16177,15893,-211,2850,4043,0,-431,1308,28,656,624,411,569,-158,5,333,859,6221,0,102,403,284,244,40,-442
1960:Q3,1175,1503,491,491,1013,17208,-663,0,21,0,1025,-12,55,0,-77,6451,306,3849,162,757,1377,4956,-534,201,3955,1334,2,1733,39,0,0,0,35,3643,16195,15873,1737,1960,3936,0,-335,885,155,114,616,164,-215,379,2,268,750,5754,0,460,292,322,273,49,-329
1960:Q4,1207,1901,484,484,1417,17489,-913,0,23,0,-858,247,58,0,-553,6787,-66,4099,472,650,1632,7147,1985,1280,3369,513,1,1536,53,0,0,0,27,3934,16072,15954,-1437,5037,5432,0,-991,1003,144,131,728,903,89,814,5,137,625,5801,0,416,-977,118,68,50,-694
1961:Q1,1252,1012,471,471,541,4664,-325,0,11,0,-1816,-78,65,0,957,1952,961,-1482,382,1230,861,1551,-1901,250,2846,356,0,600,136,0,0,0,20,1590,4123,4464,-2099,-7315,5545,0,1230,901,933,-482,450,-2824,-1641,-1183,5,418,667,5776,10,-62,2212,-341,-466,125,240
1961:Q2,1213,1940,482,482,1459,18604,192,0,28,0,342,174,67,0,-1080,3750,-131,2311,90,-31,1511,7586,1142,2023,3912,509,2,1749,47,0,0,0,15,5732,17145,17290,362,2947,6589,0,-1022,364,-204,336,232,1068,-1,1069,1,288,771,6278,0,-573,217,-145,-173,28,-727
1961:Q3,1221,1192,490,490,702,19455,-195,0,125,0,737,145,69,0,1131,7842,340,4633,-95,1806,1158,6184,867,236,4674,407,1,1444,48,0,0,0,12,1912,18753,18976,1230,3441,3712,0,1306,262,-200,542,-80,578,999,-421,2,411,899,5836,0,-130,1429,-223,-249,26,29
1961:Q4,1237,2542,514,514,2028,23227,-438,0,23,0,1929,268,72,0,-1277,4882,-688,2456,474,845,1795,11955,4098,1720,5144,993,1,1741,54,0,0,0,12,4005,21199,21669,1402,6951,4893,0,-1348,425,-2,307,120,2457,1962,495,33,554,1017,5851,0,-207,-359,-470,-469,-1,-1305
1962:Q1,1313,992,540,540,452,8790,-226,0,3,0,-1717,-204,69,0,1512,3828,1345,-891,632,1795,947,1799,-1365,-547,3669,42,3,1685,47,36,0,0,42,1913,8338,8211,-2744,-7867,8344,0,1419,1374,805,399,170,-2405,-1474,-931,4,389,1003,5916,10,316,2452,127,98,29,321
1962:Q2,1377,1381,560,560,822,21240,-11,0,10,0,122,108,71,0,-1040,3689,-286,157,487,1591,1740,10807,1742,1320,5466,2279,1,2416,45,88,0,0,58,4876,20418,20293,103,4142,7457,0,-1133,233,31,361,-159,1162,-60,1222,1,446,957,6269,0,-98,754,125,100,25,-5
1962:Q3,1387,1033,561,561,472,17918,-416,0,-48,0,1882,119,75,0,752,2254,503,-281,-182,931,1283,8675,1456,195,5860,1164,1,1327,45,58,0,0,60,3134,17446,17496,2769,-1109,4649,0,828,770,380,589,-199,931,506,425,2,163,879,5720,10,305,1579,-50,-69,19,355
1962:Q4,1353,2178,543,543,1635,28732,-268,0,17,0,1135,300,76,0,-455,8435,-524,4603,924,1441,1991,14116,5143,1549,5958,1466,2,1696,50,22,0,0,48,3557,27097,27040,-516,10206,8192,0,-717,767,-40,288,519,2573,2611,-38,-23,252,803,5905,0,32,-434,57,4,53,-825
1963:Q1,1238,922,518,518,404,7462,-85,0,11,0,-2876,-358,61,0,1199,2340,1269,-1527,150,1009,1439,3484,-2169,-7,4680,980,1,1427,56,4,0,0,38,2159,7058,6809,-2836,-8398,8585,0,1515,611,1024,-825,412,-2948,-1357,-1591,2,219,924,6309,5,256,2565,249,220,29,316
