1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q4,-97566,5314,31161,8615,11900,6709,4368,-430,13149,38996,-99541,-73479,-75441,-2910,5364,-492,-63994,-2,572,14145,-79708,998,2,-37932,1290,-39222,-1,-3340,5131326
1993:Q1,44021,30308,37365,7291,12572,6750,11193,-440,75668,82725,16528,-20546,-27066,7394,-2031,1157,12926,4,0,12291,0,634,-4,-24148,0,-24149,0,-2815,5175347
1993:Q2,41919,58125,47094,17693,14652,6868,8304,-422,81692,70661,-14049,-18637,-25247,3690,2024,896,-876,-2,0,-907,0,31,1,-5465,0,-5465,-0,-2158,5217266
1993:Q3,73940,39873,32628,7739,14573,6593,4137,-412,67169,59924,37043,2875,525,3498,-642,-507,7882,6,0,6899,0,983,-7,-26287,0,-26286,0,-2976,5291206
1993:Q4,238356,64556,40926,11606,17874,6571,5302,-426,100179,76548,175489,15758,-30,5675,8121,1993,146163,-3,-74,6368,139691,177,4,-13567,0,-13567,1,-1689,5529562
1994:Q1,30231,23283,45395,10475,19694,6380,9225,-380,47483,69595,14601,52218,33940,16333,2055,-111,-18816,-9,0,-18043,-0,-771,8,18801,0,18801,0,-7653,5559793
1994:Q2,117235,71758,55626,11916,19380,6417,18085,-171,62229,46098,47553,53799,35343,12871,2825,2760,-2215,-7,0,-1283,-0,-933,8,4030,0,4031,-0,-2076,5677028
1994:Q3,159731,59160,49879,9158,20516,6797,14174,-766,39922,30641,101989,47325,34045,4694,5203,3382,16723,-3,0,15437,-0,1287,3,-37942,0,-37943,-0,-1418,5836759
1994:Q4,165955,104950,66511,14508,24426,7124,20847,-395,128320,89881,62732,43340,35045,-4255,7650,4901,-782,-4,-11805,-2808,14213,-382,4,-20174,-11548,-8625,1,-1727,6002714
1995:Q1,137854,9732,69839,10899,27852,7797,23683,-393,20326,80432,129868,34888,9985,5559,12271,7073,35803,11,0,33301,0,2502,-11,-59177,0,-59176,-1,-1746,6140568
1995:Q2,174631,56449,70874,17414,27101,8408,17825,128,83101,97526,120418,21193,112,17994,2069,1018,37853,16,0,35332,0,2521,-16,-61373,0,-61373,-0,-2237,6315199
