1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,39451,14411,5895,4262,71,34,1733,-205,14730,6215,25718,1075,647,-2,-1,430,24643,0,20018,4631,0,483,0,-489,0,-677,2213868,419178
1962:Q4,104931,12919,6125,4156,70,34,2073,-209,14289,7495,93042,3544,4528,-16,-2,-966,89498,0,84529,3414,0,1903,0,-348,0,-1030,2318799,424193
1963:Q1,34718,14831,6293,4268,69,40,2130,-213,11448,2910,29189,3366,3555,-5,-5,-180,25823,0,23847,1548,0,1043,0,-615,0,-9302,2353517,429107
1963:Q2,32319,10567,6807,4602,65,39,2319,-218,13277,9517,21072,-2825,-3176,-2,1,353,23897,0,23152,446,0,1009,0,-710,0,679,2385835,433739
1963:Q3,41774,15071,6851,4599,73,40,2362,-223,15737,7517,26273,6170,5854,3,0,313,20103,0,21192,-743,0,441,0,-787,0,430,2427610,440601
1963:Q4,-5343,16969,7132,4785,80,41,2456,-229,18847,9011,-22642,917,531,2,2,382,-23559,0,-25467,2289,0,446,0,-827,0,330,2422267,449437
1964:Q1,46853,18434,7697,4989,86,42,2816,-236,14701,3964,27492,-3222,-3337,-4,1,118,30714,0,29543,367,0,1588,0,-784,0,927,2469120,460392
1964:Q2,44367,13341,7584,4700,86,42,2995,-240,15354,9597,30243,8475,8775,-0,-1,-298,21768,0,16570,5746,0,408,0,-956,0,783,2513487,473838
1964:Q3,46356,22109,7778,4603,91,44,3284,-243,21143,6812,23440,1047,1463,-3,-2,-411,22392,0,18403,3884,0,1111,0,-1005,0,807,2559843,481587
1964:Q4,43940,18332,7180,4626,95,45,2660,-246,20143,8991,28437,7437,8059,-7,-5,-610,21000,0,15155,7402,0,-423,0,-1135,0,-2828,2603783,488675
1965:Q1,44277,21497,8796,4966,102,49,3923,-245,16196,3495,21587,2062,2149,-6,-8,-74,19525,0,15482,4422,0,769,0,-1148,0,1194,2648061,496020
1965:Q2,-2917,14136,8667,5086,94,48,3686,-247,15075,9605,-18006,-415,393,-8,-3,-798,-17591,0,-20374,4950,0,-707,0,-1460,0,952,2645143,504149
1965:Q3,77714,25613,8995,5132,107,50,3956,-249,23534,6916,51395,-406,811,9,-2,-1224,51801,0,47752,2765,0,2020,0,-736,0,707,2722858,519863
1965:Q4,79884,20624,9459,5199,103,48,4361,-253,20566,9400,58796,8681,10051,-16,6,-1360,50116,0,38418,11091,0,1808,0,-1201,0,463,2802741,531956
1966:Q1,7110,26724,10166,5265,100,52,5009,-259,19396,2838,-21367,-5540,-5472,9,-1,-77,-15827,0,-16745,2633,0,-86,0,-1629,0,1753,2809851,541375
1966:Q2,32244,16323,8975,4937,104,54,4144,-263,17044,9696,14492,26260,25000,31,-1,1230,-11768,0,-22751,14110,0,-1353,0,-1774,0,1429,2842095,547242
1966:Q3,-28689,27568,9016,4664,97,54,4467,-265,22443,3891,-57365,-780,-2110,39,1,1289,-56585,0,-55477,4378,0,-3386,0,-2100,0,1108,2813406,558165
1966:Q4,88627,21284,8242,4113,102,58,4234,-266,19514,6471,66551,17662,16252,57,-1,1354,48890,0,38859,8999,0,2059,0,-1027,0,792,2902033,569061
1967:Q1,106647,28705,7490,3893,110,56,3693,-261,21131,-84,76497,63,493,15,1,-446,76434,0,70110,2870,0,3834,0,-380,0,1445,3008681,579322
