1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q3,1756,-113,0,-113,48,48,6,6,15,0,7,0,8,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0
1972:Q4,-981,-2982,0,-2982,110,110,15,15,76,4,45,0,27,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0
1973:Q1,-1577,-2339,257,-2082,90,90,14,14,216,1,28,0,187,0,0,0,0,0,0,0,0,185,185,0,0,0,0,0,0,0,0,0
1973:Q2,1133,-315,249,-66,76,76,13,13,130,3,62,0,65,0,0,0,0,0,900,0,0,80,980,0,0,0,0,0,0,0,0,0
1973:Q3,5500,4744,229,4973,103,103,9,9,137,4,52,0,81,0,0,0,0,0,-450,0,0,728,278,0,0,0,0,0,0,0,0,0
1973:Q4,8282,6925,215,7140,104,104,15,15,63,2,28,0,33,0,0,0,0,0,900,0,0,60,960,0,0,0,0,0,0,0,0,0
1974:Q1,-2937,-5076,196,-4880,97,97,28,28,208,1,23,0,184,0,0,0,0,0,1350,0,0,260,1610,0,0,0,0,0,0,0,0,0
1974:Q2,-5556,-7924,197,-7727,142,142,6,6,217,5,105,0,107,0,0,0,0,0,1800,0,0,6,1806,0,0,0,0,0,0,0,0,0
1974:Q3,-6297,-8346,187,-8159,82,82,8,8,182,3,49,0,130,0,0,0,0,0,1350,0,0,240,1590,0,0,0,0,0,0,0,0,0
1974:Q4,-5274,-6793,176,-6617,216,216,11,11,135,5,49,0,81,0,0,0,0,0,900,0,0,81,981,0,0,0,0,0,0,0,0,0
1975:Q1,-1441,-3516,123,-3393,152,152,5,5,95,2,40,0,53,0,0,0,0,0,1350,0,0,350,1700,0,0,0,0,0,0,0,0,0
1975:Q2,-2961,-5154,92,-5062,119,119,7,7,10,3,31,0,-24,0,0,0,0,0,1800,0,0,165,1965,0,0,0,0,0,0,0,0,0
1975:Q3,-318,-2683,94,-2589,200,200,5,5,61,4,31,0,26,0,0,0,0,0,1800,0,0,205,2005,0,0,0,0,0,0,0,0,0
1975:Q4,838,-1732,120,-1612,183,183,15,15,192,9,157,0,26,0,0,0,0,0,1350,0,0,710,2060,0,0,0,0,0,0,0,0,0
1976:Q1,-4004,-5182,-298,-5480,155,155,16,16,185,6,57,0,122,0,0,0,0,0,900,0,0,220,1120,0,0,0,0,0,0,0,0,0
1976:Q2,-2846,-4374,24,-4350,364,364,14,14,74,4,58,0,12,0,0,0,0,0,810,0,0,242,1052,0,0,0,0,0,0,0,0,0
1976:Q3,-828,-2367,-62,-2429,344,344,6,6,63,2,36,0,25,0,0,0,0,0,990,0,0,198,1188,0,0,0,0,0,0,0,0,0
1976:Q4,610,-1604,144,-1460,238,238,18,18,159,7,127,0,25,0,0,0,0,0,1386,0,0,269,1655,0,0,0,0,0,0,0,0,0
1977:Q1,-5356,-6972,-140,-7112,185,185,7,7,367,5,76,0,286,0,0,0,0,0,1224,0,0,-27,1197,0,0,0,0,0,0,0,0,0
1977:Q2,-2396,-3955,124,-3831,227,227,10,10,78,5,50,0,23,0,0,0,0,0,900,0,0,220,1120,0,0,0,0,0,0,0,0,0
1977:Q3,781,-596,-50,-646,243,243,16,16,48,2,18,0,28,0,0,0,0,0,900,0,0,220,1120,0,0,0,0,0,0,0,0,0
1977:Q4,5925,2918,-166,2752,215,215,13,13,204,8,127,0,69,0,0,0,0,0,2743,0,0,-2,2741,0,0,0,0,0,0,0,0,0
1978:Q1,-1314,-3134,147,-2987,292,292,19,19,529,7,79,0,443,0,0,0,0,0,677,0,0,156,833,0,0,0,0,0,0,0,0,0
1978:Q2,-3991,-6307,79,-6228,142,142,8,8,200,4,116,0,80,0,0,0,0,0,2061,0,0,-174,1887,0,0,0,0,0,0,0,0,0
1978:Q3,-1863,-3399,145,-3254,192,192,6,6,207,5,95,0,107,0,0,0,0,0,868,0,0,118,986,0,0,0,0,0,0,0,0,0
1978:Q4,-191,-2510,-109,-2619,241,241,16,16,287,6,86,0,195,0,0,0,0,0,1592,0,0,292,1884,0,0,0,0,0,0,0,0,0
1979:Q1,-1,-1531,92,-1439,163,163,35,35,418,6,62,0,350,0,0,0,0,0,533,0,0,289,822,0,0,0,0,0,0,0,0,0
1979:Q2,-10857,-12253,250,-12003,146,146,13,13,260,11,122,0,127,0,0,0,0,0,380,0,0,347,727,0,0,0,0,0,0,0,0,0
1979:Q3,-5289,-7887,180,-7707,133,133,9,9,265,6,89,0,170,0,0,0,0,0,1934,0,0,77,2011,0,0,0,0,0,0,0,0,0
1979:Q4,-4446,-7996,199,-7797,110,110,10,10,608,10,216,0,382,0,0,0,0,0,2770,0,0,-147,2623,0,0,0,0,0,0,0,0,0
1980:Q1,-12646,-12759,-992,-13751,216,216,14,14,-166,16,140,0,-322,0,0,0,0,0,624,0,0,417,1041,0,0,0,0,0,0,0,0,0
1980:Q2,-4051,-16388,442,-15946,171,171,10,10,282,9,125,0,148,0,0,0,0,0,2113,0,0,144,2257,500,8675,9175,0,0,0,0,0,0
1980:Q3,-10462,-13368,-14,-13382,287,287,15,15,156,5,91,0,60,0,0,0,0,0,1434,0,0,309,1743,539,180,719,0,0,0,0,0,0
