1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q4,3622,4188,-2090,421,227,1893,-1057,4371,-532,-4896,-428,-3533,0,387,3348,3719,9552,1674,7878,3584,3584,0,-607,111,-8921,-10197,1276,-371,4872,2258
1991:Q1,4103,3669,5476,466,250,2095,-4254,-2689,5618,-7183,266,5126,0,1527,1093,3255,5551,1515,4036,-5737,-5737,0,-639,114,3966,370,3596,-2162,-3950,1612
1991:Q2,4156,3389,6197,-326,1110,2290,6443,1486,4649,308,-327,-3664,0,671,22105,14937,-237,-3217,2980,3627,3627,0,2031,114,9402,5262,4140,7168,16675,2407
1991:Q3,4589,3559,-6798,1088,724,5296,-19382,-1340,-14904,-3138,11,976,0,4489,-8598,-4121,-7383,-8034,651,859,859,0,-1319,121,3601,-3222,6823,-4477,-769,1786
1991:Q4,4152,3902,20336,1058,706,5158,10075,-1805,14093,-2213,13,-1097,0,4423,24849,24254,16055,8890,7165,887,887,0,56,134,7122,6904,218,595,4763,1637
1992:Q1,4478,3236,1997,-129,-86,-629,395,-3211,6738,-3132,437,4509,0,-2500,-788,-1372,2616,564,2052,-4135,-4135,0,90,146,-89,-557,468,584,-1542,1057
1992:Q2,4607,3048,-19434,-554,-370,-2702,-9013,2434,-9517,-1930,-21,-1490,0,-5284,-13014,-13340,-7521,-10617,3096,1836,1836,0,90,156,-7901,-9505,1604,326,7979,2980
1992:Q3,4657,3548,8766,648,432,3157,3262,-6299,9011,550,-34,-176,0,1477,12775,12147,6982,6551,431,1901,1901,0,94,166,3004,541,2463,628,5118,1465
1992:Q4,5262,3201,8481,426,285,2079,5875,8185,-3555,1245,154,351,0,-689,12450,11967,-1464,-4742,3278,4692,4692,0,-600,173,9166,3571,5595,483,6031,-20
1993:Q1,4993,5768,-22212,779,519,3795,-28509,-9880,-12975,-5654,-24,-2551,0,3779,-17928,-16271,-13324,-15044,1720,-2407,-2407,0,-311,184,-413,-3251,2838,-1657,3510,1589
1993:Q2,5369,5896,21619,488,325,2377,8256,-4135,14487,-2096,710,7715,0,1748,19418,17129,-8086,-8889,803,5861,5861,0,527,196,18631,9136,9495,2289,-2728,3414
1993:Q3,5168,6205,2006,-379,1784,4106,-3763,-2888,-1306,431,-274,-1834,0,2366,9710,8814,3016,-4506,7522,5112,5112,0,245,201,240,-663,903,896,6667,3260
1993:Q4,5850,5780,25244,628,514,3338,3099,1041,-3343,5401,1877,14779,0,1009,15410,11418,5983,3527,2456,2497,2497,0,1108,196,1634,-4039,5673,3992,-9764,1980
1994:Q1,5693,7461,-4609,153,126,815,-4000,4518,-12156,3638,968,1529,0,-4200,3409,3566,12000,5592,6408,-6511,-6511,0,-75,195,-2043,-8649,6606,-157,6250,3424
1994:Q2,5573,7240,-187,376,308,2001,1684,5609,-8107,4182,-90,-721,0,-3745,9302,8897,13159,4620,8539,-5796,-5796,0,87,197,1250,-1469,2719,405,7822,5573
1994:Q3,5826,7314,2441,317,258,1680,4135,-614,-1307,6056,56,-165,0,-3840,14449,14358,8410,-953,9363,-796,-796,0,21,196,6527,0,6527,91,10520,4907
1994:Q4,6039,7329,21427,582,476,3093,22550,16356,1783,4411,-1751,913,0,-4436,32608,31643,20282,12850,7432,1804,1804,0,-954,192,10319,-1540,11859,965,9891,4302
1995:Q1,6294,7400,19904,933,765,4963,9175,10206,-1968,937,69,1215,0,2784,21824,22693,16061,-4016,20077,-1807,-1807,0,-235,169,8505,-1387,9892,-869,814,4339
1995:Q2,6643,6843,24489,378,309,2008,21674,6311,9432,5931,10,265,0,-155,27762,28131,9941,-692,10633,5207,5207,0,-74,192,12865,6936,5929,-369,3074,3873
1995:Q3,6790,7156,6965,133,109,708,5927,-2466,3958,4435,3,119,0,-34,9979,9151,4395,-4028,8423,933,933,0,161,202,3460,1876,1584,828,2649,3284
1995:Q4,6751,6561,20388,-635,2445,5290,9762,12637,-9274,6399,-356,1146,0,2736,23788,22731,19295,5787,13508,-1592,-1592,0,328,179,4521,-3818,8339,1057,3591,1891
1996:Q1,7865,9283,20070,265,265,1545,17096,1938,14766,392,-23,1435,0,-513,20453,19888,7042,-443,7485,8848,8848,0,154,185,3659,3726,-67,565,-1034,2538
1996:Q2,7611,4874,9158,239,239,1401,2933,2179,-596,1350,37,1127,0,3182,10908,10000,12894,1394,11500,-500,-500,0,163,210,-2767,1854,-4621,908,4487,3343
1996:Q3,7532,9597,12135,704,704,4116,-540,-6700,4186,1974,121,718,0,6312,8649,10117,9173,3743,5430,-1659,-1659,0,-261,210,2654,1880,774,-1468,-5551,3456
1996:Q4,7926,8265,32647,1436,1436,8394,7606,5671,2877,-942,277,3654,0,9844,32655,31425,17028,4673,12355,5786,5786,0,247,194,8170,-3833,12003,1230,-331,2992
1997:Q1,8196,9099,10072,23,23,133,7864,3331,1834,2699,12,411,0,1606,11346,9744,2016,7873,-5857,-3386,-3386,0,344,184,10586,-405,10991,1602,372,3386
1997:Q2,8465,8096,15578,1168,1168,6832,-5120,-5919,-3276,4075,73,1604,0,9853,10839,11607,31691,8603,23088,1622,1622,0,-38,204,-21872,-11295,-10577,-768,-4369,3216
1997:Q3,8765,8525,17262,-1094,-1094,-6396,32230,5399,23808,3023,3,461,0,-6848,10517,13720,-24730,-3985,-20745,4140,4140,0,-509,220,34599,16855,17744,-3203,-6505,-2028
1997:Q4,8769,8420,11841,-496,3627,9151,-21022,-3409,-20461,2848,431,5972,0,14178,4262,107,20338,12138,8200,-3939,-3939,0,-369,202,-16125,-15645,-480,4155,-7230,1049
1998:Q1,9673,11365,-7489,1056,1291,6862,7238,4995,4532,-2289,-28,-4237,0,-19671,-10150,-9404,21954,10322,11632,-1466,-1466,0,-77,197,-30012,-2395,-27617,-746,-4353,-1314
1998:Q2,9787,10913,28471,506,618,3285,15628,6581,3937,5110,565,3309,0,4560,25336,23609,28620,14420,14200,5879,5879,0,245,214,-11349,-10313,-1036,1727,-4261,2170
