1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,-13384,-782,91,0,0,79,-952,-16677,1086,-1113,20,-16670,3952,1,3951,122,1,-13384,-4015,-2404,-2432,28,1941,-1116,-311,17,-157,5,0,-73,-70,31,0,-64,0,147,100,47,-7626
1970:Q2,8124,986,-616,0,0,-46,1648,7433,1936,616,13,4868,-382,4,-386,86,1,8124,6285,-1270,-1297,27,1751,611,-148,34,-96,-111,0,70,13,39,0,-97,0,91,-29,120,805
1970:Q3,1058,470,241,0,0,-45,274,-756,394,-924,262,-488,1277,11,1266,67,0,1058,3908,1145,1119,26,453,-2160,125,36,49,110,0,-32,7,49,0,-94,0,337,228,109,-2750
1970:Q4,16953,2394,-98,0,0,-19,2511,15154,-532,1626,229,13831,-667,12,-679,70,2,16953,1397,3575,3547,28,-615,1698,555,24,328,78,0,114,13,56,0,-58,0,410,222,188,9933
1971:Q1,-14165,-1160,-246,0,0,58,-972,-14557,-3418,-1066,-304,-9769,1580,-6,1586,-30,2,-14165,283,-4076,-4104,28,-3128,195,-92,23,-209,93,0,-36,13,57,0,-33,0,-179,-252,73,-7169
1971:Q2,14349,2040,387,0,0,-32,1685,10735,3892,579,-327,6591,1597,84,1513,-25,2,14349,5614,748,721,27,4139,420,83,21,-67,6,0,68,-18,54,0,19,0,-107,-275,168,3452
1971:Q3,-1836,742,768,0,0,1,-27,-2192,508,-1271,77,-1506,-645,-75,-570,258,1,-1836,1896,92,58,34,1144,-663,382,18,25,37,0,30,193,51,0,28,0,85,3,82,-4772
1971:Q4,19700,2869,-12,0,0,92,2789,19054,1249,1660,58,16087,-2379,181,-2560,154,2,19700,5551,1895,1847,48,1345,1032,359,15,256,63,0,98,-134,51,0,10,0,487,331,156,9031
1972:Q1,-12872,-2532,-1154,0,0,-190,-1188,-5991,-1429,-523,347,-4386,-4274,41,-4315,-77,2,-12872,-1246,-2270,-2330,60,-3395,-547,-350,12,-599,108,0,155,-80,50,0,4,0,247,198,49,-5312
1972:Q2,7367,3626,543,0,0,23,3060,5105,343,545,377,3840,-1291,102,-1393,-75,2,7367,266,73,-5,78,1536,471,355,10,164,58,0,44,25,49,0,5,0,671,502,169,3995
1972:Q3,1861,-2187,-486,0,0,-69,-1632,3963,387,-639,336,3879,-155,333,-488,239,1,1861,4164,2988,2912,76,-575,-671,234,6,94,106,0,-24,5,49,0,-2,0,704,600,104,-4983
1972:Q4,28052,4223,-9,0,0,140,4092,21186,1405,1540,332,17909,2402,-170,2572,239,2,28052,10276,1834,1780,54,1456,1515,846,3,559,213,0,44,2,48,0,-23,0,564,302,262,11561
