date,FL344090055.Q,LM344022025.Q,LM343061113.Q,LM343061723.Q,LM343063023.Q,FL343069055.Q,LM343064125.Q,FL344090055.Q
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q4,236363,16257,4552,7153,4552,114853,105253,236363
2010:Q1,245898,16651,4637,7318,4696,116254,112993,245898
2010:Q2,237604,17655,4984,7723,4948,120116,99833,237604
2010:Q3,254834,19530,5539,8470,5521,123563,111741,254834
2010:Q4,272426,19137,6315,7655,5167,124750,128539,272426
2011:Q1,283994,18789,6176,7541,5072,128734,136471,283994
2011:Q2,289249,19897,6571,7972,5354,131795,137557,289249
2011:Q3,272019,21212,7182,8426,5604,139325,111482,272019
2011:Q4,289176,22993,8048,8507,6438,147726,118457,289176
2012:Q1,306714,24240,8349,8994,6897,146153,136321,306714
2012:Q2,307144,26308,9105,9739,7464,150544,130292,307144
2012:Q3,319424,27750,9492,10259,7999,153942,137732,319424
2012:Q4,325481,28648,9454,10600,8594,158521,138312,325481
2013:Q1,340811,26886,8866,9997,8023,156671,157254,340811
2013:Q2,347771,24716,8165,9297,7254,159762,163293,347771
2013:Q3,364582,23401,7677,8867,6857,166984,174197,364582
2013:Q4,397060,23634,8508,7799,7327,172695,200731,397060
2014:Q1,404833,21787,7820,7187,6780,176525,206521,404833
2014:Q2,417244,22578,8092,7427,7059,178429,216237,417244
2014:Q3,425682,22421,8063,7394,6964,183738,219523,425682
2014:Q4,439671,24022,8648,7687,7687,191269,224380,439671
2015:Q1,449414,24650,8889,7855,7906,192582,232182,449414
2015:Q2,452345,24330,8781,7859,7690,196172,231843,452345
2015:Q3,437977,24074,8758,7801,7515,199915,213988,437977
2015:Q4,458272,24789,9023,7734,8032,206930,226553,458272
2016:Q1,462933,25628,9314,7932,8382,212968,224337,462933
2016:Q2,469840,26745,9737,8215,8793,216089,227006,469840
2016:Q3,484922,27464,9955,8421,9088,220876,236582,484922
2016:Q4,495351,26162,9523,7822,8817,222304,246885,495351
2017:Q1,513558,26341,9576,7876,8889,224259,262958,513558
2017:Q2,526333,26817,9725,8006,9086,225760,273756,526333
2017:Q3,542825,27745,10044,8285,9416,229975,285105,542825
2017:Q4,557295,28180,10473,8281,9426,220423,308692,557295
2018:Q1,560576,27243,10151,8091,9001,226500,306833,560576
2018:Q2,579556,27016,10120,8061,8835,236904,315636,579556
2018:Q3,605656,27074,10071,8099,8904,245480,333102,605656
2018:Q4,558724,27429,10405,7918,9106,253356,277939,558724
2019:Q1,600548,28937,10898,8274,9765,255402,316209,600548
2019:Q2,617261,30726,11567,8720,10439,260275,326260,617261
2019:Q3,623350,32323,12193,9123,11007,266454,324573,623350
2019:Q4,639253,33164,12838,9400,10926,250764,355325,639253
2020:Q1,564957,32275,13237,9231,9807,267435,265247,564957
2020:Q2,642207,35190,14009,9749,11432,278151,328866,642207
2020:Q3,675509,37207,14755,10236,12216,287095,351207,675509
2020:Q4,734613,39116,15448,10881,12787,292725,402772,734613
2021:Q1,761546,36579,14310,10441,11828,292264,432703,761546
2021:Q2,802178,36723,14328,10411,11984,295014,470441,802178
2021:Q3,797376,36190,14117,10324,11749,296620,464566,797376
2021:Q4,826907,36989,14945,11209,10835,285689,504229,826907
2022:Q1,814052,34174,13848,10541,9785,313185,466693,814052
2022:Q2,742665,30860,12561,9769,8530,318525,393280,742665
2022:Q3,713934,28784,11680,9256,7848,315369,369781,713934
2022:Q4,725440,29938,12386,8972,8580,292599,402903,725440
2023:Q1,758799,31032,12877,9234,8921,295111,432656,758799
2023:Q2,794302,31465,12996,9393,9076,294140,468697,794302
2023:Q3,781335,30217,12371,9182,8664,293383,457735,781335
2023:Q4,843444,32082,13163,9558,9361,294938,516424,843444
2024:Q1,892877,32029,13094,9580,9355,293610,567238,892877
