1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,2493,0,0,0,-268,32,172,-53,113,-13,0,0,-519,175,25,150,809,23,0,0,786,0,392,392,0,0,0,0,0,135,0,8,127,0,460,460,0,690,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,6,0,0,0,0,0,0,0,0,0,0
1961:Q3,440,0,0,0,594,59,-46,80,38,9,0,0,454,122,11,111,353,284,0,0,69,0,255,255,0,0,0,0,0,62,0,2,60,0,-41,-41,0,-685,-685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-371,-334,-37,0,0,0,0,0,0,0,0,0,0
1961:Q4,2013,0,0,0,304,29,-50,-44,25,95,0,0,249,110,11,99,126,116,0,0,10,0,538,538,0,0,0,0,0,-141,0,-6,-135,0,282,282,0,-138,-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,604,67,0,0,0,0,0,0,0,0,0,0
1962:Q1,-28,0,0,0,635,43,60,163,85,-60,0,0,344,126,11,115,281,233,0,0,48,0,-511,-511,0,0,0,0,0,146,0,4,142,0,-344,-344,0,-360,-360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,166,18,0,0,0,0,0,0,0,0,0,0
1962:Q2,2568,0,0,0,576,56,114,-3,161,-44,0,0,292,159,12,147,864,10,0,0,854,0,616,616,0,0,0,0,0,197,0,8,189,0,-378,-378,0,650,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,4,0,0,0,0,0,0,0,0,0,0
1962:Q3,600,0,0,0,133,78,14,56,52,34,0,0,-101,139,10,129,165,150,0,0,15,0,279,279,0,0,0,0,0,7,0,1,6,0,304,304,0,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-478,-430,-48,0,0,0,0,0,0,0,0,0,0
1962:Q4,1688,0,0,0,524,46,28,7,206,55,0,0,182,120,10,110,207,131,0,0,76,0,433,433,0,0,0,0,0,-122,0,-3,-119,0,259,259,0,-526,-526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,382,42,0,0,0,0,0,0,0,0,0,0
1963:Q1,503,0,0,0,722,62,-35,247,61,-26,0,0,413,124,10,114,427,378,0,0,49,0,-965,-965,0,0,0,0,0,191,0,6,185,0,81,81,0,-600,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,526,58,0,0,0,0,0,0,0,0,0,0
1963:Q2,4892,0,0,0,442,43,40,-58,21,-63,0,0,459,135,11,124,1509,557,0,0,952,0,756,756,0,0,0,0,0,228,0,13,215,0,778,778,0,556,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,342,38,0,0,0,0,0,0,0,0,0,0
1963:Q3,1241,0,0,0,225,56,10,20,102,0,0,0,37,104,9,95,98,25,0,0,73,0,754,754,0,0,0,0,0,59,0,3,56,0,470,470,0,-86,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-395,-356,-40,0,0,0,0,0,0,0,0,0,0
1963:Q4,2898,0,0,0,496,42,37,124,49,0,0,0,244,97,9,88,582,495,0,0,87,0,760,760,0,0,0,0,0,-114,0,-8,-106,0,202,202,0,-152,-152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,761,85,0,0,0,0,0,0,0,0,0,0
1964:Q1,2281,0,0,0,684,73,34,248,-4,0,0,0,333,132,10,122,75,-33,0,0,108,0,-616,-616,0,0,0,0,0,114,0,9,105,0,-169,-169,0,993,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,770,86,0,0,0,0,0,0,0,0,0,0
1964:Q2,2251,0,0,0,689,35,22,62,75,4,0,0,491,144,10,134,1142,231,0,0,911,0,601,601,0,0,0,0,0,208,0,12,196,0,1,1,0,-1224,-1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,579,64,0,0,0,0,0,0,0,0,0,0
1964:Q3,1830,0,0,0,785,67,50,27,98,130,0,0,413,127,9,118,362,193,0,0,169,0,68,68,0,0,0,0,0,64,0,0,64,0,-163,-163,0,804,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243,-219,-24,0,0,0,0,0,0,0,0,0,0
1964:Q4,1047,0,0,0,637,49,97,89,92,-3,0,0,313,121,10,111,281,220,0,0,61,0,488,488,0,0,0,0,0,-120,0,-11,-109,0,-154,-154,0,-750,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,301,33,0,0,0,0,0,0,0,0,0,0
1965:Q1,1677,0,0,0,777,64,95,165,59,-104,0,0,498,139,10,129,428,357,0,0,71,0,-578,-578,0,0,0,0,0,182,0,7,175,0,-38,-38,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,684,76,0,0,0,0,0,0,0,0,0,0
1965:Q2,3873,0,0,0,779,46,58,42,132,-27,0,0,528,160,10,150,1094,24,0,0,1070,0,839,839,0,0,0,0,0,230,0,15,215,0,20,20,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,579,64,0,0,0,0,0,0,0,0,0,0
