1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,4633,4,60,0,32,1584,0,-200,12,1772,136,812,0,2005,0,60,1865,80,4636
1957:Q1,5814,36,60,0,24,1588,0,-220,56,1752,132,848,0,3126,0,36,3018,72,5816
1957:Q2,6374,60,64,0,20,1404,0,-220,20,1604,128,880,0,3818,0,88,3694,36,6376
1957:Q3,6938,60,64,0,20,1228,0,-208,32,1404,132,924,0,4510,0,12,4442,56,6940
1957:Q4,7498,48,68,0,16,1076,0,-220,96,1200,144,980,0,5166,0,20,5086,60,7500
1958:Q1,5452,36,72,0,20,1108,0,-152,92,1168,144,1024,0,3048,0,60,2952,36,5452
1958:Q2,4976,28,76,0,12,1152,0,64,-96,1184,144,1064,0,2500,0,84,2396,20,4976
1958:Q3,4492,24,76,0,16,1228,0,-4,16,1216,160,1124,0,1864,0,104,1744,16,4492
1958:Q4,4012,32,80,0,24,1308,0,60,0,1248,188,1208,0,1172,0,116,1024,32,4012
1959:Q1,5442,36,84,0,28,824,0,76,64,684,216,1360,0,2894,0,60,2766,68,5444
1959:Q2,5730,44,84,0,28,1244,0,140,108,996,240,1552,0,2538,0,104,2366,68,5732
1959:Q3,6014,44,88,0,36,1128,0,192,52,884,260,1216,0,3242,0,40,3102,100,6016
1959:Q4,6298,32,92,0,32,1520,0,96,12,1412,272,1448,0,2902,0,108,2714,80,6300
1960:Q1,4930,12,96,0,40,1076,0,-244,240,1080,296,1508,0,1902,0,8,1766,128,4932
1960:Q2,4550,-8,104,0,40,904,0,-240,112,1032,328,1568,0,1614,0,92,1406,116,4552
1960:Q3,4170,0,104,0,44,1140,0,-148,-4,1292,328,1476,0,1078,0,4,926,148,4172
1960:Q4,3794,40,104,0,36,1668,0,-12,-80,1760,296,1676,0,-26,0,160,-258,72,3796
1961:Q1,3218,88,112,0,36,416,0,8,-24,432,272,1740,0,554,0,176,330,48,3220
1961:Q2,2766,132,116,0,28,1272,0,68,-64,1268,244,1752,0,-778,0,68,-922,76,2768
1961:Q3,2306,136,124,0,28,868,0,4,36,828,244,1828,0,-922,0,92,-1082,68,2308
1961:Q4,1850,100,124,0,36,1332,0,-16,88,1260,276,1908,0,-1926,0,172,-2154,56,1852
1962:Q1,1630,68,132,0,56,872,0,-12,136,748,296,1484,128,-1406,0,36,-1622,180,1632
1962:Q2,1270,40,132,0,68,1432,0,112,64,1256,316,2272,312,-3302,0,-252,-3394,344,1272
1962:Q3,906,32,144,0,68,632,0,196,-8,444,324,1484,204,-1982,0,120,-2306,204,908
1962:Q4,546,48,144,0,56,1596,0,228,-84,1452,328,1792,72,-3490,0,208,-3818,120,548
1963:Q1,1776,56,152,0,44,1208,0,84,28,1096,324,1096,16,-1120,0,140,-1348,88,1780
1963:Q2,2052,56,156,0,20,1380,0,80,8,1292,312,2008,-60,-1820,0,124,-1976,32,2056
1963:Q3,2329,68,164,0,32,1428,0,-44,128,1344,336,1744,-44,-1399,0,120,-1579,60,2332
1963:Q4,2605,84,168,0,64,1032,0,116,-20,936,404,2096,28,-1271,0,124,-1579,184,2608
1964:Q1,3085,116,176,0,104,1388,0,580,48,760,548,1800,56,-1103,0,180,-1579,296,3088
1964:Q2,3445,192,184,0,144,1232,0,-620,-40,1892,596,1816,148,-867,0,152,-1471,452,3448
1964:Q3,3802,28,188,0,144,936,0,-12,-32,980,536,1688,132,150,0,144,-466,472,3804
