1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,38106,32600,5356,0,0,0,27244,0,0,0,22950,0,4294,0,5506,4405,1101,38106,7628,0,64,3021,503,0,0,1365,0,0,0,1586,0,0,20119,3820
1970:Q1,43690,38284,7044,0,0,0,31240,0,0,0,24763,0,6477,0,5406,4325,1081,43690,8156,0,76,2965,643,0,0,1715,0,0,0,1785,0,0,24448,3902
1970:Q2,44985,38952,6895,0,0,0,32057,0,0,0,24454,0,7603,0,6033,4826,1207,44985,8432,0,32,3221,638,0,0,1655,0,0,0,917,0,0,25738,4352
1970:Q3,41147,35241,7361,0,0,0,27880,0,0,0,23262,0,4618,0,5906,4725,1181,41147,8433,0,87,3762,807,0,0,2519,0,0,0,1886,0,0,19444,4209
1970:Q4,40200,33071,7133,0,0,0,25938,0,0,0,23589,0,2349,0,7129,5703,1426,40200,9389,0,57,4064,873,0,0,2142,0,0,0,1400,0,0,17968,4307
1971:Q1,39940,32695,8333,0,0,0,24362,0,0,0,22670,0,1692,0,7245,5796,1449,39940,9954,0,88,4517,841,0,0,3018,0,0,0,1218,0,0,16102,4202
1971:Q2,38623,30902,6856,0,0,0,24046,0,0,0,22313,0,1733,0,7721,6177,1544,38623,9791,0,12,4246,821,0,0,3679,0,0,0,1097,0,0,14861,4116
1971:Q3,39911,31682,7434,0,0,0,24248,0,0,0,22036,312,1900,0,8229,6583,1646,39911,10510,0,41,4359,877,0,0,4078,0,0,0,1027,0,0,14755,4264
1971:Q4,40094,32126,6247,0,0,0,25879,0,0,0,23126,780,1973,0,7968,6374,1594,40094,11275,0,80,4505,944,0,0,2770,0,0,0,1302,0,0,15070,4148
1972:Q1,41680,33615,7538,0,0,0,26077,0,0,0,22583,1322,2172,0,8065,6452,1613,41680,12388,0,19,3873,1014,0,0,3952,308,0,0,1347,0,250,14346,4183
1972:Q2,41506,34366,8126,0,0,0,26240,0,0,0,22332,1937,1971,0,7140,5712,1428,41506,13219,0,23,3698,1011,0,0,3564,794,0,0,1223,0,500,13295,4179
1972:Q3,40680,34012,7761,0,0,0,26251,0,0,0,21283,2600,2368,0,6668,5334,1334,40680,13513,0,10,3443,1126,0,0,4799,1322,0,0,1342,431,750,10805,3139
1972:Q4,41688,34721,6968,0,0,0,27753,0,0,0,21876,3240,2637,0,6967,5574,1393,41688,14235,0,70,4265,1203,0,0,2981,1755,0,0,1173,414,1000,10506,4086
1973:Q1,40980,34052,5871,0,0,0,28181,0,0,0,21625,3100,3456,0,6928,5542,1386,40980,13258,0,144,2965,1410,0,0,5237,2104,0,0,1647,159,1250,8710,4096
1973:Q2,43095,35786,6032,0,0,0,29754,0,0,0,22350,3121,4283,0,7309,5847,1462,43095,13437,0,66,2619,1615,0,0,4479,2382,0,0,1801,190,1500,10720,4286
1973:Q3,45893,37641,6335,0,0,0,31306,0,0,0,22155,3920,5231,0,8252,6602,1650,45893,13633,0,57,3362,1337,0,0,4100,2677,0,0,1980,94,1750,11639,5264
1973:Q4,50054,41073,8382,0,0,0,32691,0,0,0,23835,3975,4881,0,8981,7185,1796,50054,14876,0,68,3525,1441,0,0,3004,3079,0,0,1671,221,2000,15782,4387
1974:Q1,54958,44690,9235,15,15,0,35440,0,0,0,26015,3380,6045,0,10268,8214,2054,54958,16212,0,30,3682,1606,0,0,4414,3554,0,185,1757,343,2250,16425,4500
1974:Q2,58152,44846,9967,1,1,0,34878,0,0,0,26362,1564,6952,0,13306,10645,2661,58152,15131,0,104,3984,1841,0,0,3882,4069,0,353,1871,261,2500,19556,4600
1974:Q3,65361,49166,12569,90,90,0,36507,0,0,0,26973,895,8639,0,16195,12956,3239,65361,16933,0,190,4123,1867,0,0,3874,4670,0,578,1693,267,2750,23716,4700
1974:Q4,67813,49144,12513,181,181,0,36450,0,0,0,27408,710,8332,0,18669,14935,3734,67813,16520,0,579,4297,2094,0,0,4070,5403,0,645,1407,1097,3000,23901,4800
1975:Q1,69744,50827,14009,255,255,0,36563,0,0,0,26866,743,8954,0,18917,15134,3783,69744,6255,0,628,5685,1684,0,0,4682,6329,0,1050,1543,1799,3250,31889,4950
1975:Q2,66683,48766,11658,388,388,0,36720,0,0,0,27089,840,8791,0,17917,14334,3583,66683,6685,0,282,5165,2043,0,0,4768,7508,0,788,1345,1717,3500,27782,5100
1975:Q3,65215,48257,11780,407,407,0,36070,0,0,0,26488,784,8798,0,16958,13566,3392,65215,7267,0,474,6004,2007,0,0,6394,8447,0,738,1076,867,3750,22991,5200
1975:Q4,66604,47690,9616,559,559,0,37515,0,0,0,28032,829,8654,0,18914,15131,3783,66604,8371,0,741,8087,2084,0,0,4813,9066,0,528,1341,1186,4000,21087,5300
1976:Q1,68428,49338,10926,707,707,0,37705,0,0,0,28632,646,8427,0,19090,15272,3818,68428,9324,0,540,7390,2110,0,0,5247,9892,0,714,723,1595,3999,21519,5375
1976:Q2,70028,50047,11818,920,920,0,37309,0,0,0,28694,607,8008,0,19981,15985,3996,70028,9073,0,361,7625,2015,0,0,6053,10440,0,837,742,1860,3492,22080,5450
1976:Q3,69647,49852,10889,1140,1140,0,37823,0,0,0,29266,663,7894,0,19795,15836,3959,69647,9486,0,88,8559,2386,0,0,6264,10756,0,772,570,1330,4287,19624,5525
1976:Q4,74789,52041,11049,1282,1282,0,39710,0,0,0,31292,559,7859,0,22748,18198,4550,74789,10511,0,196,11648,2542,0,0,5224,10952,0,844,823,1153,7217,18079,5600
1977:Q1,77592,54671,12083,1608,1608,0,40980,0,0,0,32501,514,7965,0,22921,18337,4584,77592,10494,0,29,8894,2720,0,0,6724,11138,0,824,790,1392,3610,25277,5700
1977:Q2,83046,59372,12914,1816,1816,0,44642,0,0,0,35527,585,8530,0,23674,18939,4735,83046,9442,0,43,9167,2393,0,0,6985,11272,0,927,1167,2333,3810,29707,5800
1977:Q3,83502,59952,13175,1962,1962,0,44815,0,0,0,35377,523,8915,0,23550,18840,4710,83502,8984,0,4,9222,2677,0,0,7927,11309,0,916,1360,1739,3336,30128,5900
