1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,387016,53914,99902,181322,123346,17679,28553,11744,51878,387016,359397,189502,60301,48026,60630,938,12273,1537,0,0,0,42,6457,0,4237,0,15346,387016,116289,78257,8667,2969,25133,1263,270727,0,176700,1422,188,3235,158,42216,856,12798,847,0,7444,201,0,20761,0,3901,0,0,0
1959:Q3,396004,55887,99749,186450,127007,18212,29283,11948,53918,396004,367352,195608,60637,49615,60511,981,13125,1795,0,0,0,35,6963,0,4332,0,15527,396004,116416,77996,8553,2944,25594,1329,279588,0,183246,1463,89,3462,155,42887,921,13121,911,0,8018,202,0,21366,0,3747,0,0,0
1959:Q4,407102,59837,98924,191128,130099,18700,30228,12101,57213,407102,377218,202312,63539,50249,60083,1035,14407,2134,0,0,0,139,7247,0,4887,0,15477,407102,117151,76515,10139,3425,25682,1390,289951,0,190685,1502,86,3625,146,43815,989,13164,992,0,8546,203,0,22425,0,3773,0,0,0
1960:Q1,409032,58983,99343,194949,132580,19199,30899,12271,55757,409032,380841,203144,65101,51424,60099,1073,12615,1520,0,0,0,232,7180,0,3683,0,15576,409032,115052,76522,8340,2864,25884,1442,293980,0,192489,1529,87,3740,145,44691,1063,13251,1091,0,8419,204,0,23811,0,3460,0,0,0
1960:Q2,420580,61452,101211,199295,135366,19702,31668,12559,58622,420580,391684,209903,66751,53204,60655,1171,13026,1770,0,0,0,0,7238,0,4018,0,15870,420580,116612,76883,9044,3025,26175,1485,303968,0,198512,1599,89,3999,145,45484,1145,13936,1209,0,9106,206,0,25031,0,3507,0,0,0
1960:Q3,426477,60918,101866,204103,138582,20293,32531,12697,59590,426477,397152,214457,66254,54374,60817,1250,13190,1736,0,0,0,56,6658,0,4740,0,16135,426477,117553,77909,8777,2927,26411,1529,308924,0,201610,1744,92,4180,147,46188,1227,14038,1333,0,9349,204,0,25227,0,3585,0,0,0
1960:Q4,436495,62903,103935,208409,141378,20786,33407,12838,61248,436495,405766,219857,68611,55024,61034,1240,14093,1981,0,0,0,37,6693,0,5382,0,16636,436495,120424,79315,9647,3202,26678,1582,316071,0,206471,1851,94,4300,149,47002,1301,14090,1450,0,9598,201,0,25915,0,3649,0,0,0
1961:Q1,437041,61003,104446,212253,143645,21424,34121,13063,59339,437041,408625,220580,68332,56904,61519,1290,11269,1477,0,0,0,13,5247,0,4532,0,17147,437041,119418,79890,7992,2594,27299,1643,317623,0,207166,2282,99,4292,153,47694,1369,14141,1564,0,9184,201,0,25456,0,4022,0,0,0
1961:Q2,446837,62145,106939,217156,146603,21943,35173,13437,60597,446837,417581,226650,68439,58707,62382,1403,12337,1869,0,0,0,0,5149,0,5319,0,16919,446837,121628,81431,8574,2763,27148,1712,325209,0,211640,2442,104,4474,156,48464,1430,14927,1680,0,9545,200,0,25665,0,4482,0,0,0
1961:Q3,454265,63013,107379,222791,150179,22790,36085,13737,61082,454265,423826,230865,68116,60612,62792,1441,12915,2124,0,0,0,9,5449,0,5333,0,17524,454265,122871,81787,8619,2798,27884,1783,331394,0,216643,2330,111,4596,157,49015,1491,14996,1793,0,9996,244,0,25581,0,4441,0,0,0
1961:Q4,468905,67109,109392,228969,154027,23622,37403,13917,63435,468905,435341,237897,71286,61717,62975,1466,15372,2662,0,0,0,104,6350,0,6256,0,18192,468905,125558,82589,9650,3130,28340,1849,343347,0,224962,2307,121,4710,155,49936,1560,15006,1896,0,10709,290,0,26972,0,4723,0,0,0
1962:Q1,470450,65746,109364,233302,156488,24218,38374,14222,62038,470450,438740,239137,71199,63517,63336,1551,12967,2151,0,0,0,44,5232,0,5540,0,18743,470450,125302,83005,8569,2777,29037,1914,345148,0,226463,2147,136,4708,154,50454,1634,15054,1990,0,10565,312,0,27152,0,4379,0,0,0
1962:Q2,484288,67489,111932,239432,160237,24937,39584,14674,65435,484288,451266,246168,73151,65954,64281,1712,14129,2767,0,0,0,0,5987,0,5375,0,18893,484288,128332,84263,9450,3020,29620,1979,355956,0,234381,1949,155,4984,150,51114,1713,15908,2074,0,11296,336,0,27895,0,4001,0,0,0
1962:Q3,493894,68945,112532,245791,164345,25769,40733,14944,66626,493894,460087,252324,73807,67698,64494,1764,15060,3046,0,0,0,34,6129,0,5851,0,18747,493894,129263,84956,9484,3019,29762,2042,364631,0,241050,2044,174,5178,144,51794,1794,15923,2155,0,11601,373,0,28096,0,4305,0,0,0
1962:Q4,510087,74085,114220,252438,168307,26732,42206,15193,69344,510087,473401,259748,77629,69302,64752,1970,17633,3479,0,0,0,89,6999,0,7066,0,19053,510087,131343,85161,10444,3315,30323,2100,378744,0,251579,2131,189,5330,134,53136,1876,15999,2242,0,11953,413,0,29198,0,4564,0,0,0
1963:Q1,513019,71918,114723,257443,171352,27382,43148,15561,68935,513019,478944,262564,77942,71203,65204,2031,14685,2514,0,0,0,63,6239,0,5869,0,19390,513019,130789,85257,9406,2966,31006,2154,382230,0,253904,2275,201,5354,131,53875,1957,16048,2331,0,10934,453,0,30122,0,4645,0,0,0
1963:Q2,531712,75234,119615,264646,175801,28202,44492,16151,72217,531712,494631,271954,79862,74023,66740,2052,16918,3270,0,0,0,0,6830,0,6818,0,20163,531712,133770,87139,10135,3178,31116,2202,397942,0,264504,2442,210,5673,128,54785,2035,17000,2420,0,11601,495,0,31226,0,5423,0,0,0
1963:Q3,543943,76661,120856,272064,180662,28994,45835,16573,74362,543943,504671,279333,80360,75982,66842,2154,18901,4024,0,0,0,0,7417,0,7460,0,20371,543943,134377,87304,10312,3224,31288,2249,409566,0,272584,2646,218,5873,126,55773,2119,17073,2512,0,12411,509,0,31829,0,5893,0,0,0
1963:Q4,562714,81834,123754,279256,185106,30024,47304,16822,77870,562714,520618,288207,84806,77972,67430,2203,20951,4784,0,0,0,0,8428,0,7739,0,21145,562714,136959,87856,11405,3553,31848,2297,425755,0,284182,2626,231,6028,121,57199,2220,17160,2612,0,13084,525,0,33672,0,6095,0,0,0
1964:Q1,567213,78260,126035,284877,188776,30936,47831,17334,78041,567213,527172,291997,85665,79809,67502,2199,18216,4168,0,0,0,0,7208,0,6840,0,21825,567213,137905,89168,10564,3266,32554,2353,429308,0,285631,2696,246,6082,120,58232,2357,17268,2716,0,12668,551,0,34815,0,5926,0,0,0
1964:Q2,587081,84780,128286,292203,193368,32095,48672,18068,81812,587081,543543,301501,88453,82677,68638,2274,21044,4769,0,0,0,4,8416,0,7855,0,22494,587081,138571,88453,11105,3404,33196,2413,448510,0,299542,2759,264,6429,120,59400,2506,18179,2822,0,13567,581,0,36414,0,5927,0,0,0
1964:Q3,597701,83670,130116,299773,198076,33313,49848,18536,84142,597701,554122,308218,89765,84749,69018,2372,20482,4837,0,0,0,134,7824,0,7687,0,23097,597701,141060,89905,11260,3437,33987,2471,456641,0,305175,2829,283,6700,120,60553,2640,18348,2937,0,13762,602,0,36928,0,5764,0,0,0
1964:Q4,616056,90007,131663,307034,202335,34578,51179,18942,87352,616056,569573,317126,94396,86267,69320,2464,22221,5325,0,0,0,131,8388,0,8377,0,24262,616056,143661,90360,12365,3779,34633,2524,472395,0,317414,2738,301,6887,120,62292,2778,18409,3070,0,14245,624,0,37907,0,5610,0,0,0
