1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,99902,0,0,0,19570,337,829,4590,938,42,0,0,12834,4747,380,4367,59998,47200,0,0,12798,0,1537,1537,0,0,0,0,0,2073,0,48,2025,0,3901,3901,0,1118,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5975,5378,598,0,0,0,0,0,0,0,0,0,0
1959:Q3,99749,0,0,0,19723,373,800,4564,981,35,0,0,12970,4864,390,4474,59772,46651,0,0,13121,0,1795,1795,0,0,0,0,0,2136,0,50,2086,0,3747,3747,0,1031,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5727,5154,573,0,0,0,0,0,0,0,0,0,0
1959:Q4,98924,0,0,0,19677,415,797,4511,1035,139,0,0,12780,5018,400,4618,59236,46072,0,0,13164,0,2134,2134,0,0,0,0,0,2012,0,44,1968,0,3773,3773,0,-358,-358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6281,5653,628,0,0,0,0,0,0,0,0,0,0
1960:Q1,99343,0,0,0,19945,434,802,4535,1073,232,0,0,12869,5196,410,4786,59152,45901,0,0,13251,0,1520,1520,0,0,0,0,0,2105,0,50,2055,0,3460,3460,0,-721,-721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7320,6588,732,0,0,0,0,0,0,0,0,0,0
1960:Q2,101211,0,0,0,20177,503,971,4505,1171,0,0,0,13027,5391,425,4966,59606,45670,0,0,13936,0,1770,1770,0,0,0,0,0,2249,0,57,2192,0,3507,3507,0,-897,-897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026,7223,803,0,0,0,0,0,0,0,0,0,0
1960:Q3,101866,0,0,0,20310,552,852,4525,1250,56,0,0,13075,5542,430,5112,59667,45629,0,0,14038,0,1736,1736,0,0,0,0,0,2281,0,57,2224,0,3585,3585,0,-540,-540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617,6855,762,0,0,0,0,0,0,0,0,0,0
1960:Q4,103935,0,0,0,20438,581,875,4507,1240,37,0,0,13198,5671,440,5231,59782,45692,0,0,14090,0,1981,1981,0,0,0,0,0,2150,0,51,2099,0,3649,3649,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8189,7370,819,0,0,0,0,0,0,0,0,0,0
1961:Q1,104446,0,0,0,20964,627,871,4670,1290,13,0,0,13493,5823,450,5373,60213,46072,0,0,14141,0,1477,1477,0,0,0,0,0,2291,0,56,2235,0,4022,4022,0,-607,-607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8032,7229,803,0,0,0,0,0,0,0,0,0,0
1961:Q2,106939,0,0,0,20696,659,1043,4617,1403,0,0,0,12974,5998,475,5523,61022,46095,0,0,14927,0,1869,1869,0,0,0,0,0,2426,0,63,2363,0,4482,4482,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8092,7283,809,0,0,0,0,0,0,0,0,0,0
1961:Q3,107379,0,0,0,21290,718,997,4697,1441,9,0,0,13428,6120,486,5634,61375,46379,0,0,14996,0,2124,2124,0,0,0,0,0,2488,0,65,2423,0,4441,4441,0,-602,-602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7721,6949,772,0,0,0,0,0,0,0,0,0,0
