1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,4177,4177,0,0,4177,1545,1,0,30,25,1904,0,8,-32,-853,30,25,1621,133,0,-343,83,0,ND,ND,ND,ND,ND,ND
1970:Q1,1815,1091,145,579,1815,-1048,3,0,1,36,495,0,72,-310,128,0,50,1527,153,0,559,149,0,ND,ND,ND,ND,ND,ND
1970:Q2,3395,2860,107,428,3395,-54,2,0,-25,2,1920,0,15,19,-329,-15,113,1062,164,0,462,59,0,ND,ND,ND,ND,ND,ND
1970:Q3,3983,3673,62,248,3983,-29,1,0,-44,4,2992,0,15,20,-384,-23,-61,1375,319,0,-264,62,0,ND,ND,ND,ND,ND,83
1970:Q4,3891,3668,45,178,3891,-144,2,0,-59,33,2890,0,18,16,-325,-10,10,655,527,0,164,114,0,ND,ND,ND,ND,ND,84
1971:Q1,4109,3577,106,426,4109,129,1,100,-196,15,3003,0,21,13,-351,-49,-38,-233,1051,0,580,63,0,ND,ND,ND,ND,ND,84
1971:Q2,6857,5771,217,869,6857,143,2,125,-82,2,5552,0,74,11,-561,-5,4,-42,1458,0,75,101,0,ND,ND,ND,ND,ND,83
1971:Q3,8173,7459,143,571,8173,-222,0,125,-85,11,7209,0,6,11,-640,-103,-44,1461,676,0,-203,-29,0,ND,ND,ND,ND,ND,84
1971:Q4,7656,7256,80,320,7656,356,1,125,-256,66,5703,0,6,12,-542,-136,166,891,1000,0,223,41,0,ND,ND,ND,ND,ND,84
1972:Q1,7342,6584,152,606,7342,75,2,125,45,1,6461,0,4,34,-472,-154,14,315,919,0,-126,99,0,ND,ND,ND,ND,ND,83
1972:Q2,9973,8424,310,1239,9973,-250,4,100,-64,72,8902,0,15,46,-552,-22,-37,520,1045,0,-30,224,0,ND,ND,ND,ND,ND,85
1972:Q3,11621,9946,335,1340,11621,-102,0,100,-153,6,10457,0,5,45,-685,-166,22,525,906,0,693,-32,0,ND,ND,ND,ND,ND,83
1972:Q4,10034,9144,178,712,10034,-565,2,100,-462,35,9460,0,-2,28,-621,-70,50,489,1114,0,350,126,0,ND,ND,ND,ND,ND,83
1973:Q1,9376,8800,115,461,9376,704,2,63,-200,32,8113,0,-42,155,-458,-160,91,475,655,0,-148,94,0,ND,ND,ND,ND,ND,84
1973:Q2,12069,10264,361,1444,12069,-138,0,45,-913,53,11346,0,-41,109,-581,-34,8,595,1144,0,470,6,0,ND,ND,ND,ND,ND,83
1973:Q3,11870,10320,310,1240,11870,87,7,0,689,129,9734,0,48,105,-534,-18,-18,1306,422,0,-427,340,0,ND,ND,ND,ND,ND,85
1973:Q4,9946,10084,-28,-110,9946,-31,5,-33,-346,336,6581,0,49,72,-316,-18,86,999,714,0,1632,216,0,ND,ND,ND,ND,ND,83
1974:Q1,8069,7640,86,343,8069,608,2,-1,-206,149,5292,0,-17,35,-322,-6,39,217,1633,0,506,140,0,ND,ND,ND,ND,ND,84
1974:Q2,10929,10581,70,278,10929,516,0,-4,489,124,8089,0,-18,-5,-521,-11,-40,1809,530,0,-20,-9,0,ND,ND,ND,ND,ND,83
1974:Q3,10021,10942,-184,-737,10021,1632,-5,-11,57,97,6032,0,88,-1,-351,-4,8,2115,1353,0,-738,-251,0,ND,ND,ND,ND,ND,84
1974:Q4,6500,8141,-328,-1313,6500,277,-1,-17,1066,373,3208,0,1,43,-206,-6,64,1461,886,0,-601,-48,0,ND,ND,ND,ND,ND,84
1975:Q1,4655,4854,-40,-159,4655,590,-526,-39,-104,319,2422,0,-36,92,-276,-68,-83,3,2782,0,-180,-241,0,ND,ND,ND,ND,ND,84
1975:Q2,10875,10262,123,490,10875,951,-4,-23,1188,141,6831,0,15,139,-385,-35,-25,583,1531,0,206,-238,0,ND,ND,ND,ND,ND,77
