1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,32322,11068,14813,6433,386,5037,1010,8,32322,3933,13934,4671,6611,2523,651,4,212,201,4,1,6,57,44,1,1,0,0,72,45,214,16611
1970:Q1,33060,11249,15110,6697,458,5208,1031,4,33060,3992,14305,4754,6738,2600,672,4,216,205,4,1,6,59,45,1,1,1,0,72,52,221,16942
1970:Q2,33818,11531,15418,6866,474,5336,1055,4,33818,4065,14669,4845,6856,2690,694,4,224,212,4,1,6,61,47,1,1,1,0,74,54,228,17174
1970:Q3,34582,11818,15725,7036,492,5464,1080,4,34582,4154,15026,4943,6966,2776,717,4,231,220,4,1,7,63,48,2,1,2,0,77,56,236,17448
1970:Q4,35378,12131,16035,7208,509,5594,1106,4,35378,4258,15376,5049,7074,2879,741,4,239,227,5,1,7,65,49,2,1,2,0,79,57,244,17780
1971:Q1,36162,12531,16241,7389,562,5730,1097,1,36162,4376,15722,5164,7182,2954,765,4,247,234,5,1,7,66,50,2,1,2,0,78,64,252,18224
1971:Q2,36898,12822,16530,7546,580,5844,1122,0,36898,4495,16058,5278,7253,3026,790,5,254,241,5,1,7,68,52,2,1,2,0,80,66,261,18704
1971:Q3,37590,13093,16808,7688,596,5945,1147,1,37590,4616,16385,5392,7300,3085,813,5,263,249,5,1,8,70,53,2,1,2,0,82,68,269,19070
1971:Q4,38275,13370,17085,7819,612,6036,1172,2,38275,4737,16706,5504,7329,3163,836,5,270,256,5,1,8,72,55,2,1,2,0,85,70,276,19274
1972:Q1,38986,13830,17224,7925,653,6125,1147,7,38986,4860,17020,5616,7402,3230,859,5,280,266,5,1,8,72,55,2,1,4,0,79,76,285,19569
1972:Q2,39737,14117,17534,8079,671,6236,1172,7,39737,4999,17372,5736,7466,3282,884,6,287,273,5,1,8,74,57,2,1,4,0,82,79,294,20040
1972:Q3,40677,14465,17915,8290,692,6398,1201,7,40677,5155,17763,5862,7630,3356,912,6,295,280,5,1,9,77,58,2,1,4,0,85,81,303,20461
1972:Q4,41608,14846,18291,8465,714,6520,1232,6,41608,5327,18194,5994,7705,3445,943,6,304,289,5,1,9,80,60,2,1,4,0,88,84,314,20903
1973:Q1,42623,15566,18439,8572,767,6627,1178,47,42623,5516,18665,6132,7790,3542,979,6,323,307,6,1,10,79,61,2,1,3,0,89,93,322,21312
