1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q3,294127,28494,265633,0,294127,0,1844,6320,13728,46865,108778,0,31832,1040,4923,16492,36372,17409,7453,1071
1997:Q4,299568,30427,269141,0,299568,0,2142,6223,13764,47225,109353,0,31220,987,4985,16215,37794,20313,8013,1334
1998:Q1,306182,31509,274673,0,306182,0,2092,6884,13757,47445,111284,0,31207,975,5228,15439,38995,23844,7650,1382
1998:Q2,313510,33514,279997,0,313510,0,2039,7545,13733,47754,111552,0,31469,964,5791,15226,40393,27857,7762,1425
1998:Q3,322042,37208,284834,0,322042,0,2018,8207,13591,50200,110398,0,31430,954,6020,15412,44580,29894,7810,1528
1998:Q4,335436,40402,295034,0,335436,0,1849,8868,13564,53129,111740,0,32716,875,6275,16175,48255,33100,7522,1368
1999:Q1,345166,42548,302618,0,345166,0,1769,8661,13556,53591,115078,0,32425,935,6382,17149,50636,36077,7608,1299
1999:Q2,351634,41860,309774,0,351634,0,1692,8453,13602,53772,115809,0,32732,995,6711,18693,52722,37734,7483,1236
1999:Q3,362255,43164,319091,0,362255,0,1613,8246,13621,53918,121501,0,32937,1055,6679,19863,54814,39306,7530,1172
1999:Q4,376148,33368,342780,0,376148,0,1652,8039,13602,55005,127003,0,33810,1116,7192,20497,57478,41626,7560,1568
2000:Q1,382921,34487,348434,0,382921,0,1643,7982,13679,55166,130478,0,33610,1123,6794,21749,59102,42613,7612,1370
2000:Q2,391340,35529,355811,0,391340,0,1641,7925,13742,54858,134986,0,34105,1125,6955,22308,61029,43749,7595,1322
2000:Q3,396659,36401,360258,0,396659,0,1584,7867,13802,54914,137251,0,34430,1133,6138,23063,62982,44505,7739,1251
2000:Q4,405432,37895,367537,0,405432,0,1541,7810,13932,54497,139070,0,34626,1133,6237,24951,65989,47042,7572,1032
2001:Q1,410213,38444,371769,0,410213,0,1413,8105,13322,54243,142688,0,34508,882,6194,26763,69264,44194,7470,1167
2001:Q2,421540,39230,382310,0,421540,0,1521,8399,13371,54711,143719,0,34796,1085,5823,28781,74062,46747,7429,1096
2001:Q3,430888,39002,391886,0,430888,0,1573,8693,13614,53825,148360,0,34782,1275,5964,30632,77308,46439,7362,1061
