1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q1,14993,4258,14418,-3452,-921,220,22438,-1625,3440,533,13044,7046,60,469,-1701,5616,0,245,2512,-11068,602,0,-11670,9500,9147,-910,0,299,-566,1729,8595,0,11727,-3132,353,-111,464,0,5816,0,11407,328,274,-8
2004:Q2,15018,4347,20437,-10,-1281,102,16092,-1904,2596,-1370,10274,6496,76,302,1138,2811,0,245,2365,-1403,602,0,-2005,10898,12289,1374,0,-693,-567,-660,12835,0,14046,-1211,-1391,-822,-569,0,1132,0,13726,327,275,-7
2004:Q3,-820,4512,27952,3265,1106,466,16159,386,7101,-1233,6390,3515,115,187,858,2945,0,245,693,1913,601,0,1312,33069,34812,-1301,0,-385,-572,-270,37340,0,25912,11428,-1743,-641,-1102,0,-215,0,25592,328,273,-8
2004:Q4,15492,4611,9817,-8531,242,-1994,15632,1802,6063,-2755,6161,4361,81,-1226,-177,-1999,0,245,-7268,14812,601,0,14211,4505,8307,-141,0,-1503,-565,1058,9458,0,628,8830,-3802,-2444,-1358,0,5569,0,309,327,274,-8
2005:Q1,14662,3921,36915,-1885,147,386,24003,950,1504,2097,11541,7911,49,-16,1266,1050,1,178,1881,9855,7804,0,2051,14110,12622,706,1,257,1012,-661,11307,0,16406,-5099,1488,-1126,2614,0,-12063,0,13561,1512,6292,1333
2005:Q2,14561,4034,34717,-793,-623,606,13452,-106,-2136,652,10966,4076,67,209,2097,7180,-11,178,2706,9649,7807,0,1842,21616,23485,-94,2,-1138,1016,160,23539,0,18796,4743,-1869,-562,-1307,0,-2574,0,15950,1514,6293,1332
2005:Q3,-12904,4112,36932,-228,98,-462,24363,1904,2133,2977,12029,5320,132,513,1020,1891,0,178,481,8946,7804,0,1142,48898,52274,-595,9,230,1009,-790,52411,0,36447,15964,-3376,-772,-2604,0,-5050,0,33602,1512,6292,1333
2005:Q4,12459,4151,18643,-2025,-226,142,8173,947,-969,-64,7573,686,78,-832,2875,811,0,178,-2882,12351,7804,0,4547,13316,11072,132,18,-528,1016,-329,10763,0,18069,-7306,2244,-91,2335,0,2981,0,15225,1512,6292,1332
2006:Q1,18788,3877,1166,7648,-593,-547,13714,-606,-489,1364,5284,8161,13,-604,1369,2090,-6,263,1922,-24103,-6324,0,-17779,-1763,-4141,-11,5,1077,-1106,414,-4520,0,-4865,345,2378,-929,3307,0,11983,0,-634,-3611,-2713,-620
2006:Q2,17988,3952,16283,8019,-1062,-482,10879,-1293,-2234,1264,6727,6415,108,-443,-1250,334,-11,263,1907,-1979,-6325,0,4346,-5461,-3612,-35,-7,1050,-1108,-688,-2824,0,-192,-2632,-1849,-1328,-521,0,-7708,0,4038,-3612,-2713,-618
2006:Q3,16673,4036,10574,4767,826,1258,5763,-371,2109,570,3895,-440,55,-10,484,2933,-6,263,-678,-5081,-6325,0,1244,1932,2512,81,-19,1400,-1105,496,1659,0,-698,2357,-580,-1791,1211,0,3996,0,3534,-3612,-2713,-620
2006:Q4,13432,4118,-12083,-11401,1445,-1015,16218,2712,3616,5047,2977,1866,541,-248,-1801,-957,-6,263,2623,-17745,-6326,0,-11419,9174,-449,-142,-38,4010,-1105,2625,-5799,0,-8839,3040,9623,-1983,11606,0,30572,0,-4607,-3612,-2714,-620
2007:Q1,14131,4294,21631,1825,2977,964,9573,-370,-7754,1204,12682,3811,114,-729,-593,4933,-6,539,-2437,4471,-3511,0,7982,-2838,3934,-626,-6,-3041,-3116,-1339,12062,0,3515,8547,-6772,-2857,-3915,0,-14632,0,6415,-2850,-661,-50
2007:Q2,13210,4356,11934,1317,293,747,11584,-2883,-10920,2631,14615,8141,506,-460,540,5104,-9,539,383,-8610,-3513,0,-5097,6567,2937,247,2,-247,-3112,-1002,7049,0,3583,3466,3630,-2513,6143,0,3488,-143,6485,-2851,-662,-51
2007:Q3,12671,4423,15498,12222,1480,492,3403,-1004,-10726,-1,11506,3628,255,-170,2164,2975,56,539,-3012,-4906,-3513,0,-1393,12152,9044,-192,752,2,-3117,341,11258,0,3657,7601,3108,-3831,6939,0,4901,-6403,6559,-2851,-662,-51
