1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q4,12852,10572,2316,-1800,648,0,4052,0,16,0,220,-820,0,-36,12852,-24844,14040,0,0,0,548,144,2008,2736,2848,0,2652,-920,3812,0,7864,0,1964
1974:Q1,17844,6204,11948,1000,756,0,-460,0,44,0,260,10348,0,-308,17844,-14748,28164,0,0,0,668,44,976,2060,2016,0,2940,-1260,-776,0,-3744,0,1504
1974:Q2,14416,4832,10388,1000,864,0,1672,0,44,0,260,6548,0,-804,14416,-20720,25772,0,0,0,-36,4,-308,2348,188,0,2152,-600,2084,0,3632,0,-100
1974:Q3,-1032,-128,-372,1000,916,0,2252,0,44,0,260,-4844,0,-532,-1032,-26564,19044,0,0,0,36,-4,-912,1308,868,0,1056,0,2720,0,1052,0,364
1974:Q4,11644,5156,6920,1000,916,0,52,0,44,0,220,4688,0,-432,11644,-16500,20548,0,0,0,116,4,-1732,2072,4052,0,4128,100,320,0,-652,0,-812
1975:Q1,13980,7796,6892,1000,928,0,-124,0,12,0,260,4816,0,-708,13980,12356,-8800,0,0,0,244,56,-572,2248,7368,0,1628,1552,-376,0,-4332,0,2608
1975:Q2,22712,12916,10740,1000,968,0,-1296,0,12,0,260,9796,0,-944,22712,19476,-10048,0,0,0,328,-68,-1780,2924,7768,0,1996,-720,-1292,0,1760,0,2368
1975:Q3,15736,6772,10276,1000,976,0,-1976,0,12,0,260,10004,0,-1312,15736,14372,-8852,0,0,0,24,-4,-624,1524,7248,0,2908,-1664,-2028,0,-1132,0,3964
1975:Q4,14564,12180,3104,1000,964,0,-3768,0,12,0,220,4676,0,-720,14564,8628,-9520,0,0,0,48,56,-20,1508,7808,0,3020,-2860,-3824,0,6448,0,3272
1976:Q1,21588,12656,8484,1600,896,0,1008,0,36,0,944,4000,0,448,21588,14924,-5052,0,0,0,20,252,328,4076,8808,0,2128,2024,508,0,-10224,0,3796
