1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,274467,174878,24453,82966,67459,50347,44689,28881,1114,19002,8057,708,15808,13381,100,2327,5658,2899,2759,5487,15547,10060,43755,35275,22630,12645,8480,4411,4069,1456,2031,575,275923,0,-116,0,116,-0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,272472,178333,26623,81458,70252,39099,41791,26950,1318,17169,7714,749,14841,12451,100,2290,-2692,-1996,-696,5235,14484,9249,49805,38490,24502,13988,11315,5918,5397,1280,1944,664,273752,0,-199,0,199,-0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,299829,192044,32445,84384,75215,56531,50761,30017,1671,18838,8669,839,20744,17692,123,2929,5770,5560,210,738,12350,11612,50516,39060,23888,15172,11456,5531,5925,1440,2186,746,301269,0,-269,0,269,-0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,346910,208339,31739,93009,83591,62758,52848,34187,1855,22682,8666,984,18661,16118,97,2446,9910,8486,1424,2513,17099,14586,73300,53719,37401,16318,19581,12543,7038,1892,2756,864,348802,0,-272,0,272,-0
1952:Q1,89520,53242,7694,23691,21858,14533,13350,8783,440,6031,2081,231,4567,3947,23,597,1183,898,285,930,4670,3740,20814,15146,10876,4270,5668,4162,1506,500,704,203,90020,0,-61,0,61,-0
1952:Q2,90126,54272,7752,24150,22370,13251,13632,8941,445,6222,2041,234,4691,4049,24,618,-381,-798,417,488,4145,3658,22115,16004,11466,4538,6111,4191,1920,505,723,218,90631,0,-61,0,61,-0
1952:Q3,92032,54888,7367,24619,22903,14305,12912,8223,432,5778,1801,213,4689,4057,24,608,1394,810,584,-1,3812,3813,22839,16349,12251,4098,6490,4379,2111,496,716,221,92527,0,-63,0,63,-0
