1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,175647,89362,59905,26106,995,21691,3420,274,175647,32687,66132,23939,27126,22353,3410,15,1044,984,23,3,34,307,257,7,1,3,0,339,208,1229,64272,7584
1966:Q1,182248,90939,63493,27088,1087,22375,3626,728,182248,33012,69416,24465,29214,22706,3435,15,1221,1165,22,3,31,276,215,9,2,3,0,320,170,1204,67403,13872
1966:Q2,183127,89642,64846,27911,1202,23006,3703,728,183127,31854,71614,24275,28867,23075,3442,15,1162,1104,22,3,33,288,225,9,2,3,0,331,177,1230,64988,12316
1966:Q3,185521,89143,67030,28620,1330,23556,3734,728,185521,30890,73030,23964,30793,23385,3459,15,1130,1072,22,3,33,295,231,9,2,3,0,334,182,1258,67414,11852
1966:Q4,185581,86756,68891,29206,1453,23987,3766,728,185581,28900,73734,23213,31481,24749,3504,15,1150,1090,23,3,34,301,237,9,2,3,0,339,188,1260,67695,16504
1967:Q1,185277,87196,67708,29568,1481,24323,3764,804,185277,28409,72873,22592,32052,25837,3514,18,891,831,24,3,33,331,257,10,2,5,0,546,208,1246,66163,15423
1967:Q2,187716,89306,67739,29867,1489,24641,3737,804,187716,31179,73153,23172,30874,25688,3650,18,1027,965,24,4,34,333,258,11,3,5,0,548,209,1238,69310,6341
1967:Q3,191492,91565,68776,30346,1474,25012,3860,804,191492,32600,73581,23552,32671,25250,3838,18,1214,1153,24,4,33,332,257,10,2,5,0,548,208,1244,69511,9263
1967:Q4,197522,95453,70316,30948,1512,25422,4014,804,197522,34546,75874,24611,32190,26112,4189,18,1489,1426,25,4,34,341,264,12,4,5,0,566,214,1276,70388,8433
1968:Q1,202205,98099,71552,31615,1568,25899,4148,938,202205,34896,78792,25524,31345,27010,4638,18,1279,1201,31,5,42,346,269,14,4,6,0,1040,291,1371,75686,8438
1968:Q2,204392,100539,70567,32346,1649,26360,4337,938,204392,35432,78596,26011,31293,28237,4823,18,1466,1390,30,5,41,348,270,14,4,6,0,1034,292,1371,77769,14082
1968:Q3,207549,101462,72183,32966,1739,26812,4415,938,207549,35777,80320,26883,31132,28414,5023,18,1600,1522,31,5,42,357,277,14,4,6,0,1053,301,1393,81945,7681
1968:Q4,214306,105649,74139,33579,1835,27287,4457,938,214306,37336,83645,28550,30700,28852,5223,19,1642,1560,32,5,45,374,290,14,4,6,0,1101,315,1458,82208,6007
1969:Q1,222424,109017,78362,34116,1978,27719,4419,928,222424,38981,86385,30270,32488,29037,5263,23,1949,1866,32,6,45,374,279,16,4,4,0,705,353,1556,83394,11489
