1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,16384,0,0,0,0,0,0,1012,0,15372,16384
1967:Q1,16872,0,0,0,0,0,0,1040,0,15832,16872
1967:Q2,17272,0,0,0,0,0,0,1436,0,15836,17272
1967:Q3,17360,0,0,0,0,0,0,1072,0,16288,17360
1967:Q4,17524,0,0,0,0,0,0,1712,0,15812,17524
1968:Q1,17868,0,0,0,0,0,0,1456,0,16412,17868
1968:Q2,18360,0,0,0,0,0,0,1936,0,16424,18360
1968:Q3,18580,0,0,0,0,0,0,992,0,17588,18580
1968:Q4,18780,0,0,0,0,0,0,960,0,17820,18780
1969:Q1,19824,0,0,0,0,0,0,1816,0,18008,19824
1969:Q2,20024,0,0,0,0,0,0,1284,0,18740,20024
1969:Q3,21308,0,0,0,0,0,0,2288,0,19020,21308
1969:Q4,20692,0,0,0,0,0,0,688,0,20004,20692
1970:Q1,23788,0,0,0,0,0,0,2776,0,21012,23788
1970:Q2,24708,0,0,0,0,0,0,1396,0,23312,24708
1970:Q3,26280,0,0,0,0,0,0,2696,0,23584,26280
1970:Q4,27020,0,0,0,0,0,0,2656,0,24364,27020
1971:Q1,27492,0,0,0,0,0,0,3696,0,23796,27492
1971:Q2,27836,0,0,0,0,0,0,1460,0,26376,27836
1971:Q3,28848,0,0,0,0,0,0,3288,0,25560,28848
1971:Q4,29712,0,0,0,0,0,0,2928,0,26784,29712
1972:Q1,29464,0,0,0,0,0,0,3440,0,26024,29464
1972:Q2,29656,0,0,0,0,0,0,-1376,0,31032,29656
1972:Q3,30704,0,0,0,0,0,0,5512,0,25192,30704
1972:Q4,30552,0,0,0,0,0,0,4396,0,26156,30552
1973:Q1,30652,0,0,0,0,0,0,3112,0,27540,30652
1973:Q2,30776,0,0,0,0,0,0,-1428,0,32204,30776
1973:Q3,31436,0,0,0,0,0,0,3956,0,27480,31436
1973:Q4,31580,0,0,0,0,0,0,2900,0,28680,31580
1974:Q1,31620,0,0,0,0,0,0,2256,0,29364,31620
1974:Q2,31896,0,0,0,0,0,0,2656,0,29240,31896
1974:Q3,31856,0,6004,6004,0,0,0,-860,0,26712,31856
1974:Q4,31704,0,0,0,0,0,0,900,0,30804,31704
1975:Q1,32168,0,-6004,-6004,0,0,0,8160,0,30012,32168
1975:Q2,31948,0,0,0,0,0,0,5916,0,26032,31948
1975:Q3,31988,0,0,0,0,0,0,8068,0,23920,31988
1975:Q4,31684,0,152,152,0,0,0,-1472,0,33004,31684
1976:Q1,33436,0,144,144,0,0,0,624,0,32668,33436
1976:Q2,33624,0,88,88,0,0,0,10044,0,23492,33624
1976:Q3,33156,0,112,112,0,0,0,10232,0,22812,33156
1976:Q4,33800,0,72,72,0,0,0,-2936,0,36664,33800
1977:Q1,34680,0,40,40,0,0,0,-808,0,35448,34680
1977:Q2,35832,0,-584,-584,0,0,0,-7324,0,43740,35832
1977:Q3,36684,0,128,128,0,0,0,39716,0,-3160,36684
1977:Q4,36408,0,68,68,0,0,0,-4936,0,41276,36408
1978:Q1,40128,0,44,44,0,0,0,-136,0,40220,40128
1978:Q2,41772,0,72,72,0,0,0,-4596,0,46296,41772
1978:Q3,42324,0,132,132,0,0,0,35448,0,6744,42324
1978:Q4,44092,0,92,92,0,0,0,-2940,0,46940,44092
1979:Q1,42624,0,64,64,0,0,0,180,0,42380,42624
1979:Q2,43344,0,120,120,0,0,0,164,0,43060,43344
1979:Q3,43900,0,160,160,0,0,0,31864,0,11876,43900
1979:Q4,44528,0,-884,-884,0,0,0,332,0,45080,44528
1980:Q1,43620,0,88,88,0,0,0,13268,0,30264,43620
1980:Q2,43376,0,116,116,0,0,0,9432,0,33828,43376
1980:Q3,44228,0,88,88,0,0,0,3356,0,40784,44228
1980:Q4,45404,0,104,104,0,0,0,9248,0,36052,45404
1981:Q1,44756,0,136,136,0,0,0,11152,0,33468,44756
1981:Q2,45436,0,292,292,0,0,0,9248,0,35896,45436
1981:Q3,45928,0,-844,-844,0,0,0,10636,0,36136,45928
1981:Q4,46260,0,0,0,0,0,0,9364,0,36896,46260
