1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q1,113572,41686,32710,25592,1390,8354,2749,1091,0,71973,34116,37857,41599
1993:Q2,108703,38333,32276,23357,1921,8804,2945,1067,0,49435,12651,36784,59268
1993:Q3,116046,41382,31850,26529,2452,9240,3146,1447,0,54799,19112,35687,61247
1993:Q4,116670,40725,31387,27224,2983,9608,3342,1401,0,60495,24916,35579,56175
1994:Q1,123644,45468,31496,28929,2879,9907,3537,1428,0,74996,38882,36114,48648
1994:Q2,116784,41256,32000,25535,2775,10131,3734,1353,0,49291,13138,36153,67493
1994:Q3,121371,42676,32320,28014,2672,10350,3930,1409,0,55726,19581,36145,65645
1994:Q4,118271,40315,32807,26613,2568,10651,4122,1195,0,60882,24036,36846,57389
1995:Q1,132542,49454,32898,31083,2745,11024,4291,1047,0,84753,46832,37921,47789
1995:Q2,123831,40898,33006,29993,2922,11457,4483,1072,0,54237,16514,37723,69594
1995:Q3,131488,42359,33156,34923,3100,11917,4685,1348,0,60364,22992,37372,71124
1995:Q4,132415,40309,33358,37163,3277,12327,4864,1117,0,60078,22353,37725,72337
1996:Q1,142587,49331,33834,37441,3437,12432,5049,1063,0,83007,44253,38754,59580
1996:Q2,141519,45602,34412,38907,3598,12545,5259,1196,0,54868,15684,39184,86651
1996:Q3,146972,49068,35249,39652,3759,12696,5469,1079,0,62479,22988,39491,84493
1996:Q4,150787,49872,35675,42578,7761,7974,5663,1264,0,69204,29141,40063,81583
1997:Q1,167545,62141,36794,46071,7725,7927,5847,1040,0,92106,50595,41511,75439
1997:Q2,163127,57173,38074,45369,7688,7883,6051,889,0,60233,17880,42353,102894
1997:Q3,177759,64368,38974,51541,7652,7843,6271,1110,0,133202,90200,43002,44557
1997:Q4,175028,59214,39941,52634,7615,7806,6473,1345,0,131091,86783,44308,43937
1998:Q1,192344,69045,41243,58278,7914,8109,6670,1085,0,156549,110417,46132,35795
1998:Q2,182325,59915,40730,57063,8213,8425,6884,1095,0,121878,76493,45385,60447
1998:Q3,199283,68559,43306,62273,8512,8740,7100,793,0,130758,82900,47858,68525
1998:Q4,197242,64058,44061,62696,8811,9059,7293,1264,0,125791,76506,49285,71451
1999:Q1,203629,69320,43949,63323,9010,9250,7488,1289,0,152385,102100,50285,51244
1999:Q2,207340,70936,49595,59056,9209,9457,7702,1385,0,132536,76650,55886,74804
1999:Q3,216442,73587,50261,64111,9408,9663,7914,1498,0,135510,79199,56311,80932
1999:Q4,223973,71032,52989,70181,9607,9861,8123,2180,0,140661,81457,59204,83312
2000:Q1,242079,82756,58902,70171,9621,9868,8338,2423,0,169451,103882,65569,72628
2000:Q2,241042,80244,61712,69278,9635,9882,8572,1719,0,140637,72392,68245,100405
2000:Q3,249905,80356,60513,78905,9649,9895,8815,1772,0,149489,83700,65789,100416
2000:Q4,259446,77992,64640,86072,9663,9909,9074,2096,0,148258,78475,69783,111188
