1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,326857,843,49438,8777,0,667,15334,3418,7908,686,3322,0,16736,113,16623,2290,18388,56591,642,523,144541,12087,1998297,822664,117478,3242,0,114236,239077,90555,29103,119419,1560,112449,11296,340804,1175632,641312,6000,528320
1967:Q3,334176,827,50599,9099,0,605,15043,3916,7337,684,3106,0,16433,111,16322,2336,19289,57717,658,581,149272,11717,2049814,831461,122009,3264,0,118745,240380,89703,28592,122085,1589,115517,11866,340100,1218354,678588,6113,533653
1967:Q4,347387,1055,53161,9682,0,670,16971,3952,8714,1005,3300,0,17665,112,17553,2452,18911,60585,676,635,150620,14304,2113160,851541,125166,3034,0,122132,245699,93926,29354,122419,1611,121179,13225,344661,1261619,712221,6199,543199
1968:Q1,351589,1357,51582,9375,0,1103,19393,3819,10100,1184,4290,0,16417,201,16216,2494,18496,61653,695,692,152301,16031,2080592,865104,128216,3482,0,124734,251935,93958,30845,127132,1685,118015,17667,347586,1215488,652734,6480,556274
1968:Q2,358893,1749,53418,8129,0,1067,18504,4603,8827,1333,3741,0,17048,331,16717,2545,21318,62888,736,759,157433,13299,2176311,874113,131662,3400,0,128262,260205,98659,31458,130088,1714,122791,13031,344709,1302198,731114,6588,564496
1968:Q3,366415,1832,53308,8539,0,1021,17765,5071,8129,1364,3201,0,16531,415,16116,2607,22906,64425,752,816,164757,11156,2196238,889462,136491,4928,0,131563,263327,99276,30969,133082,1738,129255,12930,345722,1306775,728536,6686,571553
1968:Q4,383736,1587,56030,9056,0,1121,19574,5099,9259,1434,3782,0,18230,582,17648,2752,24109,68028,815,845,167778,13810,2350217,912037,139274,4249,0,135025,274113,105752,31869,136492,1750,135564,14330,347006,1438180,843150,6734,588296
1969:Q1,392358,1856,55280,7692,0,2202,21326,6207,9749,1770,3600,0,17010,678,16332,2813,25548,69504,839,845,173398,14044,2339629,929515,143342,4880,0,138462,280410,107848,33473,139089,1814,135795,15517,352637,1410114,803399,6983,599732
1969:Q2,401099,1809,59098,4593,0,1946,20056,6806,8349,1601,3300,0,17687,954,16733,2883,26502,71268,881,816,179753,13807,2342853,952538,146673,4914,0,141759,292891,113451,37248,142192,1861,141265,12220,357628,1390315,774485,7158,608672
1969:Q3,409911,1618,59656,3525,0,2868,18061,7206,6236,1569,3050,0,17719,1184,16535,2947,27077,72834,913,777,188378,13538,2339075,975125,150311,5778,0,144533,299326,113525,40730,145071,1912,147998,12507,363071,1363950,743955,7355,612640
