1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q4,5143061,38129,30789,224460,1263374,8034,335013,622478,99605,198244,3199785,896316,22882,1663748,616839,2740,6808,47705,16692,4640,0,307940,5149133,4762484,10223,865964,2785028,428818,67067,23397,43670,130942,5688,26613,442142,35402,406740,386649,24924,26487,291166,44072,0,ND
1995:Q1,5192225,31291,30009,215024,1278464,6312,348966,631703,97368,194115,3258912,926023,23969,1691081,617839,2753,6946,47928,17197,4825,0,298875,5222807,4816658,3367,815738,2835673,435310,68238,24497,43741,124814,5755,31083,496680,36568,460112,406149,25158,28010,302755,50226,0,ND
1995:Q2,5271542,33596,24946,230407,1281695,7234,334313,645659,96408,198081,3344802,967727,24330,1716974,635771,2781,7879,48554,17708,5277,0,273897,5281629,4861363,-5004,841311,2886768,452156,69677,24531,45146,125104,5808,29993,455550,37276,418274,420266,27872,28189,311954,52251,0,ND
1995:Q3,5334887,33072,23432,227480,1293202,6337,327748,662832,95359,200926,3405206,984805,23679,1741930,654792,2813,9718,49191,18490,5410,0,266873,5346392,4910322,4139,803112,2934336,463652,70818,24137,46681,126339,6252,34923,466751,38733,428018,436070,32188,30605,321948,51329,0,ND
1995:Q4,5394474,40562,29611,256828,1279763,6400,311991,668865,95363,197144,3444727,1006065,22326,1741963,674373,2484,10345,55768,19024,5163,0,250200,5434378,4979873,11232,820203,2964629,454168,68963,22639,46324,134448,6500,37163,482566,43107,439459,454505,36915,41767,325089,50734,0,ND
1996:Q1,5404707,34386,24740,243388,1291731,6614,319299,673862,94959,196997,3468541,1011828,22594,1771129,662990,2389,11513,56836,19214,5333,0,246636,5440186,4978000,2606,768496,3046771,445554,70896,22877,48019,132437,6745,37441,467054,42196,424858,462186,38008,41586,329899,52693,0,ND
1996:Q2,5481456,35677,24594,226389,1290237,5371,315955,679381,94638,194892,3535363,1036287,22068,1795098,681910,2389,11799,57192,19836,5226,0,272754,5517903,5044232,-14469,783786,3070824,457676,72891,22228,50663,145531,6518,38907,482568,43793,438775,473671,39238,39839,341743,52851,0,ND
1996:Q3,5544477,38227,20997,209636,1276082,4693,307621,675816,94791,193161,3614857,1066630,23068,1825384,699775,2572,12395,58152,20550,4972,0,286037,5606699,5117702,-31409,783031,3136646,447853,74356,23347,51009,153962,6534,39652,507075,42665,464410,488997,42830,40465,346271,59431,0,ND
1996:Q4,5627208,45186,24524,230989,1273345,7069,292592,691165,96326,186193,3676111,1087214,23355,1849220,716322,2933,13554,66632,20976,5187,0,267771,5727290,5216148,-18091,785947,3190775,461607,77258,23612,53646,161272,6073,42578,508728,46171,462557,511142,52174,43780,350720,64468,0,ND
1997:Q1,5731673,37151,21845,255951,1321687,3496,314107,708211,95957,199916,3708194,1126176,23805,1863246,694967,2968,9031,67652,21776,14156,0,271262,5821205,5281349,-28907,752621,3262019,480998,78990,24245,54745,156058,6569,46071,526930,49265,477665,539856,53887,44666,361945,79358,0,ND
1997:Q2,5832092,38407,23219,251242,1323937,3497,297670,725522,96359,200889,3801883,1165924,24897,1904922,706140,3027,9609,68893,22531,15327,0,274017,5927551,5375204,-35483,772029,3311603,480648,81936,25414,56522,171783,7220,45369,540099,49896,490203,552347,56883,47337,373839,74288,0,ND
