date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q1,-38588,-7220,31368,-34582,-810,-1408,-136,-572,-1080,0,24888,-88,752,764,956,-1120,472,-16,0,26608,60596,33988,138208,207400
2000:Q2,-3768,-4120,-352,-3351,-145,-4,-12,-308,52,0,39532,128,424,952,1436,216,564,12,0,43264,56224,12960,206368,365568
2000:Q3,29496,14884,-14612,25196,1516,944,232,404,1204,0,145096,432,7980,7232,9036,732,4736,4,0,175248,176352,1104,156712,318888
2000:Q4,-36868,-25684,11184,-32023,191,-2768,-320,-2580,632,0,15564,-956,-10500,-3172,-3340,-972,5840,-8,0,2456,41984,39528,129032,389484
2001:Q1,18480,52368,33888,16794,422,464,200,172,428,0,97340,140,3720,5800,3860,3336,3804,-16,0,117984,51992,-65992,140236,236820
2001:Q2,-13116,8052,21168,-10971,-377,-664,-136,-132,-836,0,37792,16,2600,-648,1668,816,1376,-40,0,43580,55016,11436,106220,238256
2001:Q3,23660,20904,-2756,19095,505,396,136,76,3452,0,36644,140,1540,1952,1624,-3620,2132,-4,0,40408,45020,4612,176744,56512
2001:Q4,17476,12264,-5212,15146,1150,-248,-996,-1864,4288,0,36920,48,708,3704,-7532,3868,156,32,0,37904,58564,20660,143152,140596
2002:Q1,34448,27148,-7300,29068,816,1952,136,340,2136,0,21356,48,988,512,1136,-208,-384,-12,0,23436,48748,25312,192380,98976
2002:Q2,38108,59324,21216,33044,912,1256,700,144,2052,0,-80700,-176,-3856,-2480,-2212,-880,-3548,-24,0,-93876,-40472,53404,144364,29880
2002:Q3,-556,15568,16124,-264,-116,-396,48,-44,216,0,-50096,-128,-2800,-2848,-1292,732,-2896,-48,0,-59376,-54208,5168,132080,57312
2002:Q4,33928,55960,22032,20944,-572,9292,648,-36,3652,0,38048,672,7176,-2048,9992,1100,-15360,8,0,39588,4016,-35572,146752,157664
2003:Q1,-39720,-16084,23636,-35103,-625,-1680,-320,-444,-1548,0,-42432,-180,-388,-4060,-2032,11732,-800,-8,0,-38168,-25464,12704,89280,153156
2003:Q2,41072,43776,2704,35589,1139,1848,276,292,1928,0,-15480,-16,-876,156,-1692,-292,32,336,0,-17832,-1588,16244,184240,-16232
