1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q4,145512,-3752,1020,1120,8376,25380,8376,-12352,27704,1824,-172,768,32024,7456,73120,73252,-132,145556
1996:Q1,148276,2260,2020,1744,-20196,60704,-20196,21336,24452,1764,33348,752,-8088,-1324,110404,108984,1420,148316
1996:Q2,150412,4444,-4392,1052,7004,56780,7004,30156,3932,-3896,19584,792,-8996,92,93636,92508,1128,150452
1996:Q3,152544,5212,-6388,1580,-2424,-46312,-2424,-30512,-20708,-3204,10536,808,91956,1532,106580,107260,-680,152584
1996:Q4,154672,1120,76,2416,2596,39856,2596,-2592,14340,260,25252,832,-2220,8572,101424,100420,1004,154716
1997:Q1,155629,-8452,10912,2936,-3308,78124,-3308,-6612,40564,5960,41520,848,2588,-220,72201,74533,-2332,155676
1997:Q2,157293,13868,-10876,1452,19352,66068,19352,15076,140,32,31468,856,-18208,17256,67525,66577,948,157340
1997:Q3,158955,-9260,2084,4568,-340,61548,-336,34496,11240,1632,14516,888,20680,9260,69527,68895,632,159000
1997:Q4,160615,-4764,-1612,-748,-14128,30444,-14132,-18136,21592,-3856,44976,900,32696,7656,110171,109183,988,160664
1998:Q1,163538,5408,-3068,264,33244,61132,33244,-27404,12440,2308,40544,4264,-55792,21548,96538,95790,748,163592
1998:Q2,165702,3776,-128,196,-4352,70352,-4352,4256,31700,588,38160,8032,-31164,-200,119190,118586,604,165760
1998:Q3,167870,556,384,172,9880,56772,9880,-21548,27116,-304,41628,3272,-18424,-1048,116306,116758,-452,167928
1998:Q4,170037,8896,1064,588,-3108,45332,-3108,19012,5136,4404,19888,3644,-7220,27696,93145,93109,36,170096
1999:Q1,172759,-9492,744,2388,14020,72236,14020,-4452,28008,5136,29524,1532,-48660,15404,124587,122803,1784,172816
1999:Q2,175150,7400,-2072,1688,-512,15064,-512,9308,7304,-5180,4144,4700,20908,-3924,131898,130834,1064,175204
1999:Q3,177538,-320,1876,3072,-6600,39260,-6600,-36000,-8372,-476,90708,-452,22024,-12244,130922,130738,184,177592
1999:Q4,179926,-580,-1712,192,4464,42396,4464,-23864,64732,-312,-2624,7328,-18908,9092,137654,135478,2176,179980
2000:Q1,182381,7500,2832,64,20100,54788,20100,-7696,-18088,-576,61048,-5548,-27904,14628,115921,116469,-548,182444
2000:Q2,184796,6712,1876,1228,-884,14692,9008,-8056,75164,-256,-61168,1764,28480,41684,89244,88224,1020,184864
2000:Q3,187213,-888,7476,3228,-13288,23496,-3388,-37660,63164,-2256,3636,-11840,176656,60472,-58099,-59047,948,187284
2000:Q4,189633,-10484,-12528,1224,-8084,66288,1808,-25656,79164,-2260,13232,1364,-130656,82724,199785,196797,2988,189704
2001:Q1,193626,-6488,-524,2428,-15284,-92912,-5392,-6860,-11236,944,-70368,-1040,178732,45864,82850,78314,4536,193684
2001:Q2,196667,19912,1876,2428,10716,43496,20608,23144,74364,-656,-73964,-5436,53516,10068,60091,59915,176,196724
2001:Q3,199710,312,-524,2028,-9288,-118508,612,-65260,-65236,-4256,15632,1764,212304,17160,94462,91194,3268,199768
2001:Q4,202766,-7684,-128,2024,-9684,-42908,208,-46856,9564,3744,-9568,160,15892,30188,214906,215750,-844,202812
2002:Q1,205099,2712,3076,2028,-6084,29488,3808,32744,4764,-3860,-7968,-236,81104,35288,57723,62151,-4428,205116
2002:Q2,207850,-7724,508,-4016,1564,-92156,-2612,-57416,-22688,476,-9916,-560,95664,12996,201574,211810,-10236,207864
2002:Q3,210600,3204,-1900,-9912,-584,-215852,-4664,-39224,-8372,-148,-163444,2692,556424,74804,-198276,-189928,-8348,210608
2002:Q4,213349,9716,-184,31588,1856,-120864,14864,-20888,-5900,80,-109020,1620,-306344,26180,569781,545841,23940,213356
2003:Q1,213357,7596,-744,18064,1064,-17644,8500,19232,47324,52,-92752,-6532,366216,68464,-223127,-225451,2324,213372
2003:Q2,215013,-7172,-4620,-76012,-4472,33204,-35772,44492,76080,-32,-51564,10264,-642704,-23768,930293,905465,24828,215028
2003:Q3,216668,-784,752,-43108,-2536,50032,-20284,-46868,66976,7452,42756,8432,-17052,28212,192720,186152,6568,216684
2003:Q4,218320,16976,1820,30232,1780,203244,14224,-5392,124072,7260,63080,-28968,-335204,8432,320008,297476,22532,218336
2004:Q1,219572,19900,2000,42304,2488,159928,19908,1796,135932,7208,-4916,-12076,-211952,-892,217872,219344,-1472,219700
2004:Q2,221108,-11588,104,-87740,-5160,170692,-41288,-9228,132028,8496,80684,12448,222136,103740,-183524,-217536,34012,221240
2004:Q3,222642,4232,-156,18200,1156,-165400,10504,25072,-105180,-7796,-88000,-11904,-55940,-93312,525766,553318,-27552,222780
2004:Q4,224178,-12752,-1872,-17260,-940,271796,-6504,45284,-71268,-6844,311128,-2164,312068,4544,-329242,-361738,32496,224320
2005:Q1,225116,-2440,-828,4156,336,40696,3936,63148,-27112,-6460,7184,-9400,139052,-17648,71192,72476,-1284,225232
2005:Q2,226403,2252,-356,13624,916,-203216,8948,1772,-143460,-6800,-63676,-940,6688,-9080,416515,398831,17684,226524
2005:Q3,227689,-7856,472,-18252,-1024,40356,-7456,-42056,19384,304,70180,-8296,-247472,-56016,525777,527813,-2036,227812
2005:Q4,228973,9544,1644,27052,1768,148480,16540,23508,114304,300,-6172,6972,-30308,-8976,72797,65881,6916,229104
2006:Q1,232272,-3156,788,-6044,-272,19024,-956,-27620,35152,344,12104,3132,311120,47304,-139624,-182008,42384,232348
2006:Q2,234328,-2388,840,-4024,-144,111552,92,-3984,75276,364,39804,4596,-55480,-43828,223204,246032,-22828,234416
2006:Q3,236397,-1020,40,10516,776,-1920,8424,4608,-52656,-564,38268,8724,-155252,-15156,389689,384677,5012,236488
2006:Q4,238465,60,176,13236,964,100464,10372,16396,11572,-396,62520,-4028,-258848,-8976,395417,378249,17168,238560
2007:Q1,242015,-5024,-476,-752,80,-94788,2368,-45396,-153584,-372,102196,5652,-38988,-21208,397519,404655,-7136,242200
