1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q4,53412,29345,-45348,910328,7335,-2508,-7991,235442,4332,42154,170174,8258,10525,436527,-89622,-984,528933,-1801,-572,4280,5552,1496,18344,0,212423,955676,878928,144333,-64068,272566,233901,9056,-1148,10204,9515,7176,-45240,311689,-2060,313749,76748,4692,-6488,35996,42548,69414,0,229970
2003:Q1,51708,31088,110247,706534,-3893,16984,244404,310581,-3444,-13902,252871,5709,69347,272889,-82267,1344,283112,70701,-625,2328,6044,4860,-13984,0,-133055,596287,527351,-144315,-16892,520826,232902,8900,1184,7716,53120,-388,25328,-152129,27320,-179449,68936,6104,15672,46432,728,-89627,0,383719
2003:Q2,50970,30275,41119,970346,-3744,3732,52667,294545,4736,-19822,317808,18271,-26448,384849,-51888,-1123,361965,75896,1139,2536,3788,1916,-1616,0,230533,929227,859319,-205099,113930,474422,178205,6915,-1069,7984,-26379,-876,6628,311573,5116,306457,69908,12072,372,62912,-5448,-20424,0,465134
2003:Q3,46746,35285,76859,274222,11930,5684,12483,-222982,-5360,20964,-253629,18363,-3320,320187,-81691,-1311,376812,26376,245,4972,4872,2396,-14016,0,148451,197363,184751,176734,10089,159664,-288996,1820,-1380,3200,42951,-3580,-26820,112889,7036,105853,12612,10596,2996,11752,-12732,-65398,0,32638
2003:Q4,43615,38372,17580,516566,-3761,-24332,-185602,326092,-1856,34001,164646,5045,124256,364833,38932,334,210055,115512,-1019,-4404,11596,148,-4672,0,37687,498986,413486,46150,81372,318161,-158486,7286,318,6968,43225,2948,7796,65034,8188,56846,85500,7524,-472,31372,47076,-12337,0,122443
2004:Q1,40974,39380,109721,1139167,9788,7588,199469,414045,396,12818,336270,2378,62184,617544,-48708,-1668,564366,103554,910,2884,5264,7212,-2524,0,-123013,1029447,849503,-308545,57986,638114,284147,500,-1568,2068,124435,1164,28732,22970,1400,21570,179944,4772,120,78040,97012,-108127,0,455618
2004:Q2,37295,45556,227847,1031697,291,18692,-26674,-3500,-2352,-7530,50538,17116,-61272,639363,64261,2060,527274,45768,1068,-3508,11304,5252,-3464,0,392874,803851,774047,86022,34456,616831,97384,15512,2084,13428,105777,-2052,-72064,-107820,4928,-112748,29804,3364,6796,109532,-89888,-236108,0,346989
2004:Q3,36593,47469,-167176,722890,7708,-19856,107480,-176219,940,-62326,-254297,6120,133344,621082,52217,-1880,536739,34006,176,-412,6620,5080,-3424,0,174656,890066,456970,-114792,40485,446369,81745,4276,-1828,6104,-19522,4964,65608,-52163,5688,-57851,433096,8888,43140,322740,58328,156300,0,318834
2004:Q4,38410,46437,-166211,1055734,-43479,-2484,-181210,15978,712,-52553,-96695,9967,154548,758778,129694,68,581093,47923,6582,-4652,692,2056,-736,0,504208,1221945,1024585,201939,57568,418830,-306896,30088,220,29868,73386,16620,24800,508249,21540,486709,197360,5436,852,124324,66748,158184,0,407799
2005:Q1,32977,46631,337125,1238927,41158,3764,46909,705859,-516,63015,364495,15657,263208,580181,95141,368,437146,47526,-234,-2648,-6204,4052,-8788,0,-125123,901802,810430,67699,-35294,530450,-35008,18076,280,17796,88530,1916,-26724,200785,-69352,270137,91372,11360,19816,54664,5532,-350780,0,275125
2005:Q2,31948,44756,105270,975241,8248,-7504,-119200,45409,-160,-46830,-82370,17749,157020,823658,252166,164,549861,21467,-849,3472,3064,5588,-6056,0,219410,869970,697178,-132532,15185,640233,140477,2600,108,2492,110622,-6080,-2064,-71263,9932,-81195,172792,9048,14568,86672,62504,-118078,0,194346
2005:Q3,26363,42521,58200,765912,-7114,-4724,159016,86908,-300,-25472,-71067,22763,160984,741734,60132,708,573744,107151,1635,-2980,4992,4280,-112,0,-217723,707712,656544,-33380,-44470,855560,200870,8500,804,7696,-62921,4500,-116,-271999,-14572,-257427,51168,11096,-1084,21060,20096,-74359,0,397401
2005:Q4,19182,39643,113236,845756,-8080,-11536,-7701,-30936,1340,-19301,-30334,17655,-296,594650,256853,-1200,380141,-41143,-1593,-1296,1384,868,1640,0,308356,732520,662080,50713,-37949,413270,32269,24888,-1152,26040,39905,-3236,-10792,153013,6652,146361,70440,2168,7020,65248,-3996,-133697,0,405183
2006:Q1,30932,44617,101108,1584031,-132,7916,150715,337680,1112,-2697,174769,7897,156600,809197,281784,192,467381,59840,-2857,-1140,3172,3140,-6832,0,283172,1482923,1319067,-8885,13487,692189,2196,18028,1892,16136,93338,-228,14568,494374,32700,461674,163856,5432,25812,36120,96492,-114794,0,-885177
2006:Q2,26487,41611,43352,1150336,6085,-236,-100091,301551,-1728,43252,136001,7425,116600,862326,229484,-312,548498,84655,-2281,-3808,4680,5252,5472,7320,64067,1106984,899640,-187996,107786,714801,151160,25708,-4040,29748,107633,1348,-3432,-17368,12764,-30132,207344,9204,3788,186048,8304,-58476,0,293416
2006:Q3,23680,44198,-235346,674044,-5137,-14532,384695,-146669,2080,-59216,-151987,30574,31880,526845,121226,-312,353337,52593,-1556,-168,-4100,288,8876,11224,-85722,909390,781598,154207,-115129,659994,446942,18916,2036,16880,-172681,3260,60060,-273971,11332,-285303,127792,6844,14752,118900,-12704,214828,0,175103
2006:Q4,22022,50234,343703,333517,5708,5476,79286,137754,-988,20773,-80522,54316,144176,396541,148125,-828,207788,41455,-1210,3576,-2516,-1792,5108,14304,-308718,-10186,-138934,114230,-180037,477533,-259613,54788,-672,55460,45429,3144,-7024,-387384,32112,-419496,128748,19180,3304,164132,-57868,-371915,0,438014
2007:Q1,33077,46241,118970,921467,-10904,-2236,179841,215760,2416,15418,-49054,30688,216292,327310,213244,-276,66635,47707,-213,-5532,38724,560,-8764,12864,174057,802497,606281,-491489,218909,621647,7033,24352,5236,19116,-2411,-7604,-20720,256564,6344,250220,196216,5948,21440,33836,134992,-132134,132,397096
2007:Q2,25798,46544,-41374,889966,4477,-4584,-48863,242063,792,-6704,-20365,13425,254916,718484,263765,132,383981,70605,-201,3080,35072,-488,2392,5528,-66994,931340,819848,-199317,-52682,596546,63661,28572,428,28144,74254,-4080,-34644,347538,35508,312030,111492,7612,19160,46112,38608,20627,-1716,262003
2007:Q3,17359,48697,-88635,1626682,-1536,22956,348507,39774,-2616,-36711,-260705,8286,331520,1017849,523845,-604,432422,62187,1108,8192,28272,30460,16080,9148,105873,1715317,1531121,360786,-10413,746763,-48976,12856,-7520,20376,574566,1852,27792,-134105,-30224,-103881,184196,5988,45680,194332,-61804,57297,-3260,505153
