1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q1,229,483,-1037,149,208,283,-844,1161,0,-122,88,-819,-1,56,-23,-890,-873,0,-17,-835,-1155,8981,0,-8934,-2061,-6873,-16,50,-1,-1235,-412,1589,-2412,320,3,-64,92,289,0,-53
1979:Q2,244,497,15226,152,4453,6149,3065,2442,0,149,493,2632,-1,115,-23,1749,1023,0,726,15646,15002,8755,0,4788,2411,2377,17,30,-1,1413,974,1186,-747,644,-20,67,250,347,0,167
1979:Q3,121,523,1626,410,2181,-3871,-164,-3549,0,-16,-142,1291,-1,81,-22,1557,1264,0,293,1789,1443,-986,0,688,-1137,1825,17,30,21,1673,1091,-1534,2116,346,22,67,180,77,0,-239
1979:Q4,81,538,-2974,269,3668,-6179,-692,-5472,0,296,-311,-2791,-4,136,-18,1945,1144,0,801,-2829,-3045,-9883,0,5691,-232,5923,22,40,2,1083,775,-1602,1910,216,-62,226,199,-147,0,-312
1980:Q1,145,647,-4292,442,-7243,4163,-1025,6777,0,-1076,-513,1277,-1,-368,-21,-2541,-1842,0,-699,-4863,-4393,4086,0,-7341,-1683,-5658,9,60,31,-1238,-1416,2172,-1994,-470,69,36,-992,417,0,-1073
1980:Q2,246,639,12719,64,4815,4054,1769,109,0,630,1546,-115,-1,-74,-21,3997,3068,0,929,21243,11893,5369,0,3372,48,3324,9,100,134,2909,3015,-304,198,9350,56,33,442,144,8675,8131
1980:Q3,348,662,961,194,-2189,-1474,-1258,602,0,-20,-798,1352,0,218,-21,2881,2143,0,738,1574,767,-3213,0,2023,-2008,4031,66,100,124,1667,1123,366,178,807,77,255,-14,309,180,299
1980:Q4,431,691,13785,92,10888,-4135,95,-5211,0,791,190,4765,-4,349,-17,1847,1419,0,428,14172,13209,1316,0,8228,2103,6125,-240,100,-14,3819,2082,1741,-4,963,162,22,150,853,-224,127
1981:Q1,232,798,-549,-47,-7535,12511,49,13078,0,-813,197,-2930,-1,-231,-19,-2297,-1631,0,-666,-833,-799,11557,0,-9352,-1757,-7595,-14,100,-64,-3026,-1298,2066,-3794,-34,16,-51,179,-1069,891,-851
1981:Q2,190,830,5157,-230,4289,-2315,3931,-7202,0,370,586,372,-1,428,-19,2633,2210,0,423,7784,4767,102,0,1675,3238,-1563,12,100,-45,2923,1967,3911,-2955,3017,75,42,138,692,2070,1987
