1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2015:Q3,7023298,65154,64663,3405,3318611,49951,210583,383127,180459,2494491,595576,170913,424663,2686,556672,68244,3452,1359548,204336,85380,62675,632896,0,32052,70278,530566,6766552,6476621,23032,58825,12774,1855808,2890850,110068,6650,1518614,115,59418,356370,718966,383745,289931,178315,99658,11958,50306,5594510,572082,324597,12002
2015:Q4,7056608,72211,59018,2914,3316222,45502,211556,381105,182584,2495475,614312,170839,443473,2753,578703,64816,3406,1396558,208568,86673,66388,584066,0,32021,71237,480808,6837514,6542136,21995,59738,12237,1874994,2962504,114054,7569,1489045,118,64021,356171,722690,346045,295378,182767,100707,11904,49391,5693496,575605,309387,10120
2016:Q1,7235946,71543,58355,3058,3460745,47917,217140,391340,191493,2612855,625479,176426,449053,2256,574471,57473,3505,1386539,219518,85891,72573,614540,0,33205,69911,511424,6934145,6645200,22060,62840,13331,1900754,2981730,118958,8674,1536853,113,63174,362041,729265,382260,288945,161935,114229,12781,51432,5741626,585584,313754,13180
2016:Q2,7470245,94161,51842,2945,3602887,48524,228626,398870,198965,2727902,631959,173831,458128,2213,579133,58886,3585,1401194,230466,85112,78758,647104,0,34025,68587,544492,7086732,6794828,22104,67535,13968,1937403,3030534,123861,8349,1591074,112,64921,367786,735490,422765,291904,159752,118609,13543,53796,5835175,596088,318160,16242
2016:Q3,7583553,88492,49760,2869,3653434,50244,233297,400349,201273,2768271,640681,174377,466304,2158,590971,63425,3766,1441593,241416,84331,84942,635715,0,33060,67259,535396,7209990,6898689,22162,69890,14713,1966131,3091693,128766,7072,1598262,124,65288,370134,743803,418913,311301,173403,123987,13911,55022,5928049,606969,322588,19302
2016:Q4,7419959,75524,45264,2554,3510551,47811,225422,383064,190966,2663288,647671,167799,479872,2139,586930,63141,3766,1438645,252364,83548,91126,616736,0,31698,65933,519105,7215827,6861889,22229,70197,14964,1975327,3057504,133669,8650,1579349,138,70694,372870,768405,367242,353938,212539,128264,13135,47794,5928086,616400,326913,22360
2017:Q1,7568658,76639,46959,2558,3562740,46944,228881,387150,194463,2705302,657025,165787,491238,2358,608481,69623,4051,1481573,260916,85505,93898,616332,0,33072,66909,516351,7346684,6990007,22279,73205,15030,1999938,3132530,143047,8202,1595776,121,73252,379841,773876,368686,356677,208769,134397,13511,51068,6037405,622313,336061,23206
2017:Q2,7695356,84996,47814,2428,3614633,44526,232135,391509,197948,2748515,671238,165924,505314,2146,624094,75512,3982,1503877,269467,87461,96672,611036,0,33494,67885,509657,7455567,7086153,22892,73245,15252,2014854,3176755,152427,6845,1623883,129,77034,382100,779376,385244,369414,214412,140860,14142,50850,6102312,627701,345174,24051
2017:Q3,7833347,85415,49626,2360,3662691,42941,234433,395032,201206,2789079,682402,169178,513224,2224,644924,80036,3987,1536459,278018,89416,99445,616344,0,33551,68861,513932,7566195,7181116,22311,74095,15229,2037843,3222444,161807,7428,1639959,130,84432,385068,790304,380025,385079,223012,147539,14528,51540,6185618,633328,354327,24894
2017:Q4,7934562,93568,49078,2107,3701220,39097,234799,397595,204093,2825636,691556,168795,522761,2031,660820,86119,4157,1570013,286568,91372,102219,593734,0,33479,69835,490420,7692234,7285417,21974,76903,15592,2060852,3279863,171187,8836,1650210,131,82649,390933,805402,371095,406817,230465,160684,15668,49030,6283527,638982,363489,25738
2018:Q1,7859797,88173,47329,2033,3641626,36490,233244,395005,204430,2772457,705082,167517,537565,2706,641130,84833,4503,1537579,277530,116406,102031,608836,0,35913,70962,501961,7691158,7308818,21356,81037,14618,2070165,3280230,174989,8625,1657798,134,85346,401056,800601,370661,382340,212758,154582,15000,52927,6291986,655912,383753,25813
2018:Q2,7879087,95239,49947,2020,3600667,34459,232076,385793,202383,2745956,720683,167213,553470,2409,641342,73025,4509,1553301,268493,141455,101847,624150,0,35764,72089,516297,7740843,7363181,21448,82026,13240,2086550,3318407,178797,7864,1654849,121,86775,402886,805889,359178,377662,208265,154528,14869,46274,6345320,673790,404125,25888
2018:Q3,7978783,84063,45898,2242,3618561,35258,232361,382663,200125,2768154,736139,165786,570353,2339,651362,72588,4582,1592221,259454,166534,101661,641139,0,36611,73214,531314,7857510,7462017,24150,81841,12637,2105250,3372682,182615,7591,1675251,141,87582,410154,821697,355677,395493,221052,159388,15053,47039,6430098,692468,424573,25961
2018:Q4,7748689,93061,55800,2270,3614211,34049,209382,375026,195913,2799841,753239,167588,585651,2303,573740,61035,4650,1399904,250415,191376,101473,645212,0,35378,74340,535494,7587107,7262427,24705,83350,11731,2085992,3234710,186337,5991,1629611,133,85736,417338,788346,338058,324680,188419,131593,4668,42623,6233718,705073,444410,26034
2019:Q1,8127138,91702,52894,3452,3803643,34248,209461,385802,204640,2969492,767361,167531,599830,1313,622132,73075,4742,1524163,252098,193535,103100,633928,0,36838,75164,521926,7854223,7490955,24195,84494,11905,2121145,3380019,189782,6679,1672736,152,89115,423083,813602,346784,363268,201500,156677,5091,45236,6444251,714435,448659,26264
2019:Q2,8389459,98687,57568,4817,3980476,34682,212370,395088,211147,3127189,775439,166623,608816,1339,642600,77047,4745,1547132,253781,195541,104723,645564,0,36143,75989,533432,8010032,7615921,23812,84534,12390,2139945,3449114,193169,5864,1707093,157,88658,426534,819237,372507,394111,218409,170200,5502,45176,6537176,720916,452637,26498
2019:Q3,8582268,108286,63032,5855,4118937,33008,220306,402019,217125,3246479,792712,168781,623931,793,648009,78517,5046,1529461,255464,197479,106349,672328,0,37017,76813,558498,8108212,7717299,21349,88578,12924,2158578,3487618,196534,5656,1746062,169,89714,429623,815747,410809,390913,203709,181472,5732,45424,6596079,726107,456496,26727
2019:Q4,8718478,97256,59646,6538,4144503,29537,221364,399130,221795,3272677,805392,166880,638512,990,683513,85388,5214,1594633,257145,199537,107976,670747,0,36896,77636,556215,8236356,7821045,18015,91246,12814,2177366,3566926,199940,6582,1748156,158,91766,436159,826091,393982,415311,211286,198262,5763,44726,6712194,733568,460562,26957
2020:Q1,8459156,147224,89897,9823,4064008,39281,239314,407509,220584,3157320,815149,171418,643731,524,585465,67608,6018,1296444,258546,222036,113592,782822,0,39417,79837,663568,8000740,7715243,26066,110547,12790,2175104,3339213,221831,9169,1820523,0,98118,438340,794854,489211,285497,122772,162725,0,46353,6473543,753996,481765,21575
2020:Q2,9035611,152135,86063,8703,4368342,35647,241193,391260,228058,3472184,816512,168699,647813,805,657541,78441,6985,1482086,259948,245225,119205,753620,0,38464,82038,633118,8358587,8026175,21929,111133,12817,2213367,3544474,243969,10418,1868068,0,102538,443910,828122,493498,332412,130731,201681,0,47027,6756407,790649,504339,16195
2020:Q3,9219943,135217,74102,10894,4457666,41336,248682,386530,233467,3547651,818406,168848,649558,498,695285,80720,7274,1545725,261346,268223,124820,739767,0,38054,84238,617475,8554419,8201475,26172,106433,12838,2249661,3654154,266036,6918,1879263,0,110608,451266,846451,470938,352944,132602,220342,0,46769,6925781,822990,526539,10812
2020:Q4,9614488,130651,67478,8418,4546301,34725,246579,375103,240516,3649378,829994,168030,661964,466,771089,93858,7759,1694562,262748,291277,130433,779454,0,36964,86438,656052,8983129,8557611,19064,106742,12560,2303718,3876588,288129,7688,1943122,0,114919,455009,874727,498467,425518,166581,258937,0,48115,7231704,860948,549061,5428
2021:Q1,9512716,121155,64475,7874,4363255,33324,233001,351043,238507,3507380,833963,168955,665008,530,782494,93901,8539,1723884,268298,313432,132957,797959,0,39090,87467,671402,9097115,8616241,17272,115327,12417,2313287,3888484,304842,8941,1955671,0,126030,458658,880405,490578,480874,211663,269211,0,52271,7267926,873582,584173,4647
2021:Q2,9856322,136424,70523,8506,4483192,35585,240222,342515,241307,3623563,845067,169690,675377,381,816285,94330,8677,1818962,273846,335658,135481,828990,0,38260,88497,702233,9345533,8833925,18214,111647,11688,2356910,4010992,321590,6514,1996370,0,141460,459921,902231,492758,511608,216910,294698,0,55369,7458670,893050,619649,3868
2021:Q3,9898591,130455,68391,9707,4529927,39576,243425,333808,239748,3673370,863061,171622,691439,121,805068,88648,8738,1776399,279396,357778,138006,842896,0,38238,89526,715132,9401766,8895859,20351,110216,11566,2377026,4025621,338285,6450,2006344,0,152177,466415,901213,486539,505907,219616,286291,0,58334,7493586,902231,654565,3087
2021:Q4,10066187,122183,65228,10041,4569162,41840,237092,319904,241310,3729016,881613,172099,709514,-323,811490,86689,9073,1832327,284943,379954,140531,873276,0,38434,90554,744288,9602229,9068136,20601,113643,11394,2399416,4109878,355011,7189,2051004,0,155406,471997,914546,509055,534093,224622,309471,0,54492,7613551,917088,689751,2305
2022:Q1,9610580,113837,66144,8126,4252418,36551,214871,299510,221310,3480176,903405,170984,732421,-580,771641,68271,9630,1685475,283535,405989,139545,903144,0,40193,89340,773611,9430901,8934798,23481,125068,10139,2392715,3980204,359051,6271,2037869,0,169914,473896,896621,497438,496103,236836,259267,0,56805,7481500,927273,719531,4428
2022:Q2,9049072,117517,71886,6260,3980361,30797,198407,283693,210130,3257334,923660,171038,752622,-280,673391,44664,9080,1436924,282127,431963,138557,932962,0,39390,88127,805445,9027867,8650333,24970,132447,8373,2367831,3756139,363044,5249,1992280,0,172014,471418,864077,484771,377534,198147,179387,0,50281,7204984,930593,748418,6552
2022:Q3,8811090,118761,73807,5902,3796379,29695,188830,273765,197185,3106904,939840,174242,765598,-347,629910,31327,8468,1347173,280718,458029,137573,983550,0,39403,86911,857236,8972083,8627884,32680,135559,7512,2371123,3714142,367091,5313,1994464,0,171257,473077,853744,496386,344199,199347,144852,0,44093,7155718,943396,777848,8673
2022:Q4,9047752,118331,75552,4663,3904901,25753,183110,265422,197942,3232674,952958,173574,779384,-224,659799,25106,8052,1413508,279309,484200,136593,985004,0,36961,85697,862346,9120631,8755162,36399,135728,6607,2398894,3822848,371216,6045,1977425,0,173726,474557,871763,457379,365469,230587,134882,0,41718,7310896,968035,808937,10796
2023:Q1,9321604,120805,77862,4821,4021820,26871,184415,266009,200016,3344509,965549,174711,790838,-101,679375,34777,7773,1460518,290709,506923,138631,1012142,0,37982,85638,888522,9331804,8990796,35870,139021,6261,2440779,3963812,394590,6525,2003938,0,175791,480684,888790,458673,341008,201226,139782,0,43492,7513382,983155,855714,8778
2023:Q2,9443712,133506,88012,5368,3967410,29324,182125,263045,194982,3297934,978791,174450,804341,-317,689315,37224,8373,1503700,302109,529628,140670,1059923,0,37998,85578,936347,9538165,9181755,38074,135537,5930,2463725,4078647,417953,5710,2036179,0,178315,482577,899834,475453,356410,211742,144668,0,41355,7658010,996453,902050,6762
2023:Q3,9260577,121241,84782,5644,3811897,30372,172429,257777,184302,3167017,992621,175706,816915,-255,657623,40472,8733,1423489,313507,552264,142707,1105852,0,38687,85517,981648,9500704,9144490,38051,138282,5716,2450011,4018428,441249,6602,2046151,0,182299,483951,892776,487125,356214,225002,131212,0,40342,7579321,1000793,946954,4743
2023:Q4,9713501,143275,102572,5644,4013941,30917,180916,265078,192503,3344527,997628,172993,824635,-160,697475,40786,8832,1533449,324906,575004,144746,1125403,0,39372,85457,1000574,9774895,9395190,36063,138125,5293,2468195,4162006,464642,7171,2113695,0,183479,488432,917523,524261,379705,241489,138216,0,40568,7767041,1020016,993867,2724
2024:Q1,9900243,146763,95852,5726,4057043,31556,183761,269920,189066,3382740,1013309,176670,836639,-53,727039,41080,9329,1605021,328827,583757,149082,1137468,0,40964,86888,1009616,10056951,9633884,36609,143290,4119,2510656,4273037,477103,7746,2181324,0,197673,497752,935501,550398,423067,270165,152902,0,42640,7957607,1038577,1008604,2763
