1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q2,198453,23836,-507,0,3874,310,852,2712,1970,0,0,98868,0,70412,66956,3456,145372,96206,0,87546,45904,41642,0,0,8660,3646,5014,49166,49166,0
1984:Q3,213032,20548,1252,0,4600,368,1012,3220,2400,0,0,113583,0,70649,66417,4232,159731,101000,0,88778,43025,45753,0,0,12222,5247,6975,58731,58731,0
1984:Q4,227017,20690,-741,0,5345,428,1176,3741,2797,0,0,124687,0,74239,69964,4275,167898,105183,0,96289,44140,52149,0,0,8894,4632,4262,62715,62715,0
1985:Q1,231967,22223,-2173,0,5900,472,1298,4130,2800,0,0,125314,0,77903,73686,4217,179026,109000,0,99512,45638,53874,0,0,9488,5126,4362,70026,70026,0
1985:Q2,238162,21080,-937,0,6528,522,1436,4570,2915,0,0,128322,0,80254,76216,4038,195337,112373,0,102811,45596,57215,0,0,9562,4671,4891,82964,82964,0
1985:Q3,247971,17499,2651,0,8100,648,1782,5670,2500,0,0,136660,0,80561,76840,3721,192674,118000,0,108260,45557,62703,0,0,9740,3897,5843,74674,74674,0
1985:Q4,259463,20068,151,0,9710,777,2136,6797,2127,0,0,141268,0,86139,81976,4163,216621,123236,0,115158,46380,68778,0,0,8078,3506,4572,93385,93385,0
1986:Q1,263939,15258,3742,0,8800,704,1936,6160,2000,0,0,148975,0,85164,79026,6138,243405,129000,0,110538,38361,72177,0,0,18462,3923,14539,114405,114405,0
1986:Q2,287191,16542,3229,0,8037,643,1768,5626,2247,0,0,174895,0,82241,74310,7931,255925,139436,0,126260,45439,80821,0,0,13176,4026,9150,116489,116445,44
1986:Q3,296069,18119,2037,0,8376,670,1843,5863,2802,0,0,178937,0,85798,77872,7926,249084,144838,0,131499,45183,86316,0,0,13339,4043,9296,104246,104202,44
1986:Q4,305224,19993,465,0,7910,633,1740,5537,3825,0,0,184019,0,89012,82056,6956,272117,150809,0,136561,50782,85779,0,0,14248,4709,9539,121308,121272,36
1987:Q1,317997,23060,-257,0,8624,690,1897,6037,4430,0,0,188930,0,93210,85125,8085,294351,159566,0,144990,54679,90311,0,0,14576,4582,9994,134785,134750,35
1987:Q2,307470,19519,2248,0,9122,730,2007,6385,4535,0,0,177728,0,94318,86724,7594,294162,161959,0,147775,53864,93911,0,0,14184,4029,10155,132203,132168,35
