1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q2,41705,2653,20330,5567,9809,5207,-54,4656,0,3346,-401,3747,0,41705,0,27576,13476,554,99
1995:Q3,17078,2575,10045,3160,1825,933,-31,923,0,-527,152,-679,0,17078,0,10808,5728,443,99
1995:Q4,21260,6790,16144,294,-3762,-1592,38,-2208,0,1794,236,1558,0,21260,0,13567,7071,523,99
1996:Q1,18780,-6964,11045,3588,10217,8848,38,1331,0,894,-498,1392,0,18780,0,13349,4767,516,148
1996:Q2,24459,6552,9219,8368,-2510,-500,53,-2063,0,2830,1081,1749,0,24459,0,14015,9838,516,90
1996:Q3,30342,2628,17407,13196,-2981,-1659,64,-1386,0,92,122,-29,0,30342,0,19251,10679,329,83
1996:Q4,20584,-5531,8702,4043,10897,5786,36,5075,0,2473,-229,2702,0,20584,0,13009,7418,75,82
1997:Q1,39482,8340,20072,12442,-2113,-3386,47,1226,0,741,-975,1716,0,39482,0,32650,6744,85,3
1997:Q2,39748,4023,15415,13967,2176,1622,179,375,0,4167,49,4119,0,39748,0,28007,11251,387,103
1997:Q3,8154,-13460,7986,8056,5294,4140,48,1106,0,278,123,155,0,8154,0,14916,-7139,307,70
1997:Q4,47077,12166,20788,12275,-3087,-3939,416,436,0,4935,58,4877,0,47077,0,35375,11535,105,62
1998:Q1,22618,3586,13734,950,1835,-1466,372,2929,0,2513,310,2203,0,22618,0,24839,-2192,-48,19
1998:Q2,48910,-2129,30873,12064,7194,5879,232,1083,0,908,248,660,0,48910,0,45693,2621,540,56
1998:Q3,30576,3879,29858,7521,-11768,-6223,507,-6052,0,1086,-225,1312,0,30576,0,27204,3064,244,64
1998:Q4,32917,6234,21059,4995,-1938,-1211,9,-736,0,2567,1110,1457,0,32917,0,38931,-6435,127,294
1999:Q1,7555,-2345,5824,11086,-6589,-4242,-342,-2005,0,-421,107,-528,0,7555,0,24654,-16605,-508,14
