1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,1789615,577329,1212286,177315,48815,45534,3281,0,2365,0,0,916,74568,290435,281568,8867,0,1363,0,0,7504,621153,146184,1643431,2.727682065995533,4.026690973255207,16.228912031904386,23.95763582540974
1956:Q2,1805172,588163,1217009,178870,50121,46872,3249,0,2423,0,0,826,74829,281479,272443,9036,0,1348,0,0,7688,631710,151445,1653727,2.7765216949461378,4.118374510527607,15.592916146360682,23.12874720873088
1956:Q3,1827057,599569,1227488,183163,52124,48602,3522,0,2497,0,0,1025,75081,276108,267405,8703,0,1342,0,0,7361,641012,154832,1672225,2.852894744520039,4.24639748387994,15.112176005677593,22.49375175502882
1956:Q4,1869847,608073,1261774,187101,52704,49060,3644,0,2593,0,0,1051,75344,297054,287754,9300,0,1413,0,0,7887,649571,159599,1710248,2.8186269911561617,4.176977662541952,15.886544137653736,23.542575944306638
1957:Q1,1884166,619052,1265114,189263,55381,51600,3781,0,2687,0,0,1094,75288,283505,274211,9294,0,1403,0,0,7891,661677,160760,1723406,2.939284497190224,4.377550064119229,15.046710087862525,22.409442424804933
1957:Q2,1926428,630622,1295806,190649,56573,52610,3963,0,2772,0,0,1191,75287,300531,290571,9960,0,1590,0,0,8370,672766,165827,1760601,2.9366783858891368,4.365853539365723,15.60042585667453,23.19258886817245
1957:Q3,1927846,639377,1288469,195175,58986,54976,4010,0,2844,0,0,1166,75328,274196,264952,9244,0,1528,0,0,7716,684785,168970,1758876,3.0596835827014695,4.57798995470937,14.222917296348491,21.280753630039168
1957:Q4,1947673,643776,1303897,198138,59808,55721,4087,0,2907,0,0,1180,75453,275271,266362,8909,0,1498,0,0,7411,695227,172075,1775598,3.0707416604071063,4.586866086068881,14.133328778790874,21.111410085243897
1958:Q1,1980193,644343,1335850,201524,60448,56176,4272,0,2974,0,0,1298,76047,290157,280533,9624,0,1612,0,0,8012,707675,171210,1808983,3.052631490079274,4.525058405534359,14.652964453198317,21.720774413953034
1958:Q2,2011060,650043,1361017,202122,58962,54438,4524,0,3046,0,0,1478,76774,305719,294974,10745,0,1796,0,0,8949,717440,174780,1836280,2.931886225231099,4.332200617659261,15.201881294586789,22.46253588124846
1958:Q3,2068831,660430,1408401,210487,57572,52971,4601,0,3124,0,0,1477,77310,336010,323831,12179,0,2037,0,0,10142,727022,178356,1890475,2.7828274100622004,4.087755853900009,16.24153821397554,23.857549580854272
