1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q3,477658,589,3559,0,0,133641,0,19999,18052,3921,91669,10597,41618,0,287654,287601,53,478595
1980:Q4,483232,603,3684,0,0,136284,0,20927,19083,4059,92215,10890,44300,0,287471,287401,70,484242
1981:Q1,500043,784,4107,0,0,139477,0,22432,20201,3920,92924,11166,45689,0,298820,298732,88,501132
1981:Q2,516857,716,3761,0,0,146259,0,24531,20948,3995,96785,11602,46506,0,308013,307908,105,518022
1981:Q3,533674,743,4296,0,0,149946,0,25215,22121,3859,98751,12200,43646,0,322843,322720,123,534912
1981:Q4,550478,624,3813,0,0,156449,0,27564,24250,3856,100779,12519,47800,0,329273,329132,141,551803
1982:Q1,566964,652,3972,0,0,162435,0,29545,27237,3651,102002,12990,45088,0,341827,341656,171,568362
1982:Q2,583467,760,4610,0,0,168574,0,32417,27893,3848,104416,13226,44136,0,352161,351959,202,584921
1982:Q3,599980,836,5083,0,0,174283,0,35849,31339,3550,103545,13667,50162,0,355949,355716,233,601479
1982:Q4,616507,981,5992,0,0,176919,0,36898,34310,3131,102580,13773,60200,0,358642,358378,264,618038
1983:Q1,628735,1202,7350,0,164,180066,164,39812,35339,2363,102388,13983,68737,0,357233,356934,299,630347
1983:Q2,640960,1226,7757,0,406,184530,406,43672,36156,2483,101813,14099,81807,0,351135,350784,351,642656
1983:Q3,653168,1161,7305,0,695,182817,695,46278,36406,2423,97015,14149,87559,0,359482,359060,422,654964
1983:Q4,665372,1400,8785,0,1000,184170,1000,48910,39252,2000,93008,14651,89641,0,365725,365216,509,667272
1984:Q1,679481,1623,10104,0,1321,190729,1321,54561,40192,2151,92504,14726,88715,0,372263,371789,474,681521
1984:Q2,693562,1790,11093,0,1657,201352,1657,59177,38801,2264,99453,14935,87637,0,375098,374659,439,695770
1984:Q3,707645,2003,12727,0,2040,209169,2040,64331,39492,2068,101238,14961,96406,0,370339,369917,422,710019
1984:Q4,721723,1999,11960,0,2500,217912,2500,67914,43308,1534,102656,15255,96514,0,375583,375214,369,724268
1985:Q1,737357,2339,14085,0,3039,217234,3039,73822,43495,1550,95328,15319,105957,0,379384,378998,386,740111
1985:Q2,753002,2886,14614,0,3656,222794,3656,77190,40841,1278,99829,15345,111742,0,381965,381561,404,755953
1985:Q3,768643,2496,14149,0,4320,231312,4320,79910,41556,1225,104301,15321,105134,0,395911,395471,440,771796
1985:Q4,784278,2351,13327,1427,5000,237054,5000,85383,38124,1128,107419,15309,120071,6773,382966,382476,490,787639
1986:Q1,802623,2300,14072,1494,5714,243096,5714,95028,34901,938,106515,15400,135544,7353,377650,377061,589,806205
1986:Q2,820980,2200,14183,1480,6480,250530,6480,98507,36024,1196,108323,15197,147760,6799,376351,375671,680,824771
1986:Q3,839351,2499,11595,1587,7355,263318,7355,104604,37905,1035,112419,15364,140408,5803,391422,390751,671,843337
1986:Q4,857719,3082,9891,1725,8270,281535,8270,115329,38147,709,119080,15550,150215,5545,381906,381204,702,861903
1987:Q1,874742,3709,7403,1757,9211,293098,9211,122815,39917,553,120602,15333,184755,7522,351954,351184,770,879229
1987:Q2,891756,4301,5753,1885,10170,299182,10170,129503,41311,606,117592,15228,196669,9277,349291,348526,765,896555
1987:Q3,908818,4712,5019,1937,10929,303473,10929,135414,42927,647,113556,15408,210476,10894,345970,345351,619,913882
1987:Q4,925869,4844,5216,2015,11272,313435,11272,138866,42961,808,119528,15331,170087,9098,394571,394000,571,931208
1988:Q1,944161,4852,5761,2112,11247,317490,11247,143570,40327,667,121679,15448,188043,9065,390143,389616,527,949802
1988:Q2,962443,5095,5865,2270,10900,325603,10900,142940,39568,742,131453,15637,196898,8870,391305,390822,483,968396
1988:Q3,980787,4736,6488,2326,10468,330853,10468,148740,39557,622,131466,15586,204078,7832,398420,397908,512,986989
1988:Q4,999128,4410,7116,2329,10183,334934,10183,150659,35347,533,138212,15603,212634,7448,404471,402354,2117,1005582
1989:Q1,1045434,3685,8123,2428,10320,345503,10320,151057,37920,467,145739,15132,225318,7371,427554,424821,2733,1052270
1989:Q2,1091736,3593,8418,2599,10353,356190,10353,151664,43928,403,149842,15118,251759,7614,436092,432173,3919,1098958
1989:Q3,1138052,3298,8850,2610,10526,361431,10526,153198,47393,336,149978,15295,270927,8029,457086,451886,5200,1145646
1989:Q4,1184368,3171,9060,2791,9703,366167,9703,152396,51203,268,152597,15299,277832,7780,492565,486296,6269,1192334
1990:Q1,1216750,3790,8479,2929,9969,382642,9969,162764,54214,479,155216,15181,267614,7257,518889,512280,6609,1225547
1990:Q2,1248894,4318,7953,2813,11410,389877,11410,168301,56085,486,153595,15243,282130,8380,526770,518941,7829,1258760
1990:Q3,1281157,4716,7802,2738,11820,392299,11820,170147,61255,245,148832,15311,250979,6961,588531,580906,7625,1291973
1990:Q4,1313259,4974,7701,2791,12233,385928,12233,168235,62851,473,142136,16061,284569,7772,591230,583399,7831,1325185
1991:Q1,1348241,4366,14658,2722,13785,390515,13785,177144,62935,364,136287,16562,327145,9730,568758,564848,3910,1361012
1991:Q2,1382981,4640,12230,2804,16515,394449,16515,178753,64651,487,134043,16322,328790,10273,596958,592195,4763,1396839
1991:Q3,1417840,3038,9902,3006,20870,391528,20870,163948,64551,549,141610,16675,357453,12235,603133,598101,5032,1432665
1991:Q4,1452538,3807,8828,2950,18868,387730,18868,165494,58038,619,144711,16886,394962,13102,605405,600784,4621,1468491
1992:Q1,1518990,3960,8406,2970,19299,397418,19299,171904,55408,554,150253,16173,388418,14241,668105,663367,4738,1535766
1992:Q2,1585205,4435,8358,2979,20685,402636,20685,177959,49236,534,154222,17066,391220,15673,722153,717412,4741,1603041
1992:Q3,1650894,6409,7910,3090,23573,419036,23573,197677,48036,378,149372,16306,400848,15615,758107,754070,4037,1670316
1992:Q4,1716738,6515,6942,3106,24680,425302,24680,203534,39761,445,156882,16453,431666,17915,784159,779615,4544,1737592
1993:Q1,1746640,5836,7591,3446,25219,424066,25219,204950,32740,460,160697,15645,463983,19457,781397,776760,4637,1768643
1993:Q2,1776016,6129,8601,3766,26344,435798,26344,211378,32078,617,165381,14506,465277,21158,794437,789712,4725,1799694
1993:Q3,1806713,5460,8554,3789,19887,452871,19887,221833,34149,1222,175780,15055,487775,23455,789867,785565,4302,1830745
1993:Q4,1837246,6619,6230,4124,20449,454083,20449,217450,35796,1371,179017,14529,506221,25631,799360,795251,4109,1861796
1994:Q1,1871903,5476,5869,4512,20399,459417,20399,224335,40588,716,173379,14637,492220,26468,842905,839083,3822,1896514
1994:Q2,1906166,5794,5520,4763,22909,458923,22909,220641,45014,845,169514,14941,494757,27578,870981,866907,4074,1931232
