1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q1,-13783,-15662,1160,-16822,-1224,3103,-13783,-19992,1074,-577,-391,-13615,0,34,-78,-951,315,1,-1000,-5973,29435,462,1136,-89,-4736,0,1162
2019:Q2,-14036,-17833,-2610,-15223,-76,3873,-14036,-21613,1087,-540,-483,-16511,0,-21,-132,-2894,-946,0,0,-746,24782,-203,2328,-231,1649,0,438
2019:Q3,-1938,-3028,3502,-6530,-378,1468,-1938,-26110,1173,-503,-139,-1283,0,-76,-334,-703,-233,-3,0,-5425,24644,1342,2855,-257,1833,0,1281
2019:Q4,42228,35263,4737,30526,-591,7556,42228,6381,1455,-451,117,1901,0,1,990,-153,-65,2,0,3991,26960,73,3803,-33,-3906,0,1162
2020:Q1,6940,6487,-1800,8287,-2843,3296,6940,10727,-2112,250,24,27659,0,24,894,-319,-2114,-8,0,-3865,-21995,115,980,-46,-2500,0,-774
2020:Q2,21707,22310,-1872,24182,-2272,1669,21707,-14585,-2091,115,981,11327,0,-25,954,544,-1011,2,0,8943,13189,-43,3594,-172,-5282,1200,4067
2020:Q3,36280,36087,3686,32401,-1320,1513,36280,-5266,-2054,163,340,11660,0,-157,1194,1953,-353,-7,0,-14327,36950,-11,3619,-46,1682,451,489
2020:Q4,23818,27986,1711,26275,-3248,-920,23818,-16861,-2185,130,134,18336,0,-924,1329,808,-531,2,0,-4768,21552,-377,5517,-242,-3801,4632,1067
2021:Q1,26531,24505,-3437,27942,569,1457,26531,-22998,2786,72,1034,13712,0,1,895,-629,-85,2,0,-8477,30940,366,5308,-50,2140,-225,1739
2021:Q2,23292,18298,-6295,24593,1,4993,23292,-28349,2801,-25,527,13574,0,-1,505,-621,-345,1,0,-4438,33323,285,5976,-84,1765,-1287,-315
2021:Q3,18716,17188,-6011,23199,-978,2506,18716,-29393,2837,87,1188,11609,0,-11,674,-128,1096,-11,0,-6219,31201,52,4600,-147,1492,-398,187
2021:Q4,10453,8492,2081,6411,-660,2621,10453,-32096,2766,15,1063,14134,0,0,225,240,464,1,0,4567,13978,36,4675,-77,592,-242,112
2022:Q1,-17271,-23522,-5826,-17696,2071,4180,-17271,-28517,1189,473,1384,8807,0,5,509,2713,1486,1,0,2551,-13632,108,4747,-10,-750,-1224,2889
2022:Q2,4281,3593,-3782,7375,-2514,3202,4281,25692,1198,259,1498,11594,0,4,161,265,2887,-2,0,3877,-51762,-30,9331,-148,-446,0,-97
2022:Q3,-15712,-9239,1623,-10862,-757,-5716,-15712,-1571,1040,244,1678,-2472,0,-9,-105,-4081,1517,-3,0,-4158,-13645,-457,218,-10,5092,0,1010
2022:Q4,-22933,-22272,520,-22792,271,-932,-22933,30584,844,-78,1862,-13139,0,-1,-512,-6643,-865,0,0,4759,-51858,41,14989,-67,-3229,0,381
2023:Q1,4246,3945,-860,4805,73,228,4246,33813,-7,-70,2016,-22611,0,-2,-26,-8275,-1359,0,0,-3538,5059,255,-673,1,-1298,0,961
2023:Q2,15991,11061,-949,12010,2249,2681,15991,22609,153,81,2202,-18624,0,-1,-168,-7491,-3022,1,0,6664,4859,-149,2548,-64,4662,0,1731
2023:Q3,-10336,-7273,2800,-10073,41,-3104,-10336,8055,30,242,-2136,-12103,0,0,149,-8021,-1315,-5,0,425,-2035,-99,4638,-15,228,0,1626
2023:Q4,11458,12943,458,12485,-276,-1209,11458,36710,-83,-345,-2459,-11279,0,31,-405,-5551,-4109,0,0,8166,-12571,-714,8291,133,-2600,-2907,1150
2024:Q1,24308,17009,951,16058,2388,4911,24308,23752,19,73,1898,-13443,0,8,689,-5714,-1429,1,0,-1736,17188,-26,612,69,2062,0,285
