1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,279503,104991,174512,279503,22339,5947,1133,25424,73784,32761,41023,69722,352,558,641,2734,0,2734,3824,0,3824,3725,2794,931,0,0,0,3687,0,0,0,481,0,481,702,0,935,0,1365,0,0,62150,37971,24179,0,91741
1973:Q2,272356,100061,172295,272356,22369,4759,1161,25889,74952,34247,40705,65666,396,473,690,2674,0,2674,3572,0,3572,4011,3008,1003,0,0,0,3460,0,0,0,562,0,562,740,0,337,0,1430,0,0,59215,34951,24264,0,94980
1973:Q3,270401,99762,170639,270401,27179,1923,1176,26152,75224,34100,41124,61875,429,521,740,2738,0,2738,3466,0,3466,4711,3533,1178,0,0,0,3028,0,0,0,682,0,682,774,0,448,0,1889,0,0,57446,33698,23748,0,95078
1973:Q4,276350,107786,168564,276350,28126,2482,1183,26065,78458,36897,41561,65168,449,570,777,2837,0,2837,3444,0,3444,5379,4034,1345,0,0,0,2508,0,0,0,660,0,660,788,0,1145,0,2008,0,0,54303,31866,22437,0,95853
1974:Q1,278582,111859,166723,278582,34857,968,1199,26102,77929,36400,41529,64256,442,445,798,2765,0,2765,3596,0,3596,6109,4582,1527,0,0,0,1840,2,0,2,859,0,859,784,0,1124,0,971,0,0,53536,31483,22053,0,96234
1974:Q2,271853,105019,166834,271853,28899,1492,1214,25809,80284,37274,43010,58675,465,421,802,2560,0,2560,3349,0,3349,6912,5184,1728,0,0,0,1886,5,0,5,495,0,495,760,0,756,0,827,0,0,56242,34008,22234,0,100846
1974:Q3,251769,111099,140670,251769,7251,1981,1226,26258,80353,34100,46253,56313,416,400,811,2525,0,2525,3327,0,3327,8235,6176,2059,1501,1501,0,1515,20,0,20,826,0,826,732,0,819,0,1723,0,0,55537,33473,22064,0,124622
1974:Q4,261883,119746,142137,261883,7806,2613,1238,26523,80058,36765,43293,60167,503,346,848,2860,0,2860,3372,0,3372,8559,6419,2140,1501,1501,0,1585,112,0,112,1109,0,1109,716,0,1441,0,2256,0,0,58270,35190,23080,0,125184
1975:Q1,278231,123972,154259,278231,3257,6488,1228,26991,82034,36087,45947,65550,439,375,912,3170,0,3170,3585,0,3585,9623,7217,2406,0,0,0,1559,244,0,244,785,0,785,710,0,4248,0,2713,0,0,64320,40093,24227,0,128562
1975:Q2,294758,128569,166189,294758,5750,8123,1226,26734,83949,37172,46777,75203,426,395,1004,3509,0,3509,3712,0,3712,10516,7887,2629,0,0,0,2215,291,0,291,949,0,949,710,0,3523,0,1813,0,0,64710,38278,26432,0,133983
1975:Q3,319044,142803,176241,319044,15454,9192,1243,27183,86474,35422,51052,84227,436,408,1100,3995,0,3995,3821,0,3821,11896,8922,2974,0,0,0,2548,596,0,596,1493,0,1493,713,0,3024,0,1254,0,0,63987,36642,27345,0,132119
1975:Q4,343752,157483,186269,343752,20583,14264,1274,27783,86717,37207,49510,94063,610,417,1177,4720,0,4720,4736,0,4736,12396,9297,3099,38,38,0,2540,927,0,927,1066,0,1066,716,0,2935,0,1152,120,0,65518,37436,28082,0,133227
1976:Q1,365380,163140,202240,365380,18383,19259,1249,30610,87293,36731,50562,100744,705,375,1232,5460,0,5460,5072,0,5072,13613,10210,3403,74,74,0,3058,1201,0,1201,1435,0,1435,724,0,4093,0,2719,128,0,67953,37571,30382,0,134652
1976:Q2,372629,161198,211431,372629,14604,20432,1258,31077,90575,38729,51846,103706,861,346,1275,5750,0,5750,4956,0,4956,15211,11408,3803,96,96,0,3632,832,0,832,1196,0,1196,741,0,3847,0,2571,136,0,69527,38257,31270,0,142978
