1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q4,-232,5501,0,-2128,0,3916,2416,0,1500,0,0,0,3713,0,5733,3386,56,3512,-3456,0,0,0,0,3330,-12074,15404,2347,0,2347,0,0
1995:Q1,-510,14996,0,3463,0,-3017,-3017,0,0,0,0,0,14550,0,15506,21079,19050,5877,13173,0,0,0,0,2029,11842,-9813,-5573,0,-5573,0,0
1995:Q2,-541,225,0,3124,0,-7711,-9711,0,2000,0,0,0,4812,0,766,5586,9507,3979,5528,0,0,0,0,-3921,-18823,14902,-4820,0,-4820,0,0
1995:Q3,-429,15063,0,2827,0,5836,1836,0,4000,0,0,0,6400,0,15492,19759,11489,7381,4108,0,0,0,0,8270,-2762,11032,-4267,0,-4267,0,0
1995:Q4,-178,-5378,0,4177,0,-8522,-12272,0,3750,0,218,0,-1251,0,-5200,-9650,-5704,-7292,1588,0,0,0,0,-3946,4249,-8195,4450,0,4450,0,0
1996:Q1,-675,41306,0,5588,0,21536,18005,0,3531,0,366,0,13816,0,41981,40448,11178,-6608,17786,0,0,0,0,29270,26398,2872,1533,0,1533,0,0
1996:Q2,-765,10294,0,2320,0,-3700,-7419,0,3719,0,366,0,11308,0,11059,20113,22083,18684,3399,0,0,0,0,-1970,6888,-8858,-9054,0,-9054,0,0
1996:Q3,-291,28759,0,2670,0,12093,7780,0,4313,0,368,0,13628,0,29050,23850,10373,7137,3236,0,0,0,0,13477,15788,-2311,5200,0,5200,0,0
1996:Q4,194,13616,0,5456,0,-17516,-18751,0,1235,0,-812,0,26488,0,13422,8159,24395,19595,4800,0,0,0,0,-16236,10814,-27050,5263,0,5263,0,0
1997:Q1,-810,48120,0,4436,0,14359,16348,0,-1989,0,266,0,29059,0,48930,55283,34023,22601,11422,0,0,0,0,21260,15292,5968,-6353,0,-6353,0,0
1997:Q2,-7,-624,0,1813,0,648,-368,0,1016,0,266,0,-3351,0,-617,3675,1967,2695,-728,0,0,0,0,1708,45897,-44189,-4292,0,-4292,0,0
1997:Q3,392,43262,0,5613,0,17431,17862,0,-431,0,265,0,19953,0,42870,50017,32916,20044,12872,0,0,0,0,17101,-2997,20098,-7147,0,-7147,0,0
1997:Q4,157,34031,0,6667,0,23405,25422,0,-2017,0,265,0,3694,0,33874,37685,10146,3148,6998,0,0,0,0,27539,-982,28521,-3811,0,-3811,0,0
1998:Q1,-416,47285,0,6495,0,9013,12540,0,-3527,0,179,0,31598,0,47701,52137,37695,19768,17927,0,0,0,0,14442,20829,-6387,-4436,0,-4436,0,0
1998:Q2,-689,14870,0,-760,0,19260,12330,0,6930,0,293,0,-3923,0,15559,12007,-1249,-7419,6170,0,0,0,0,13256,28448,-15193,3552,0,3552,0,0
1998:Q3,-545,16635,0,2718,0,-3688,-6146,0,2458,0,184,0,17421,0,17180,4358,7210,-50,7260,0,0,0,0,-2852,35070,-37922,12822,0,12822,0,0
1998:Q4,-589,-9413,0,4890,0,-16639,-15245,0,-1394,0,191,0,2145,0,-8824,-18521,-3685,-6318,2633,0,0,0,0,-14836,-14366,-470,9697,0,9697,0,0
1999:Q1,-4708,57682,0,7602,0,12393,20237,0,-7844,0,296,0,37391,0,62390,45092,44520,8480,36040,0,0,0,0,572,-43306,43878,17298,0,17298,0,0
1999:Q2,-3940,42131,0,3111,0,33480,26021,0,7459,0,948,0,4592,0,46070,21538,-9592,-20670,11078,0,0,0,0,31130,15396,15734,24532,0,24532,0,0
1999:Q3,-3289,9390,0,2100,0,-9438,-2076,0,-7362,0,736,0,15992,0,12680,-3041,12080,13459,-1379,0,0,0,0,-15121,21890,-37011,15721,0,15721,0,0
1999:Q4,-2579,112153,0,17909,0,83288,79364,0,3924,0,525,0,10431,0,114733,121249,44586,32944,11642,0,0,0,0,76663,22300,54363,-6516,0,-6516,0,0
2000:Q1,-4661,31779,94,8672,63,2513,12475,26,-9988,0,1331,0,19071,35,36440,22464,3314,7706,-4392,51,0,51,0,19099,7807,11292,13976,0,13976,0,0
2000:Q2,-5046,69201,0,-3942,0,64072,56726,0,7346,0,2507,0,6564,0,74247,74022,8515,2568,5947,0,0,0,0,65507,25752,39755,225,0,225,0,0
2000:Q3,-4456,-27090,0,5821,0,-33212,-26002,0,-7210,0,-1335,0,1636,0,-22635,-22864,-7746,-5338,-2408,0,0,0,0,-15118,3782,-18900,229,0,229,0,0
2000:Q4,-4222,25385,331,8496,96,-6321,-9386,2065,1000,0,3252,0,19426,105,29607,28987,-5671,-8466,2795,2216,0,2216,0,32442,35233,-2792,620,0,620,0,0
2001:Q1,-508,76022,0,19668,0,38765,18331,753,19681,0,406,0,17183,0,76530,75606,19921,8513,11408,753,0,753,0,54932,-21582,76514,924,0,924,0,0
2001:Q2,-294,-74839,0,6639,0,-67144,-72313,497,4672,0,-1098,0,-13236,0,-74545,-74685,-40640,-47210,6570,497,0,497,0,-34542,56826,-91368,140,0,140,0,0
2001:Q3,125,-85656,0,4720,0,-57993,-68085,-796,10888,0,-5392,0,-26991,0,-85781,-85881,-36303,-35056,-1247,-796,0,-796,0,-48782,11793,-60575,100,0,100,0,0
2001:Q4,-539,102284,-1013,19009,36,69351,56023,2720,10608,0,5470,0,9491,-60,102823,102867,23727,18258,5469,2657,0,2657,0,76483,14656,61827,-44,0,-44,0,0
2002:Q1,416,-11194,0,-6095,0,-25653,-37355,150,11552,0,9263,0,11291,0,-11610,-11722,3959,-18456,22415,150,0,150,0,-15831,12539,-28370,112,0,112,0,0
2002:Q2,64,-62188,0,-8769,0,-66084,-54656,891,-12319,0,-2846,0,15511,0,-62252,-62167,-18527,-17123,-1404,891,0,891,0,-44531,14954,-59485,-85,0,-85,0,0
2002:Q3,-916,21754,0,-8176,0,44335,47101,-34,-2732,0,-3774,0,-10631,0,22670,22626,-15581,-15600,19,-34,0,-34,0,38241,241,38000,44,0,44,0,0
2002:Q4,-1874,-13799,148,6624,832,-47307,-37762,1309,-10854,0,3289,0,22577,38,-11925,-11504,19446,10008,9438,2776,0,2776,0,-33726,-18180,-15546,-421,0,-421,0,0
2003:Q1,-1577,64156,0,-14350,0,70700,54440,-14,16274,0,-458,0,8264,0,65733,65589,25105,22698,2407,-13,0,-13,0,40497,-4167,44664,144,0,144,0,0
2003:Q2,-144,33065,0,15415,0,15296,3756,154,11386,0,7634,0,-5280,0,33209,33234,-37675,-45010,7335,154,0,154,0,70755,61339,9416,-25,0,-25,0,0
2003:Q3,-235,2227,0,-1275,0,19876,5768,59,14049,0,-10063,0,-6311,0,2462,2458,-14801,-15564,763,59,0,59,0,17200,34188,-16988,4,0,4,0,0
2003:Q4,-1229,23657,-32,-6369,-185,9482,-3017,-724,13223,0,-764,0,21480,45,24886,24784,24220,19346,4874,-1141,0,-1141,0,1705,6340,-4635,102,0,102,0,0
2004:Q1,-1815,29831,0,-23345,0,23487,30893,-22,-7384,0,-2445,0,32134,0,31646,31488,15580,10265,5315,-23,0,-23,0,15931,60936,-45005,158,0,158,0,0
2004:Q2,-2204,13857,0,10484,0,31775,43236,-782,-10679,0,1679,0,-30081,0,16061,16071,-23188,-20772,-2416,-781,0,-781,0,40040,30,40010,-10,0,-10,0,0
2004:Q3,-1742,1640,0,-18905,0,14289,9504,-433,5218,0,-2662,0,8918,0,3382,3383,-11970,-8408,-3562,-433,0,-433,0,15786,11834,3952,-1,0,-1,0,0
2004:Q4,2470,114747,53,6911,31,75348,77375,-372,-1655,0,1852,0,30511,41,112277,112148,16633,3746,12887,-316,0,-316,0,95831,24312,71519,129,0,129,0,0
2005:Q1,2083,55517,-202,-1477,0,48526,36162,285,12079,0,-673,0,9299,44,53434,53260,31648,27920,3728,301,0,301,0,21311,-621,21932,174,0,174,0,0
2005:Q2,-3172,49801,-9,6832,0,1806,14496,-109,-12581,0,10843,0,30365,-36,52972,52925,52962,44968,7994,-118,0,-118,0,81,110764,-110683,47,0,47,0,0
2005:Q3,1990,20424,258,15555,0,5308,18493,91,-13276,0,-4713,0,3989,27,18434,18430,-4209,-3734,-475,97,0,97,0,22542,82378,-59836,4,0,4,0,0
2005:Q4,-2533,36603,107,21354,117,-195,13458,1943,-15596,0,-1290,0,16547,-37,39135,38775,24344,7998,16346,2167,0,2167,0,12264,-47044,59308,360,0,360,0,0
2006:Q1,-415,96445,1258,-1460,0,65443,57922,-7,7528,0,1734,0,29417,53,96859,96583,23484,21400,2084,-13,0,-13,0,73112,60825,12287,276,0,276,0,0
2006:Q2,1114,-19866,-96,-94,0,-21865,-11954,-48,-9863,0,-6953,0,9218,-76,-20980,-21129,8493,1589,6904,-47,0,-47,0,-29575,113343,-142918,149,0,149,0,0
2006:Q3,195,11822,-367,-1532,0,15530,9194,53,6283,0,1835,0,-3685,41,11628,11622,-15629,-17788,2159,49,0,49,0,27202,105406,-78204,6,0,6,0,0
2006:Q4,4638,37656,-642,4326,110,30037,38530,2551,-11044,0,8063,0,-4210,-28,33018,32840,9073,-1393,10466,2827,0,2827,0,20940,57685,-36745,178,0,178,0,0
2007:Q1,-569,56171,518,3540,0,11951,2336,405,9210,0,2577,0,37568,17,56740,56740,43206,46336,-3130,388,0,388,0,13146,134358,-121212,0,0,0,0,0
