1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5155,5155,0,0,5155,517,0,0,85,50,2949,0,26,77,1446,9,5,0,0,0,-9,0,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,14544,14544,0,0,14544,2700,0,0,-172,48,11856,0,40,400,656,140,180,-1272,0,0,-32,0,0,ND,ND,ND,ND,ND,ND
1963:Q2,16148,16148,0,0,16148,1204,0,0,-1320,24,15792,0,36,-24,676,140,184,-1560,0,0,996,0,0,ND,ND,ND,ND,ND,ND
1963:Q3,18504,18504,0,0,18504,244,0,0,-180,12,15944,0,32,296,780,148,192,-228,0,0,1264,0,0,ND,ND,ND,ND,ND,ND
1963:Q4,18000,18000,0,0,18000,700,0,0,184,16,14112,0,36,348,1716,176,200,-120,0,0,632,0,0,ND,ND,ND,ND,ND,ND
1964:Q1,17268,17268,0,0,17268,3612,0,0,-108,20,12680,0,40,16,972,244,216,-68,0,0,-356,0,0,ND,ND,ND,ND,ND,ND
1964:Q2,16460,16460,0,0,16460,-140,0,0,-400,16,14764,0,44,-232,944,264,216,-52,0,0,1036,0,0,ND,ND,ND,ND,ND,ND
1964:Q3,18004,18004,0,0,18004,1408,0,0,28,12,14536,0,48,228,912,236,228,-152,0,0,520,0,0,ND,ND,ND,ND,ND,ND
1964:Q4,17184,17184,0,0,17184,1744,0,0,76,12,12876,0,52,-140,1948,232,260,56,0,0,68,0,0,ND,ND,ND,ND,ND,ND
1965:Q1,16988,16988,0,0,16988,2836,0,0,-108,8,11436,0,64,556,1312,248,308,132,0,0,196,0,0,ND,ND,ND,ND,ND,ND
1965:Q2,15624,15624,0,0,15624,392,0,0,-384,4,13324,0,76,-12,668,452,344,120,0,0,640,0,0,ND,ND,ND,ND,ND,ND
1965:Q3,18184,18184,0,0,18184,216,0,0,-48,4,15200,0,76,-324,748,216,364,420,92,0,1220,0,0,ND,ND,ND,ND,ND,ND
1965:Q4,17660,17660,0,0,17660,1544,0,0,48,20,12960,0,60,-316,1528,148,364,1424,108,0,-228,0,0,ND,ND,ND,ND,ND,ND
1966:Q1,17184,17184,0,0,17184,224,0,0,380,36,11016,0,44,984,1040,204,372,3004,136,0,-256,0,0,ND,ND,ND,ND,ND,ND
1966:Q2,13188,13188,0,0,13188,392,0,0,504,56,9536,0,28,-196,708,124,400,1752,152,0,-268,0,0,ND,ND,ND,ND,ND,ND
1966:Q3,11672,11672,0,0,11672,1424,0,0,832,52,7496,0,24,-484,228,188,388,1476,264,0,-216,0,0,ND,ND,ND,ND,ND,ND
1966:Q4,9768,9768,0,0,9768,2176,0,0,832,32,5340,0,36,-272,600,340,332,1272,312,0,-1232,0,0,ND,ND,ND,ND,ND,ND
1967:Q1,9356,9356,0,0,9356,3572,0,0,600,8,3620,0,56,4,40,124,312,824,360,0,-164,0,0,ND,ND,ND,ND,ND,ND
1967:Q2,9020,9020,0,0,9020,-732,0,0,352,-12,8076,0,72,-28,-684,-44,316,-40,408,0,1336,0,0,ND,ND,ND,ND,ND,ND
1967:Q3,17616,17616,0,0,17616,1456,0,0,900,-16,13440,0,72,-12,-900,136,152,1604,372,0,412,0,0,ND,ND,ND,ND,ND,ND
1967:Q4,17440,17440,0,0,17440,1904,0,0,1012,-12,12544,0,52,-164,-336,36,152,2120,404,0,-272,0,0,ND,ND,ND,ND,ND,ND
1968:Q1,16580,16580,0,0,16580,4296,0,0,1072,4,9208,0,44,-260,-476,4,280,2564,436,0,-592,0,0,ND,ND,ND,ND,ND,ND
1968:Q2,15168,15168,0,0,15168,104,0,0,956,4,11356,0,32,-32,-776,-84,232,1832,468,0,1036,40,0,ND,ND,ND,ND,ND,ND
1968:Q3,17908,17908,0,0,17908,2084,4,0,936,12,14216,0,28,-128,-1008,28,-8,872,232,0,580,60,0,ND,ND,ND,ND,ND,ND
1968:Q4,18616,18616,0,0,18616,1544,0,0,644,20,14228,0,36,-12,-672,-24,152,1284,232,0,1148,36,0,ND,ND,ND,ND,ND,ND
1969:Q1,18472,18472,0,0,18472,1236,0,0,432,28,12612,0,32,-68,-404,16,124,2080,232,0,2092,60,0,ND,ND,ND,ND,ND,ND
1969:Q2,17072,17072,0,0,17072,-1916,4,0,108,36,14084,0,32,-308,-732,-24,28,1936,224,0,3468,132,0,ND,ND,ND,ND,ND,ND
1969:Q3,19032,19032,0,0,19032,1876,4,0,164,68,14544,0,32,-380,-976,108,-148,4572,512,0,-1520,176,0,ND,ND,ND,ND,ND,ND
1969:Q4,16240,16240,0,0,16240,5812,4,0,120,100,7516,0,32,-128,-3412,120,100,6484,532,0,-1372,332,0,ND,ND,ND,ND,ND,ND
1970:Q1,14964,12068,579,2317,14964,1116,12,0,4,144,4436,0,288,-1300,512,0,200,6108,612,0,2236,596,0,ND,ND,ND,ND,ND,ND
1970:Q2,6640,4500,428,1712,6640,-5208,8,0,-100,8,5752,0,60,56,-1316,-60,452,4248,656,0,1848,236,0,ND,ND,ND,ND,ND,ND
1970:Q3,12864,11624,248,992,12864,-1800,4,0,-176,16,10556,0,60,108,-1536,-92,-244,5500,1276,0,-1056,248,0,ND,ND,ND,ND,ND,332
1970:Q4,17868,16976,178,714,17868,792,8,0,-236,132,12444,0,72,116,-1300,-40,40,2620,2108,0,656,456,0,ND,ND,ND,ND,ND,336
1971:Q1,23948,21820,426,1702,23948,5608,4,400,-784,60,14500,0,84,-16,-1404,-196,-152,-932,4204,0,2320,252,0,ND,ND,ND,ND,ND,336
1971:Q2,20184,15840,869,3475,20184,-4708,8,500,-328,8,20256,0,296,32,-2244,-20,16,-168,5832,0,300,404,0,ND,ND,ND,ND,ND,332
1971:Q3,29640,26784,571,2285,29640,-2580,0,500,-340,44,27448,0,24,72,-2560,-412,-176,5844,2704,0,-812,-116,0,ND,ND,ND,ND,ND,336
1971:Q4,33408,31808,320,1280,33408,3304,4,500,-1024,264,23664,0,24,100,-2168,-544,664,3564,4000,0,892,164,0,ND,ND,ND,ND,ND,336
1972:Q1,36840,33808,606,2426,36840,5244,8,500,180,4,28476,0,16,32,-1888,-616,56,1260,3676,0,-504,396,0,ND,ND,ND,ND,ND,332
1972:Q2,31868,25672,1239,4957,31868,-7192,16,400,-256,288,34000,0,60,-40,-2208,-88,-148,2080,4180,0,-120,896,0,ND,ND,ND,ND,ND,340
1972:Q3,42460,35760,1340,5360,42460,-3112,0,400,-612,24,40196,0,20,492,-2740,-664,88,2100,3624,0,2772,-128,0,ND,ND,ND,ND,ND,332
1972:Q4,44712,41152,712,2848,44712,1692,8,400,-1848,140,38448,0,-8,128,-2484,-280,200,1956,4456,0,1400,504,0,ND,ND,ND,ND,ND,332
1973:Q1,45696,43392,461,1843,45696,8340,8,252,-800,128,35204,0,-168,536,-1832,-640,364,1900,2620,0,-592,376,0,ND,ND,ND,ND,ND,336
1973:Q2,40276,33056,1444,5776,40276,-6632,0,180,-3652,212,43728,0,-164,172,-2324,-136,32,2380,4576,0,1880,24,0,ND,ND,ND,ND,ND,332
1973:Q3,42920,36720,1240,4960,42920,-2856,28,0,2756,516,37248,0,192,752,-2136,-72,-72,5224,1688,0,-1708,1360,0,ND,ND,ND,ND,ND,340
1973:Q4,44152,44704,-110,-442,44152,3636,20,-132,-1384,1344,26916,0,196,304,-1264,-72,344,3996,2856,0,6528,864,0,ND,ND,ND,ND,ND,332
1974:Q1,42128,40412,343,1373,42128,9296,8,-4,-824,596,24228,0,-68,68,-1288,-24,156,868,6532,0,2024,560,0,ND,ND,ND,ND,ND,336
1974:Q2,35360,33968,278,1114,35360,-4228,0,-16,1956,496,30584,0,-72,-312,-2084,-44,-160,7236,2120,0,-80,-36,0,ND,ND,ND,ND,ND,332
1974:Q3,34680,38364,-737,-2947,34680,2556,-20,-44,228,388,22364,0,352,328,-1404,-16,32,8460,5412,0,-2952,-1004,0,ND,ND,ND,ND,ND,336
