date,LM263192305.Q,LM263192313.Q,LM263092313.Q,LM103092305.Q,LM763092305.Q,LM513092305.Q,LM543092375.Q,LM613092305.Q,LM663092305.Q,LM733092305.Q,LM103192305.Q,LM115114305.Q,LM753192305.Q,LM513192305.Q,LM543192375.Q,LM613192305.Q,LM663192305.Q,LM733192305.Q,LM503192305.Q,LM263092305.Q,LM263092323.Q,LM263192323.Q,LM263192005.Q,LM263092001.Q
1945:Q4,281,ND,ND,272,1,2,4,1,1,0,309,11,36,65,57,4,35,0,0,517,ND,ND,7227,2507
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,281,ND,ND,271,1,3,4,1,1,0,305,11,37,66,57,4,36,0,0,516,ND,ND,7227,2503
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,325,ND,ND,314,1,3,4,1,2,0,324,12,37,66,57,4,37,0,0,537,ND,ND,8366,2603
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,374,ND,ND,362,1,3,4,2,2,0,359,13,38,66,58,5,36,0,0,575,ND,ND,9625,2787
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q1,3618,ND,ND,3468,32,33,21,30,34,0,2327,60,80,140,122,10,36,0,0,2775,ND,ND,93028,13449
1971:Q2,3712,ND,ND,3556,34,35,21,31,35,0,2359,61,81,141,122,10,37,0,0,2811,ND,ND,95439,13624
1971:Q3,3804,ND,ND,3641,37,38,22,31,35,0,2292,62,83,141,123,11,39,0,0,2751,ND,ND,97825,13332
1971:Q4,4041,ND,ND,3873,39,40,22,31,36,0,2307,62,90,158,137,11,46,0,0,2811,ND,ND,103902,13622
1972:Q1,3930,ND,ND,3755,41,43,23,32,36,0,2260,63,91,158,138,11,47,0,0,2768,ND,ND,101047,13413
1972:Q2,3998,ND,ND,3817,44,46,23,32,36,0,2309,64,92,159,138,11,48,0,0,2821,ND,ND,102790,13670
1972:Q3,4083,ND,ND,3894,46,49,24,33,37,0,2386,65,93,159,138,12,48,0,0,2901,ND,ND,104982,14061
1972:Q4,4881,ND,ND,4685,49,53,24,33,37,0,2465,67,102,180,156,12,59,0,0,3041,ND,ND,125510,14737
1973:Q1,4271,ND,ND,4067,52,56,25,33,38,0,2659,72,103,181,157,12,54,0,0,3238,ND,ND,109828,15694
1973:Q2,4385,ND,ND,4173,55,60,25,34,38,0,2895,80,107,182,158,14,50,0,0,3486,ND,ND,112746,16895
1973:Q3,4465,ND,ND,4243,59,64,26,34,39,0,2992,86,111,183,160,15,49,0,0,3596,ND,ND,114821,17428
1973:Q4,4910,ND,ND,4679,62,69,27,34,39,0,3011,90,120,212,183,14,52,0,0,3682,ND,ND,126246,17845
1974:Q1,4877,ND,ND,4636,66,74,27,35,39,0,3383,98,124,196,185,15,49,0,0,4050,ND,ND,125396,19629
1974:Q2,4959,ND,ND,4707,70,79,28,35,40,0,3489,106,138,181,171,15,62,0,0,4162,ND,ND,127524,20168
1974:Q3,5133,ND,ND,4870,75,84,28,36,40,0,3814,114,153,165,158,15,75,0,0,4494,ND,ND,131984,21778
1974:Q4,5262,ND,ND,4987,79,90,29,36,41,0,3981,121,175,145,123,12,108,0,0,4665,ND,ND,135298,22606
1975:Q1,5422,ND,ND,5135,84,96,30,36,41,0,4005,120,190,154,131,11,111,0,0,4722,ND,ND,139407,22884
1975:Q2,5588,ND,ND,5287,89,103,30,37,42,0,4164,119,191,163,139,12,114,0,0,4902,ND,ND,143681,23754
1975:Q3,5646,ND,ND,5331,95,110,31,37,42,0,4161,118,192,172,147,12,117,0,0,4919,ND,ND,145176,23840
1975:Q4,5816,ND,ND,5484,101,118,32,38,43,0,4434,117,180,182,155,13,121,0,0,5202,ND,ND,149542,25209
1976:Q1,5973,ND,ND,5626,107,126,33,38,43,0,4714,118,181,192,167,13,121,0,0,5506,ND,ND,153575,26681
1976:Q2,6063,ND,ND,5700,113,135,33,38,44,0,4897,119,188,205,178,13,130,0,0,5730,ND,ND,155902,27767
